LANDING_YEAR,LANDING_MONTH,TAC_mt,TAC_N,TAC_S,Alloc_lat,QuotaAllocated,QuotaAllocationNumber,TAC_mt_accum,dClosure,,,,,,,,,
2000,1,186791,0.33333,0.66666,35.67,1,1,186791,0,,,,,,,,,
2000,2,186791,0.33333,0.66666,35.67,0,1,180510.7016,0,,,,,,,,,
2000,3,186791,0.33333,0.66666,35.67,0,1,172151.5875,0,,,,,,,,,
2000,4,186791,0.33333,0.66666,35.67,0,1,162305.2107,0,,,,,,,,,
2000,5,186791,0.33333,0.66666,35.67,0,1,158320.7446,0,,,,,,,,,
2000,6,186791,0.33333,0.66666,35.67,0,1,156354.639,0,,,,,,,,,
2000,7,186791,0.33333,0.66666,35.67,0,1,154762.4483,0,,,,,,,,,
2000,8,186791,0.33333,0.66666,35.67,0,1,149656.9547,0,,,,,,,,,
2000,9,186791,0.33333,0.66666,35.67,0,1,140620.978,0,,,,,,,,,
2000,10,90000,0.5,0.5,35.67,1,2,90000,0,,,,,,,,,
2000,11,90000,0.5,0.5,35.67,0,2,85101.24141,0,,,,,,,,,
2000,12,90000,0.5,0.5,35.67,0,2,82731.93886,0,,,,,,,,,
2001,1,134737,0.33333,0.66666,35.67,1,3,134737,0,,,,,,,,,
2001,2,134737,0.33333,0.66666,35.67,0,3,125981.5723,0,,,,,,,,,
2001,3,134737,0.33333,0.66666,35.67,0,3,119631.4841,0,,,,,,,,,
2001,4,134737,0.33333,0.66666,35.67,0,3,113305.8759,0,,,,,,,,,
2001,5,134737,0.33333,0.66666,35.67,0,3,111186.5889,0,,,,,,,,,
2001,6,134737,0.33333,0.66666,35.67,0,3,107756.7624,0,,,,,,,,,
2001,7,134737,0.33333,0.66666,35.67,0,3,104114.7146,0,,,,,,,,,
2001,8,134737,0.33333,0.66666,35.67,0,3,92387.93347,0,,,,,,,,,
2001,9,134737,0.33333,0.66666,35.67,0,3,80553.08303,0,,,,,,,,,
2001,10,72306,0.5,0.5,35.67,1,4,72306,0,,,,,,,,,
2001,11,72306,0.5,0.5,35.67,0,4,65816.36777,0,,,,,,,,,
2001,12,72306,0.5,0.5,35.67,0,4,61463.74755,0,,,,,,,,,
2002,1,118442,0.33333,0.66666,35.67,1,5,118442,0,,,,,,,,,
2002,2,118442,0.33333,0.66666,35.67,0,5,114023.6057,0,,,,,,,,,
2002,3,118442,0.33333,0.66666,35.67,0,5,106368.0914,0,,,,,,,,,
2002,4,118442,0.33333,0.66666,35.67,0,5,100467.8072,0,,,,,,,,,
2002,5,118442,0.33333,0.66666,35.67,0,5,95711.99916,0,,,,,,,,,
2002,6,118442,0.33333,0.66666,35.67,0,5,93913.27249,0,,,,,,,,,
2002,7,118442,0.33333,0.66666,35.67,0,5,90302.69174,0,,,,,,,,,
2002,8,118442,0.33333,0.66666,35.67,0,5,74986.47358,0,,,,,,,,,
2002,9,118442,0.33333,0.66666,35.67,0,5,51689.62018,0,,,,,,,,,
2002,10,47290,0.5,0.5,35.67,1,6,47290,0,,,,,,,,,
2002,11,47290,0.5,0.5,35.67,0,6,37264.51137,0,,,,,,,,,
2002,12,47290,0.5,0.5,35.67,0,6,31905.39917,0,,,,,,,,,
2003,1,110908,0.33333,0.66666,39,1,7,110908,0,,,,,,,,,
2003,2,110908,0.33333,0.66666,39,0,7,100205.6187,0,,,,,,,,,
2003,3,110908,0.33333,0.66666,39,0,7,96638.55329,0,,,,,,,,,
2003,4,110908,0.33333,0.66666,39,0,7,91841.83982,0,,,,,,,,,
2003,5,110908,0.33333,0.66666,39,0,7,90783.9209,0,,,,,,,,,
2003,6,110908,0.33333,0.66666,39,0,7,88991.81754,0,,,,,,,,,
2003,7,110908,0.33333,0.66666,39,0,7,86924.12352,0,,,,,,,,,
2003,8,110908,0.33333,0.66666,39,0,7,79259.00762,0,,,,,,,,,
2003,9,59508,0.2,0.8,39,1,8,59508,0,,,,,,,,,
2003,10,59508,0.2,0.8,39,0,8,51028.08429,0,,,,,,,,,
2003,11,59508,0.2,0.8,39,0,8,46027.13133,0,,,,,,,,,
2003,12,59508,0.2,0.8,39,0,8,45197.52268,0,,,,,,,,,
2004,1,122747,0.33333,0.66666,39,1,9,122747,0,,,,,,,,,
2004,2,122747,0.33333,0.66666,39,0,9,116673.8806,0,,,,,,,,,
2004,3,122747,0.33333,0.66666,39,0,9,115242.3562,0,,,,,,,,,
2004,4,122747,0.33333,0.66666,39,0,9,112256.7028,0,,,,,,,,,
