"PORT_AREA_CODE","LANDING_YEAR","PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","LANDINGS_MTONS"
"CLO",2011,"ARRA","AURORA ROCKFISH",0.323726391422039
"CLO",2011,"ARTH","ARROWTOOTH FLOUNDER",72.6650441425662
"CLO",2011,"BCAC","BOCACCIO",0.000589097393911344
"CLO",2011,"BLGL","BLACKGILL ROCKFISH",0.00481447906943819
"CLO",2011,"CMCK","CHUB MACKEREL",1.54130687455253
"CLO",2011,"CNR1","NOM. CANARY ROCKFISH",0.00362873896304303
"CLO",2011,"DBR1","NOM. DARKBLOTCHED ROCKFISH",0.0183518483539827
"CLO",2011,"DBRK","DARKBLOTCHED ROCKFISH",2.07547771634948
"CLO",2011,"DCRB","DUNGENESS CRAB",48.028174545356
"CLO",2011,"DOVR","DOVER SOLE",95.0629817995789
"CLO",2011,"DSOL","DEEPSEA SOLE",0.00226796185190189
"CLO",2011,"DSRK","SPINY DOGFISH",1.5558218304047
"CLO",2011,"EGLS","ENGLISH SOLE",1.30090291825092
"CLO",2011,"FSOL","FLATHEAD SOLE",0.206838120893452
"CLO",2011,"GRDR","UNSP. GRENADIERS",0.165107622818458
"CLO",2011,"GSRK","GREENSTRIPED ROCKFISH",0.00272181897507701
"CLO",2011,"JMCK","JACK MACKEREL",0.000453592370380378
"CLO",2011,"LCOD","LINGCOD",0.658162529421929
"CLO",2011,"LSKT","LONGNOSE SKATE",15.4929010027122
"CLO",2011,"LSP1","NOM. LONGSPINE THORNYHEAD",0.293162645677653
"CLO",2011,"LSPN","LONGSPINE THORNYHEAD",1.99513541011386
"CLO",2011,"NANC","NORTHERN ANCHOVY",21.2471738133577
"CLO",2011,"NUSF","NOR. UNSP. SHELF ROCKFISH",0.00377325349224622
"CLO",2011,"NUSP","NOR. UNSP. SLOPE ROCKFISH",0.0240660689583236
"CLO",2011,"PCOD","PACIFIC COD",0.948008054094991
"CLO",2011,"PDAB","PACIFIC SANDDAB",0.513920155640969
"CLO",2011,"POP","PACIFIC OCEAN PERCH",1.06366852454322
"CLO",2011,"POP2","NOM. POP",0.0121290599839713
"CLO",2011,"PSDN","PACIFIC SARDINE",10640.717729731
"CLO",2011,"PTRL","PETRALE SOLE",9.17209132146164
"CLO",2011,"PWHT","PACIFIC WHITING",0.0807157644059735
"CLO",2011,"QLB1","NOM. QUILLBACK ROCKFISH",0.00362873896304303
"CLO",2011,"RDBD","REDBANDED ROCKFISH",0.100225473990646
"CLO",2011,"REDS","REDSTRIPE ROCKFISH",0.000421222013951758
"CLO",2011,"REX","REX SOLE",4.27057216713126
"CLO",2011,"REYE","ROUGHEYE ROCKFISH",1.49701806225684
"CLO",2011,"RSOL","ROCK SOLE",0.0104326245187487
"CLO",2011,"RSTN","ROSETHORN ROCKFISH",0.000234115914133186
"CLO",2011,"SABL","SABLEFISH",28.5282385427035
"CLO",2011,"SHRP","SHARPCHIN ROCKFISH",0.0182111920633383
"CLO",2011,"SLGR","SILVERGRAY ROCKFISH",0.000310693745852975
"CLO",2011,"SNOS","SPLITNOSE ROCKFISH",0.132949521111237
"CLO",2011,"SQID","UNSP. SQUID",0.448149261935814
"CLO",2011,"SRKR","SHORTRAKER ROCKFISH",0.41298873581366
"CLO",2011,"SSP1","NOM. SHORTSPINE THORNYHEAD",0.518871297800619
"CLO",2011,"SSPN","SHORTSPINE THORNYHEAD",8.31536894858676
"CLO",2011,"USKT","UNSP. SKATE",0.109315761261671
"CLO",2011,"WDOW","WIDOW ROCKFISH",0.0233244454327517
"CLO",2011,"WDW1","NOM. WIDOW ROCKFISH",0.000715950197408389
"CLO",2011,"YEYE","YELLOWEYE ROCKFISH",0.00181436948152151
"CLO",2011,"YTR1","NOM. YELLOWTAIL ROCKFISH",0.00257640466376055
"CLO",2011,"YTRK","YELLOWTAIL ROCKFISH",0.0618337119302532
"CLO",2012,"ALBC","ALBACORE",4.34632209298478
"CLO",2012,"CMCK","CHUB MACKEREL",922.600984652875
"CLO",2012,"DCRB","DUNGENESS CRAB",14.4709573922452
"CLO",2012,"JMCK","JACK MACKEREL",25.1770981103333
"CLO",2012,"PSDN","PACIFIC SARDINE",41485.1091385427
"CLO",2013,"CMCK","CHUB MACKEREL",322.520051073412
"CLO",2013,"DCRB","DUNGENESS CRAB",8.97432504797579
"CLO",2013,"JMCK","JACK MACKEREL",36.9328515734815
"CLO",2013,"NANC","NORTHERN ANCHOVY",12.4234414323482
