"VESSEL_NUM","group_all"
"1022047",1
"1026089",1
"1026090",2
"1027754",1
"1036317",1
"1037553",1
"1038717",3
"1060787",1
"1061827",4
"1061828",1
"1061917",5
"1065761",1
"1074921",1
"1096695",2
"1131965",3
"1186583",5
"1187928",3
"1209539",1
"1210115",1
"1211776",4
"1218674",1
"1225596",1
"1230071",3
"1239174",3
"1240646",5
"1244073",4
"1244677",3
"1244893",3
"236505",5
"236760",4
"236806",1
"236947",1
"237432",2
"238918",5
"246212",1
"246518",4
"246530",3
"246533",1
"247128",1
"248084",1
"248217",5
"248555",3
"249830",2
"252749",4
"253321",1
"253402",1
"261319",2
"266881",1
"271529",1
"273533",1
"276600",2
"276920",4
"280451",1
"280452",4
"284470",1
"288532",1
"291085",5
"295673",1
"501177",2
"503304",1
"504605",2
"507630",1
"507798",4
"509632",4
"512678",2
"519966",1
"520319",1
"524626",1
"524627",3
"531019",1
"532023",1
"538663",1
"542076",3
"542513",4
"547850",1
"549243",5
"549506",4
"550564",4
"553607",2
"553750",1
"557621",1
"558684",1
"561951",5
"562157",3
"563112",2
"563321",2
"563793",2
"564301",1
"566145",3
"566847",2
"570025",2
"572344",1
"578511",1
"582022",4
"582167",1
"582716",1
"584336",4
"584928",5
"592177",1
"593871",1
"595177",1
"596167",1
"596222",5
"596580",1
"596994",1
"597788",1
"598738",2
"598813",4
"599711",3
"602150",1
"602204",3
"602429",4
"602455",4
"604313",1
"605599",5
"606156",4
"606699",3
"607367",5
"607603",2
"608155",2
"608463",2
"608579",1
"611694",5
"613302",4
"614780",1
"615601",5
"615795",1
"619720",1
"621541",5
"621542",1
"622522",4
"623332",1
"623344",1
"623983",5
"625449",4
"625595",5
"626289",4
"629721",1
"630650",3
"633570",1
"636853",5
"637178",3
"640372",1
"642714",2
"643138",4
"643275",1
"643518",4
"647246",5
"647528",4
"648115",3
"648720",4
"649333",5
"655523",1
"659770",3
"661936",1
"675015",2
"685870",4
"690849",4
"693271",4
"697944",1
"927890",2
"932627",2
"939449",4
"942575",5
"943301",3
"947935",1
"950788",2
"951443",4
"955501",1
"958223",1
"969797",2
"971540",4
"972638",5
"974306",3
"975597",3
"976542",3
"978423",3
"979365",2
"984694",1
"986786",3
"986920",3
"988037",1
"993903",1
"AK1795AN",1
"AK3565AN",1
"AK8806AM",1
"AK9671AF",5
"CF0073KC",2
"CF0163TF",4
"CF0500SK",2
"CF0635HS",2
"CF1212TR",2
"CF1220HA",1
"CF1263HU",1
"CF1390HX",1
"CF1822ST",2
"CF1855SZ",2
"CF1890HT",2
"CF1931ZM",4
"CF1983KF",2
"CF2009TK",1
"CF2017ER",2
"CF2036TJ",2
"CF2117EG",2
"CF2212HN",1
"CF2297UN",1
"CF2649SS",2
"CF2804KR",2
"CF2854EU",2
"CF3101KK",1
"CF3501HL",2
"CF3528KL",1
"CF3571SU",2
"CF3776RE",2
"CF3910KC",1
"CF3964KP",2
"CF4042GY",2
"CF4419NR",2
"CF5095TS",2
"CF5334SF",2
"CF5576FA",2
"CF5838EX",1
"CF6286SS",2
"CF6669KC",1
"CF6690SK",2
"CF7218UH",4
"CF7321UH",1
"CF7329UH",1
"CF7336UH",1
"CF7864KF",2
"CF8480HE",1
"CF8507SZ",2
"CF8815BB",2
"CF9116HY",1
"CF9280TE",1
"CF9713TK",2
"CF9820KG",2
"CF9841JB",2
"OR018ADR",3
"OR072ACX",3
"OR108ADL",1
"OR108ADR",1
"OR155ABZ",5
"OR18ADR",3
"OR588ADB",1
"OR661ZK",4
"OR761ABL",3
"OR868ADK",4
"OR873ABY",5
"WN0416RK",1
"WN1924RR",4
"WN3306SF",1
"WN4232NW",4
"WN5102SK",4
"WN5187NP",3
"WN7995RP",3
"WN8521SB",5
"WN9665RJ",3
