"","VESSEL_NUM","group","min_year","max_year"
"1","1022047",1,2005,2008
"2","1036317",1,2005,2008
"3","1037553",1,2005,2008
"4","1060787",2,2005,2008
"5","1061827",3,2005,2008
"6","1061917",3,2005,2008
"7","1065761",1,2005,2008
"8","1074921",1,2005,2008
"9","1131965",4,2005,2008
"10","1186583",5,2005,2008
"11","1211776",1,2005,2008
"12","236505",3,2005,2008
"13","236760",5,2005,2008
"14","236806",5,2005,2008
"15","236947",1,2005,2008
"16","237432",2,2005,2008
"17","238918",3,2005,2008
"18","246212",1,2005,2008
"19","246518",5,2005,2008
"20","246533",1,2005,2008
"21","247128",1,2005,2008
"22","248084",1,2005,2008
"23","248217",4,2005,2008
"24","248555",4,2005,2008
"25","249830",2,2005,2008
"26","252749",5,2005,2008
"27","253321",1,2005,2008
"28","253402",1,2005,2008
"29","261319",1,2005,2008
"30","271529",1,2005,2008
"31","276600",2,2005,2008
"32","276920",5,2005,2008
"33","280451",1,2005,2008
"34","280452",5,2005,2008
"35","284470",1,2005,2008
"36","295673",1,2005,2008
"37","503304",1,2005,2008
"38","504605",2,2005,2008
"39","507798",5,2005,2008
"40","509632",5,2005,2008
"41","519966",1,2005,2008
"42","520319",1,2005,2008
"43","524626",5,2005,2008
"44","524627",4,2005,2008
"45","531019",1,2005,2008
"46","532023",1,2005,2008
"47","542076",4,2005,2008
"48","542513",5,2005,2008
"49","549243",3,2005,2008
"50","549506",3,2005,2008
"51","550564",5,2005,2008
"52","558684",5,2005,2008
"53","561951",4,2005,2008
"54","562157",4,2005,2008
"55","563321",2,2005,2008
"56","563793",2,2005,2008
"57","566145",4,2005,2008
"58","570025",2,2005,2008
"59","572344",1,2005,2008
"60","578511",5,2005,2008
"61","582022",5,2005,2008
"62","582167",1,2005,2008
"63","582716",1,2005,2008
"64","584336",5,2005,2008
"65","584928",4,2005,2008
"66","592177",5,2005,2008
"67","593871",1,2005,2008
"68","595177",1,2005,2008
"69","596994",1,2005,2008
"70","597788",1,2005,2008
"71","598813",5,2005,2008
"72","599711",4,2005,2008
"73","602150",1,2005,2008
"74","602204",4,2005,2008
"75","602429",5,2005,2008
"76","602455",3,2005,2008
"77","605599",3,2005,2008
"78","606156",1,2005,2008
"79","607367",3,2005,2008
"80","608155",2,2005,2008
"81","608463",2,2005,2008
"82","611694",3,2005,2008
"83","613302",5,2005,2008
"84","615601",4,2005,2008
"85","615795",5,2005,2008
"86","619720",1,2005,2008
"87","621541",3,2005,2008
"88","622522",3,2005,2008
"89","623332",1,2005,2008
"90","623344",1,2005,2008
"91","623983",4,2005,2008
"92","625449",5,2005,2008
"93","626289",3,2005,2008
"94","629721",1,2005,2008
"95","630650",4,2005,2008
"96","633570",1,2005,2008
"97","637178",4,2005,2008
"98","640372",1,2005,2008
"99","642714",2,2005,2008
"100","643138",5,2005,2008
"101","643518",5,2005,2008
"102","647246",3,2005,2008
"103","647528",5,2005,2008
"104","648720",1,2005,2008
"105","649333",3,2005,2008
"106","655523",4,2005,2008
"107","659770",4,2005,2008
"108","661936",1,2005,2008
"109","675015",2,2005,2008
"110","685870",3,2005,2008
"111","690849",5,2005,2008
"112","693271",5,2005,2008
"113","697944",1,2005,2008
"114","932627",2,2005,2008
"115","939449",5,2005,2008
"116","943301",4,2005,2008
"117","947935",2,2005,2008
"118","951443",3,2005,2008
"119","955501",1,2005,2008
"120","958223",1,2005,2008
"121","969797",2,2005,2008
"122","971540",5,2005,2008
"123","972638",3,2005,2008
"124","974306",4,2005,2008
"125","975597",4,2005,2008
"126","979365",2,2005,2008
"127","984694",5,2005,2008
"128","988037",1,2005,2008
"129","AK9671AF",4,2005,2008
"130","CF0073KC",2,2005,2008
"131","CF0500SK",2,2005,2008
"132","CF1390HX",1,2005,2008
"133","CF1855SZ",2,2005,2008
"134","CF2017ER",2,2005,2008
"135","CF2117EG",2,2005,2008
"136","CF2212HN",1,2005,2008
"137","CF2649SS",2,2005,2008
"138","CF3101KK",2,2005,2008
"139","CF3528KL",1,2005,2008
"140","CF3571SU",2,2005,2008
"141","CF3776RE",2,2005,2008
"142","CF3910KC",1,2005,2008
"143","CF3964KP",2,2005,2008
"144","CF4042GY",2,2005,2008
"145","CF4419NR",2,2005,2008
"146","CF5576FA",2,2005,2008
"147","CF6286SS",2,2005,2008
"148","CF6669KC",1,2005,2008
"149","CF6690SK",2,2005,2008
"150","CF7864KF",2,2005,2008
"151","CF9713TK",2,2005,2008
"152","OR072ACX",4,2005,2008
"153","OR108ADL",1,2005,2008
"154","OR155ABZ",4,2005,2008
"155","OR588ADB",5,2005,2008
"156","OR661ZK",3,2005,2008
"157","OR868ADK",5,2005,2008
"158","OR873ABY",3,2005,2008
"159","WN0416RK",4,2005,2008
"160","WN4232NW",5,2005,2008
"161","WN5187NP",4,2005,2008
"162","WN9665RJ",4,2005,2008
