"VESSEL_NUM","group_all"
"1022047",1
"1026089",1
"1026090",2
"1027754",1
"1036317",1
"1037553",1
"1038717",3
"1060787",1
"1061827",4
"1061828",1
"1061917",5
"1065761",1
"1074921",1
"1096695",2
"1131965",3
"1186583",5
"1187928",6
"1209539",1
"1210115",1
"1211776",4
"1218674",1
"1225596",4
"1230071",3
"1239174",6
"1240646",3
"1244073",4
"1244677",3
"1244893",3
"236505",5
"236760",7
"236806",1
"236947",1
"237432",7
"238918",5
"246212",4
"246518",4
"246530",6
"246533",7
"247128",1
"248084",1
"248217",5
"248555",6
"252749",4
"253321",7
"253402",7
"266881",7
"271529",1
"273533",1
"276600",2
"276920",7
"280451",1
"280452",7
"284470",1
"288532",1
"291085",1
"295673",1
"501177",2
"503304",1
"504605",2
"507630",1
"507798",4
"509632",7
"519966",1
"520319",1
"524626",7
"524627",3
"531019",1
"532023",4
"538663",1
"542076",6
"542513",7
"547850",1
"549243",5
"549506",4
"550564",4
"553607",2
"553750",1
"557621",1
"558684",4
"561951",5
"562157",3
"563112",2
"563321",1
"564301",4
"566145",3
"570025",2
"572344",4
"578511",4
"582022",7
"582167",1
"582716",1
"584336",4
"584928",5
"592177",4
"593871",1
"595177",1
"596167",1
"596222",3
"596580",1
"596994",1
"597788",1
"598813",4
"599711",3
"602150",1
"602204",6
"602429",4
"602455",4
"604313",1
"605599",5
"606156",7
"606699",6
"607367",5
"607603",2
"608155",2
"608463",2
"608579",1
"611694",5
"613302",7
"614780",1
"615601",3
"615795",4
"619720",1
"621541",5
"621542",4
"622522",5
"623332",1
"623344",1
"623983",5
"625449",4
"625595",5
"626289",5
"629721",1
"630650",3
"633570",1
"636853",3
"637178",6
"640372",1
"642714",2
"643138",4
"643275",1
"643518",4
"647246",5
"647528",4
"648115",3
"648720",4
"649333",5
"655523",4
"659770",3
"661936",1
"675015",2
"685870",4
"690849",4
"693271",4
"697944",1
"927890",2
"932627",2
"939449",4
"942575",4
"943301",3
"947935",1
"950788",2
"951443",7
"955501",1
"958223",1
"969797",2
"971540",4
"972638",5
"974306",3
"975597",6
"976542",3
"978423",6
"979365",2
"984694",4
"986786",6
"986920",3
"988037",7
"993903",1
"AK1795AN",4
"AK3565AN",4
"AK8806AM",1
"AK9671AF",7
"CF0073KC",2
"CF0163TF",4
"CF0500SK",2
"CF0635HS",2
"CF1212TR",2
"CF1220HA",1
"CF1263HU",1
"CF1390HX",1
"CF1822ST",2
"CF1855SZ",2
"CF1890HT",2
"CF1931ZM",4
"CF1983KF",7
"CF2009TK",1
"CF2017ER",2
"CF2036TJ",2
"CF2117EG",2
"CF2212HN",7
"CF2297UN",1
"CF2649SS",2
"CF2804KR",2
"CF2854EU",2
"CF3101KK",1
"CF3528KL",7
"CF3571SU",2
"CF3776RE",2
"CF3910KC",1
"CF3964KP",2
"CF4042GY",2
"CF4419NR",2
"CF5095TS",2
"CF5334SF",2
"CF5576FA",2
"CF5838EX",1
"CF6286SS",2
"CF6669KC",1
"CF6690SK",2
"CF7218UH",4
"CF7321UH",4
"CF7329UH",7
"CF7336UH",1
"CF7864KF",2
"CF8480HE",7
"CF8507SZ",2
"CF8815BB",2
"CF9116HY",7
"CF9280TE",4
"CF9713TK",2
"CF9820KG",2
"CF9841JB",2
"OR018ADR",6
"OR072ACX",6
"OR108ADL",4
"OR108ADR",4
"OR155ABZ",5
"OR18ADR",3
"OR588ADB",1
"OR661ZK",5
"OR761ABL",6
"OR868ADK",4
"OR873ABY",5
"WN0416RK",4
"WN1924RR",4
"WN3306SF",1
"WN4232NW",4
"WN5102SK",4
"WN5187NP",6
"WN7995RP",6
"WN8521SB",5
"WN9665RJ",3
