,PORT_NAME,AGENCY_CODE,AFI_EXVESSEL_REVENUE,Latitude,Longitude
101,IMPERIAL BEACH,C,10242.8501,32.579555,-117.11708
123,CHULA VISTA,C,1719.8723,32.638654,-117.06686
19,SAN DIEGO,C,11618825.89,32.677286,-117.05241
99,CORONADO,C,10731.43125,32.682727,-117.17441
40,POINT LOMA,C,1328783.995,32.7,-117.2467
16,MISSION BAY,C,16012910.82,32.7805,-117.242
104,NATIONAL CITY,C,9167.0932,33.016928,-116.846046
112,LA JOLLA,C,4612.7775,33.016928,-116.846046
134,SAN YSIDRO,C,292.2213,33.016928,-116.846046
41,OCEANSIDE,C,1246832.323,33.195354,-117.28232
49,AVALON,C,472328.3042,33.368642,-118.40835
105,CATALINA ISLAND,C,8617.818812,33.3879,-118.4163
44,DANA POINT,C,927703.88,33.475302,-117.70327
28,NEWPORT BEACH,C,7636462.882,33.640302,-117.769442
52,HUNTINGTON BEACH,C,368903.8389,33.673468,-118.00243
1,SAN PEDRO,C,257895361.8,33.732368,-118.28905
4,TERMINAL ISLAND,C,213527433,33.742,-118.261
100,SEAL BEACH,C,10286.64247,33.759283,-118.08239
42,LONG BEACH,C,1166450.001,33.786594,-118.298662
51,PLAYA DEL REY,C,380373.0085,33.786594,-118.298662
64,WILMINGTON,C,157602.3283,33.786594,-118.298662
24,REDONDO BEACH,C,8351315.284,33.828815,-118.38322
115,HERMOSA BEACH,C,3310.72972,33.866314,-118.39968
126,FULLERTON,C,1246.185,33.878981,-117.89325
66,SANTA MONICA,C,139126.0048,34.009276,-118.47286
50,LOS ANGELES,C,455715.3249,34.050411,-118.21195
125,MALIBU,C,1309.55442,34.051056,-118.80768
2,PORT HUENEME,C,224404745.8,34.154072,-119.18829
31,OXNARD,C,6232768.483,34.21707,-119.1769
88,GOLETA,C,26342.184,34.262834,-119.848555
3,VENTURA,C,222078185.5,34.311203,-119.30164
14,SANTA BARBARA,C,21637675.79,34.439579,-119.76788
65,GAVIOTA,C,154467.1367,34.4717,-120.2149
124,SURF,C,1541.25,34.6844,-120.6035
90,GUADALUPE,C,24436.97633,34.958896,-120.58014
36,AVILA,C,2128418.993,35.18,-120.7319
17,MORRO BAY,C,14255352.41,35.372861,-120.859391
62,SAN SIMEON,C,204391.7825,35.664386,-121.21965
8,MONTEREY,C,88316900.95,36.606225,-121.908915
5,MOSS LANDING,C,126585511.3,36.812905,-121.78299
23,SANTA CRUZ,C,8660226.816,37.010322,-121.98523
131,BIG CREEK,C,553.175,37.191503,-119.26372
11,PRINCETON / HALF MOON BAY,C,51047435.25,37.463,-122.428
133,FREMONT,C,367.71,37.515014,-121.92916
102,NEWARK,C,10100.013,37.535586,-122.03362
76,SOUTH SAN FRANCISCO,C,54003.53217,37.652857,-122.4301
109,OAKLAND,C,6853.71984,37.727739,-122.204573
68,ALAMEDA,C,112964.4126,37.769528,-122.25937
13,SAN FRANCISCO,C,25149547.44,37.801878,-122.41018
72,EMERYVILLE,C,73816.59049,37.834724,-122.28316
57,BERKELEY,C,266129.6168,37.879625,-122.2668
129,STOCKTON,C,704.42,37.889849,-121.253872
107,BOLINAS,C,7402.275,37.907675,-122.70201
87,RICHMOND,C,27923.90252,37.941424,-122.36628
98,PINOLE,C,11738.76725,37.997509,-122.29208
53,CHINA CAMP,C,364410.1957,38.0013,-122.4911
120,POINT REYES,C,2206.41645,38.0178,-122.9913
61,SAUSALITO,C,207055.5925,38.068036,-122.740988
122,SAN RAFAEL,C,1897.588625,38.07392,-122.55944
116,INVERNESS,C,2849.56,38.099205,-122.87751
34,VALLEJO,C,2916584.541,38.115015,-122.29055
128,MARCONI,C,830.39005,38.1438,-122.877
132,MARSHALL,C,433.605,38.180029,-122.88357
111,PETALUMA,C,5000.6152,38.243734,-122.69345
94,DILLON BEACH,C,18935.4693,38.246611,-122.95916
27,BODEGA BAY,C,7869413.496,38.347701,-123.05869
74,POINT ARENA,C,67911.6696,38.898385,-123.65746
135,UKIAH,C,200.335,39.154946,-123.20088
117,ALBION,C,2610.9372,39.216157,-123.71376
119,LITTLE RIVER,C,2401.2345,39.2712,-123.7899
33,FORT BRAGG,C,4711339.067,39.43695,-123.76087
121,WESTPORT,C,1928.0768,39.727052,-123.79238
67,SHELTER COVE,C,122256.1017,40.0304,-124.0731
130,MILL CREEK,C,631.8928,40.310324,-121.43316
56,FIELDS LANDING,C,327766.8336,40.725444,-124.21697
69,HUMBOLDT,C,100213.806,40.745,-123.869
35,EUREKA,C,2810610.818,40.757091,-124.1513
103,WILLOW CREEK,C,9935.426625,40.945039,-123.65806
86,TRINIDAD,C,29077.1905,41.081726,-124.13112
25,CRESCENT CITY,C,8280096.181,41.782681,-124.16703
30,BROOKINGS,O,7473170.195,42.052,-124.284
78,GOLD BEACH,O,42929.79115,42.4073,-124.4218
22,PORT ORFORD,O,9459582.899,42.745,-124.297
108,BANDON,O,7216.1237,43.119,-124.4084
9,CHARLESTON (COOS BAY),O,88162337.93,43.366,-124.217
18,WINCHESTER BAY,O,13427474.57,43.6771,-124.1748
39,FLORENCE,O,1417974.965,43.982,-124.099
10,NEWPORT,O,66539503.24,44.636,-124.0535
37,GARIBALDI (TILLAMOOK),O,1599859.878,45.5598,-123.911
110,WASHOUGAL,W,5263.83,45.594465,-122.28112
80,CAMAS,W,41754.33225,45.60916,-122.40547
83,SKAMANIA,W,36589.7924,45.6176,-122.0489
113,VANCOUVER,W,4566.1,45.63873,-122.62846
114,GEARHART-SEASIDE,O,3654.612,45.9932,-123.9226
92,LONGVIEW,W,21181.5986,46.156082,-122.98043
71,PUGET ISLAND,W,82542.7233,46.1693,-123.3801
6,ASTORIA,O,115238197.9,46.187,-123.831
82,CATHLAMET,W,37914.1167,46.208318,-123.34624
81,COLUMBIA RIVER PORTS - OREGON,O,40741.48445,46.246,-124.09344
127,GRAY'S BAY,W,1083.9678,46.282,-123.7266
21,CHINOOK,W,9561491.864,46.282397,-123.93844
12,ILWACO,W,26457328.9,46.312541,-124.02968
60,NASELLE,W,236044.57,46.370075,-123.76506
79,NAHCOTTA,W,42156.86765,46.514625,-123.76903
95,PACIFIC COUNTY,W,16853.8825,46.5181,-123.8265
73,SOUTH BEND,W,72863.4747,46.560786,-123.85214
70,BAY CENTER,W,91226.0168,46.630051,-123.95463
46,TOKELAND,W,678201.9237,46.737458,-123.98121
106,GRAYLAND,W,7887.0324,46.781978,-124.08111
97,BAY CITY,W,14241.0112,46.8645,-124.0593
7,WESTPORT,W,111683014.2,46.887187,-124.10735
45,ABERDEEN,W,786575.9669,46.972965,-123.81923
96,THE DALLES,W,14434.56,47.0518,-121.5715
48,OLYMPIA,W,478027.9769,47.085046,-122.78376
58,COPALIS BEACH,W,261192.6918,47.118566,-124.16027
38,TACOMA,W,1447512.06,47.208987,-122.48053
85,SHELTON,W,29867.11,47.224044,-123.10538
84,TAHOLAH,W,35178.02655,47.32251,-124.25814
77,BREMERTON,W,47537.637,47.629717,-122.63493
