MGRP,Level_1,Level_2,Level_3,Level_4,PACFIN_SPECIES_COMMON_NAME,PACFIN_SPECIES_SCIENTIFIC_NAME
CPEL,     ,     ,,,__ALL COASTAL PELAGIC,N/A
CPEL, PHRG,     ,,,PACIFIC HERRING,CLUPEA HARENGUS PALLASII
CPEL, RHRG,     ,,,ROUND HERRING,ETRUMEUS TERES
CPEL, WETF,     ,,,__ALL WET FISH,N/A
CPEL, WETF, CMCK,,,CHUB MACKEREL,SCOMBER JAPONICUS
CPEL, WETF, JMCK,,,JACK MACKEREL,TRACHURUS SYMMETRICUS
CPEL, WETF, MSQD,,,MARKET SQUID,LOLIGO OPALESCENS
CPEL, WETF, NANC,,,NORTHERN ANCHOVY,ENGRAULIS MORDAX
CPEL, WETF, PBNT,,,PACIFIC BONITO,SARDA CHILIENSIS
CPEL, WETF, PSDN,,,PACIFIC SARDINE,SARDINOPS SAGAX
CPEL, WETF, UMCK,,,UNSP. MACKEREL,N/A
CRAB,     ,     ,,,__ALL CRAB,N/A
CRAB, DCRB,     ,,,DUNGENESS CRAB,CANCER MAGISTER
CRAB, KCRB, BKCR,,,BLUE KING CRAB,PARALITHODES PLATYPUS
CRAB, KCRB, GKCR,,,GOLDEN KING CRAB,LITHODES AEQUISPINUS
CRAB, KCRB, KCRB,,,__ALL KING CRAB,N/A
CRAB, KCRB, RKCR,,,RED KING CRAB,PARALITHODES CAMTSCHATICUS
CRAB, KCRB, SKCR,,,SCARLET KING CRAB,LITHODES COUESI
CRAB, KCRB, UKCR,,,UNSP. KING CRAB,N/A
CRAB, OCRB,     ,,,OTHER CRAB,N/A
CRAB, RCRB,     ,,,ROCK CRAB,CANCER SPP.
CRAB, TCRB, BTCR,,,BAIRDI TANNER CRAB,CHIONOECETES BAIRDI
CRAB, TCRB, OTCR,,,OPILIO TANNER CRAB,CHIONOECETES OPILIO
CRAB, TCRB, TCRB,,,__ALL TANNER CRAB,N/A
CRAB, TCRB, UTCR,,,UNSP. TANNER CRAB,N/A
CRAB, UCRB,     ,,,UNSP. CRAB,N/A
GRND,     ,     ,,,__ALL GROUNDFISH,N/A
GRND, FLAT, BMO1,,,NOM. BIGMOUTH SOLE,N/A
GRND, FLAT, BMOL,,,BIGMOUTH SOLE,HIPPOGLOSSINA STOMATA
GRND, FLAT, DEEP,,,__DEEP-91 FLOUNDERS,N/A
GRND, FLAT, DOVR,,,DOVER SOLE,MICROSTOMUS PACIFICUS
GRND, FLAT, DVR1,,,NOM. DOVER SOLE,N/A
GRND, FLAT, EGL1,,,NOM. ENGLISH SOLE,N/A
GRND, FLAT, EGLS,,,ENGLISH SOLE,PAROPHRYS VETULUS
GRND, FLAT, FLAT,,,__ALL FLATFISH,N/A
GRND, FLAT, PTR1,,,NOM. PETRALE SOLE,N/A
GRND, FLAT, PTRL,,,PETRALE SOLE,EOPSETTA JORDANI
GRND, FLAT, RFLT,,,REMAINING FLATFISH,N/A
GRND, FLAT, RFLT,APLC,,ALASKA PLAICE,PLEURONECTUS QUADRITUBERCULATUS
GRND, FLAT, RFLT,BSOL,,BUTTER SOLE,ISOPSETTA ISOLEPIS
GRND, FLAT, RFLT,CSL1,,NOM. CURLFIN SOLE,N/A
GRND, FLAT, RFLT,CSOL,,CURLFIN SOLE,PLEURONICHTHYS DECURRENS
GRND, FLAT, RFLT,CTRB,,C-O SOLE,PLEURONICHTHYS COENOSUS
