TAC_mt,TAC_N,TAC_S,Alloc_lat,Year,Month
186791,0.33333,0.66666,35.67,2000,1
90000,0.5,0.5,35.67,2000,10
134737,0.33333,0.66666,35.67,2001,1
72306,0.5,0.5,35.67,2001,10
118442,0.33333,0.66666,35.67,2002,1
47290,0.5,0.5,35.67,2002,10
110908,0.33333,0.66666,39,2003,1
59508,0.2,0.8,39,2003,9
122747,0.33333,0.66666,39,2004,1
68009,0.2,0.8,39,2004,9
136179,0.33333,0.66666,39,2005,1
85132,0.2,0.8,39,2005,9
41348,,,,2006,1
47255,,,,2006,7
29534,,,,2006,9
53397,,,,2007,1
61025,,,,2007,7
38141,,,,2007,9
26550,,,,2008,1
34568,,,,2008,7
19066,,,,2008,9
22006,,,,2009,1
25293,,,,2009,7
11933,,,,2009,9
22463,,,,2010,1
25861,,,,2010,7
11760,,,,2010,9
15214,,,,2011,1
17530,,,,2011,7
8582,,,,2011,9
33093,,,,2012,1
37964,,,,2012,7
23352,,,,2012,9
19123,,,,2013,1
22998,,,,2013,7
13374,,,,2013,9
5446,,,,2014,1
7718,,,,2014,7
4823,,,,2014,9
6752,,,,2015,1
0,,,,2015,7
0,,,,2015,9
0,,,,2016,1
0,,,,2016,7
0,,,,2016,9
