"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","CLO_LANDED_WEIGHT_MTONS","CLO_LANDED_WEIGHT_PPP","CLO_EXVESSEL_REVENUE","CLO_CONFIDENTIAL_FLAG","TLA_LANDED_WEIGHT_MTONS","TLA_LANDED_WEIGHT_PPP","TLA_EXVESSEL_REVENUE","TLA_CONFIDENTIAL_FLAG","NPA_LANDED_WEIGHT_MTONS","NPA_LANDED_WEIGHT_PPP","NPA_EXVESSEL_REVENUE","NPA_CONFIDENTIAL_FLAG","CBA_LANDED_WEIGHT_MTONS","CBA_LANDED_WEIGHT_PPP","CBA_EXVESSEL_REVENUE","CBA_CONFIDENTIAL_FLAG","BRA_LANDED_WEIGHT_MTONS","BRA_LANDED_WEIGHT_PPP","BRA_EXVESSEL_REVENUE","BRA_CONFIDENTIAL_FLAG","OR1_ROUND_WEIGHT_MTONS","OR1_LANDED_WEIGHT_MTONS","OR1_LANDED_WEIGHT_PPP","OR1_EXVESSEL_REVENUE","OR1_CONFIDENTIAL_FLAG","OR4_LANDED_WEIGHT_MTONS","OR4_LANDED_WEIGHT_PPP","OR4_EXVESSEL_REVENUE","OR4_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1981","O","CPEL","....","PACIFIC HERRING","PHRG",,,,"",,,,"",41.3,.39,35123,"",,,,"*",,,,"",,,,,"",,,,"",41.3,,35123,""
"1981","O","CPEL","WETF","CHUB MACKEREL","CMCK",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","CPEL","WETF","MARKET SQUID","MSQD",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","CRAB","....","DUNGENESS CRAB","DCRB",413.4,.98,892867,"",161.1,1,355426,"",801.7,1,1764774,"",855.8,.96,1814188,"",935.9,.91,1885043,"",,,,,"",,,,"",3167.9,,6712298,""
"1981","O","CRAB","....","ROCK CRAB","RCRB",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",552.9,.09,111056,"",,,,"*",22.5,.09,4642,"",.7,.18,285,"",,,,"*",,,,,"",,,,"",576.1,,115983,"*"
"1981","O","GRND","FLAT","BUTTER SOLE","BSOL",,,,"*",,,,"",,,,"*",,,,"*",4.6,.22,2193,"",,,,,"",,,,"",4.6,,2193,"*"
"1981","O","GRND","FLAT","CURLFIN SOLE","CSOL",,,,"",,,,"",,,,"*",,,,"*",,,,"*",,,,,"",,,,"",0,,0,"*"
"1981","O","GRND","FLAT","DOVER SOLE","DOVR",1420.6,.22,678330,"",6.4,.2,2824,"",1236,.21,580375,"",2071.2,.22,1027074,"",560.5,.23,280331,"",,,,,"",,,,"",5294.7,,2568934,""
"1981","O","GRND","FLAT","ENGLISH SOLE","EGLS",364.1,.29,231241,"",,,,"*",202.3,.28,125939,"",72.8,.31,49061,"",86.5,.3,57911,"",,,,,"",,,,"",725.7,,464152,"*"
"1981","O","GRND","FLAT","FLATHEAD SOLE","FSOL",5,.28,3074,"",,,,"*",,,,"",,,,"",,,,"",,,,,"",,,,"",5,,3074,"*"
"1981","O","GRND","FLAT","PACIFIC SANDDAB","PDAB",101.5,.26,59008,"",,,,"*",13.9,.26,7912,"",9.8,.32,6899,"",7.9,.32,5677,"",,,,,"",,,,"",133.1,,79496,"*"
"1981","O","GRND","FLAT","PETRALE SOLE","PTRL",311.2,.53,363484,"",.6,.5,640,"",309.3,.53,360762,"",205.3,.52,235447,"",57.6,.53,66725,"",,,,,"",,,,"",884,,1027058,""
"1981","O","GRND","FLAT","REX SOLE","REX",413,.29,266607,"",1.1,.27,631,"",68.4,.29,43633,"",73.7,.33,53802,"",54.6,.34,40501,"",,,,,"",,,,"",610.8,,405174,""
"1981","O","GRND","FLAT","ROCK SOLE","RSOL",.3,.23,170,"",,,,"*",6.1,.36,4802,"",,,,"*",,,,"",,,,,"",,,,"",6.4,,4972,"*"
"1981","O","GRND","FLAT","SAND SOLE","SSOL",204.3,.46,208464,"",,,,"*",42.3,.46,42869,"",65.3,.47,67212,"",21.6,.46,21731,"",,,,,"",,,,"",333.5,,340276,"*"
"1981","O","GRND","FLAT","STARRY FLOUNDER","STRY",341,.22,165195,"",,,,"",12.9,.22,6138,"",46.4,.26,26741,"",3.2,.26,1857,"",,,,,"",,,,"",403.5,,199931,""
"1981","O","GRND","MGRN","SPINY DOGFISH","DSRK",4.5,.07,679,"",,,,"",,,,"*",,,,"",,,,"*",,,,,"",,,,"",4.5,,679,"*"
"1981","O","GRND","MGRN","SOUPFIN SHARK","SSRK",,,,"*",,,,"",,,,"*",.2,.39,138,"",.2,.51,241,"",,,,,"",,,,"",.4,,379,"*"
"1981","O","GRND","MGRN","UNSP. SKATE","USKT",31.1,.08,5246,"",,,,"",,,,"*",,,,"*",.6,.11,157,"",,,,,"",,,,"",31.7,,5403,"*"
"1981","O","GRND","ROCK","NOM. POP","POP2",749.2,.17,273145,"",9.8,.15,3244,"",1081.5,.16,377248,"",127.4,.15,40733,"",5.8,.17,2168,"",,,,,"",,,,"",1973.7,,696538,""
"1981","O","GRND","ROCK","UNSP. ROCKFISH","URCK",6089.1,.15,1963443,"",43.8,.19,17877,"",11342.6,.14,3411410,"",4306.9,.13,1256516,"",938.3,.17,344771,"",,,,,"",,,,"",22720.7,,6994017,""
"1981","O","GRND","ROND","CABEZON","CBZN",,,,"",,,,"",.1,.32,95,"",,,,"",,,,"",,,,,"",,,,"",.1,,95,""
"1981","O","GRND","ROND","LINGCOD","LCOD",412.2,.21,192385,"",9.4,.32,6633,"",335.8,.22,159983,"",182.3,.24,95571,"",107,.24,57386,"",,,,,"",,,,"",1046.7,,511958,""
"1981","O","GRND","ROND","PACIFIC COD","PCOD",47.1,.21,21627,"",,,,"*",5.9,.24,3191,"",,,,"*",,,,"",,,,,"",,,,"",53,,24818,"*"
"1981","O","GRND","ROND","PACIFIC WHITING","PWHT",163.4,.07,25204,"",,,,"",,,,"",,,,"",,,,"",,,,,"",,,,"",163.4,,25204,""
"1981","O","GRND","ROND","SABLEFISH","SABL",521.2,.24,274379,"",2.9,.17,1046,"",816.9,.21,379023,"",819.3,.21,377695,"",102.3,.15,33840,"",,,,,"",,,,"",2262.6,,1065983,""
"1981","O","HMSP","TUNA","ALBACORE","ALBC",1824.7,.86,3473794,"",26.2,.87,50077,"",639.6,.87,1220280,"",950.6,.87,1819813,"",63.8,.87,122266,"",,,,,"",,,,"",3504.9,,6686230,""
"1981","O","OTHR","....","EULACHON","EULC",10.7,.2,4651,"",,,,"",,,,"",,,,"",,,,"",,,,,"",,,,"",10.7,,4651,""
"1981","O","OTHR","....","MISC. FISH/ANIMALS","MISC",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","OTHR","....","MISC. FISH","MSC2",,,,"*",,,,"",,,,"*",,,,"*",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","OTHR","....","UNSP. OCTOPUS","OCTP",,,,"",,,,"*",.9,.39,762,"",,,,"*",4.8,.44,4697,"",,,,,"",,,,"",5.7,,5459,"*"
"1981","O","OTHR","....","PACIFIC HALIBUT","PHLB",36.9,1.26,102810,"",.3,1.65,1205,"",14.1,1.5,46721,"",2.5,1.69,9305,"",,,,"",,,,,"",,,,"",53.8,,160041,""
"1981","O","OTHR","....","UNSP. SHAD","SHAD",30.3,.23,15179,"",,,,"",,,,"",23,.24,12046,"",,,,"",,,,,"",,,,"",53.3,,27225,""
"1981","O","OTHR","....","UNSP. SMELT","SMLT",,,,"*",,,,"",,,,"",,,,"*",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","OTHR","....","UNSP. SHARK","USRK",,,,"*",,,,"*",.4,.67,532,"",,,,"",,,,"",,,,,"",,,,"",.4,,532,"*"
"1981","O","OTHR","....","WOLF EEL","WEEL",,,,"",,,,"",,,,"*",,,,"*",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","OTHR","STRG","GREEN STURGEON","GSTG",2.7,.32,1932,"",,,,"",.7,.29,439,"",,,,"*",,,,"*",,,,,"",,,,"",3.4,,2371,"*"
"1981","O","OTHR","STRG","WHITE STURGEON","WSTG",127,1.04,291765,"",,,,"",,,,"*",,,,"",,,,"",,,,,"",,,,"",127,,291765,"*"
"1981","O","SAMN","....","CHINOOK SALMON","CHNK",344.4,1.47,1112928,"",34.5,2.64,200650,"",136.9,2.65,800556,"",138.9,2.58,788822,"",344.8,2.53,1922993,"",,,,,"",,,,"",999.5,,4825949,""
"1981","O","SAMN","....","CHUM SALMON","CHUM",5,.6,6691,"",,,,"",,,,"*",,,,"",,,,"",,,,,"",,,,"",5,,6691,"*"
"1981","O","SAMN","....","COHO SALMON","COHO",273.5,1.3,786297,"",312.1,1.62,1117325,"",483.7,1.65,1761670,"",439.6,1.72,1662160,"",150.3,1.75,581064,"",,,,,"",,,,"",1659.2,,5908516,""
"1981","O","SAMN","....","PINK SALMON","PINK",5.5,.82,9977,"",25.2,1.05,58097,"",33.7,.82,61220,"",51.6,.79,90235,"",31,.77,52478,"",,,,,"",,,,"",147,,272007,""
"1981","O","SAMN","....","STEELHEAD","STLH",27.7,1.22,74663,"",,,,"",,,,"",,,,"",,,,"",,,,,"",,,,"",27.7,,74663,""
"1981","O","SHLL","CLAM","BUTTER CLAM","BCLM",,,,"",,,,"*",,,,"",,,,"*",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","SHLL","CLAM","BASKET COCKLE","CKLE",,,,"",,,,"*",,,,"*",,,,"*",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","SHLL","CLAM","CALIFORNIA MUSSEL","CMSL",,,,"*",,,,"*",,,,"*",,,,"*",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","SHLL","CLAM","GAPER CLAM","GCLM",,,,"",,,,"",,,,"",28.2,.34,21360,"",,,,"",,,,,"",,,,"",28.2,,21360,""
"1981","O","SHLL","CLAM","NATIVE LITTLENECK","LCLM",,,,"",,,,"*",,,,"",,,,"*",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","SHLL","CLAM","RAZOR CLAM","RCLM",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","SHLL","CLAM","SOFT-SHELLED CLAM","SCLM",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,,"",,,,"",0,,0,""
"1981","O","SHLL","SCAL","OTHER SCALLOP","OSCL",436.4,1.68,1612703,"",29.2,.29,18963,"",202.2,.58,258264,"",1014.2,1.25,2791543,"",2.1,3.93,17789,"",,,,,"",,,,"",1684.1,,4699262,""
"1981","O","SRMP","....","GHOST SHRIMP","GSRM",,,,"*",,,,"*",,,,"*",,,,"*",,,,"",,,,,"",,,,"",0,,0,"*"
"1981","O","SRMP","....","PACIFIC PINK SHRIMP","PSHP",3656.2,.49,3965860,"",595.3,.51,671654,"",3175.4,.5,3529087,"",3846.1,.51,4324697,"",485.8,.52,552023,"",,,,,"",,,,"",11758.8,,13043321,""
"1981","O","XXXX SUBTOTAL","","WITHHELD FOR CONFIDENTIALITY**","",166.9,,205576,"",29.6,,71958,"",18.2,,25556,"",41.6,,37726,"",12.3,,2709,"",,,,,"",,,,"",268.6,,343525,""
"1982","O","CPEL","....","PACIFIC HERRING","PHRG",,,,"",,,,"",4.9,.27,2920,"",,,,"*",,,,"",,,,,"",,,,"",4.9,,2920,""
