"FGBNO","BL_SIZE","LAT_DEG","LAT_MIN","LONG_DEG","LONG_MIN","REGION","LAT_C","LONG_C","CENTER_LAT","CENTER_LONG","ACRES","HECTARES"
262,50,39,20,-123,40,"NORTHERN CALIFORNIA",40,-124,39.5,-123.5,7794,3154
263,50,39,20,-123,50,"NORTHERN CALIFORNIA",40,-124,39.5,-123.5,65625,26558
264,50,39,20,-124,0,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65626,26558
265,50,39,20,-124,10,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65627,26558
266,50,39,20,-124,20,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65627,26558
267,50,39,20,-124,30,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65627,26558
268,50,39,10,-123,40,"NORTHERN CALIFORNIA",40,-124,39.5,-123.5,20102,8135
269,50,39,10,-123,50,"NORTHERN CALIFORNIA",40,-124,39.5,-123.5,65780,26620
270,50,39,10,-124,0,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65781,26620
271,50,39,10,-124,10,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65781,26621
272,50,39,10,-124,20,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65781,26621
273,50,39,10,-124,30,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65781,26621
274,50,39,0,-123,40,"NORTHERN CALIFORNIA",40,-124,39.5,-123.5,49966,20220
275,50,39,0,-123,50,"NORTHERN CALIFORNIA",40,-124,39.5,-123.5,65934,26682
276,50,39,0,-124,0,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65934,26683
277,50,39,0,-124,10,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65934,26683
278,50,39,0,-124,20,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65935,26683
279,50,39,0,-124,30,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,65935,26683
280,52,39,30,-124,50,"NORTHERN CALIFORNIA",40,-126,39.5,-125.5,587854,237896
281,52,39,0,-124,40,"NORTHERN CALIFORNIA",40,-125,39.5,-124.5,592027,239585
299,102,39,0,-125,40,"",41,-127,40.5,-126.5,,
301,50,38,,-123,,"SACRAMENTO RIVER & DELTA AREA",,,,,63725,25789
400,86,37,10,-122,20,"",39,-124,38.5,-123.5,,
401,50,38,,-124,,"NORTHERN CALIFORNIA",,,,,1987,804
402,50,38,50,-123,40,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,53117,21496
403,50,38,50,-123,50,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,66087,26745
404,50,38,50,-124,0,"NORTHERN CALIFORNIA",39,-125,38.5,-124.5,66088,26745
405,50,38,50,-124,10,"NORTHERN CALIFORNIA",39,-125,38.5,-124.5,66088,26745
406,50,38,50,-124,20,"NORTHERN CALIFORNIA",39,-125,38.5,-124.5,66088,26745
407,50,38,40,-123,20,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,8567,3467
408,50,38,40,-123,30,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,52545,21264
409,50,38,40,-123,40,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,66240,26807
410,50,38,40,-123,50,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,66240,26807
411,50,38,40,-124,0,"NORTHERN CALIFORNIA",39,-125,38.5,-124.5,66241,26807
412,50,38,40,-124,10,"NORTHERN CALIFORNIA",39,-125,38.5,-124.5,66240,26807
413,50,38,40,-124,20,"NORTHERN CALIFORNIA",39,-125,38.5,-124.5,66240,26807
414,50,38,30,-123,10,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,8958,3625
415,50,38,30,-123,20,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,57094,23105
416,50,38,30,-123,30,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,66392,26868
417,50,38,30,-123,40,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,66392,26868
418,50,38,30,-123,50,"NORTHERN CALIFORNIA",39,-124,38.5,-123.5,66392,26868
419,50,38,30,-124,0,"NORTHERN CALIFORNIA",39,-125,38.5,-124.5,66392,26868
420,50,38,30,-124,10,"NORTHERN CALIFORNIA",39,-125,38.5,-124.5,66392,26868
421,50,38,30,-124,20,"NORTHERN CALIFORNIA",39,-125,38.5,-124.5,66392,26868
422,50,38,20,-123,0,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,22238,8999
423,50,38,20,-123,10,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,65166,26372
424,50,38,20,-123,20,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66542,26929
425,50,38,20,-123,30,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66543,26929
426,50,38,20,-123,40,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66543,26929
427,50,38,20,-123,50,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66544,26929
428,50,38,20,-124,0,"CENTRAL CALIFORNIA",39,-125,38.5,-124.5,66544,26929
430,50,38,10,-122,50,"CENTRAL CALIFORNIA",39,-123,38.5,-122.5,15194,6149
431,50,38,10,-123,0,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,62965,25481
432,50,38,10,-123,10,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66693,26990
433,50,38,10,-123,20,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66693,26990
434,50,38,10,-123,30,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66694,26990
435,50,38,10,-123,40,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66694,26990
436,50,38,10,-123,50,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66694,26990
437,50,38,10,-124,0,"CENTRAL CALIFORNIA",39,-125,38.5,-124.5,66694,26990
438,50,38,0,-122,50,"CENTRAL CALIFORNIA",39,-123,38.5,-122.5,21358,8643
439,50,38,0,-123,0,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66489,26907
440,50,38,0,-123,10,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66843,27050
441,50,38,0,-123,20,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66843,27051
442,50,38,0,-123,30,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66844,27051
443,50,38,0,-123,40,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66844,27051
444,50,38,0,-123,50,"CENTRAL CALIFORNIA",39,-124,38.5,-123.5,66844,27051
