date,mmsi,cell_ll_lat,cell_ll_lon,fishing_hours,mmsi_1
2014-03-30,316002956,49.6,-126.7,10.5638,316002956
2012-05-28,316007539,48.4,-125.5,1.4519,316007539
2012-05-28,316007539,48.4,-125.6,1.8505,316007539
2012-03-26,316007539,48.9,-125.6,0.4183,316007539
2014-06-13,367474750,49.4,-124.5,0.2175,367474750
2014-06-13,316005444,48.8,-125.5,4.4563,316005444
2014-06-13,316005444,48.8,-125.4,0.9719,316005444
2014-06-13,316005444,48.7,-125.4,0.9658,316005444
2013-12-08,316005444,48.7,-125.5,0.3669,316005444
2013-12-08,316005444,48.7,-125.7,3.6649,316005444
2013-12-08,316005444,48.7,-125.6,0.6655,316005444
2013-12-08,316005444,48.6,-125.6,3.613,316005444
2012-12-06,316005100,49.2,-124.1,8.4711,316005100
2014-02-23,316002956,48.5,-125.3,2.5094,316002956
2014-02-23,316002956,48.5,-125.4,2.3066,316002956
2014-02-23,316002956,48.4,-125.4,0.7211,316002956
2014-02-23,316002956,48.9,-125.5,1.8858,316002956
2014-02-23,316002956,48.9,-125.6,0.2147,316002956
2013-10-30,316002956,48.5,-125.6,3.1961,316002956
2013-10-30,367509670,47.4,-122.5,3.9041,367509670
2013-10-30,367045150,47.3,-122.6,6.0147,367045150
2013-10-30,367356320,47.8,-122.7,4.0263,367356320
2013-10-30,367382540,47.8,-122.6,0.2127,367382540
2013-10-30,367382540,47.8,-122.7,6.1697,367382540
2013-10-30,367509670,47.8,-122.5,9.9025,367509670
2013-10-30,366953120,47.7,-122.8,19.5136,366953120
2013-10-30,367382540,47.7,-122.8,2.8083,367382540
2013-10-30,338147731,47.6,-122.5,1.8241,338147731
2013-10-30,367192350,47.6,-122.9,14.6786,367192350
2013-10-30,367199090,47.6,-122.5,2.1525,367199090
2013-10-30,367457060,47.6,-122.9,5.1425,367457060
2013-10-30,367457060,47.6,-123.0,4.3944,367457060
2012-10-31,316006724,49.8,-127.1,0.4144,316006724
2012-10-31,316006724,49.7,-127.0,1.5163,316006724
2012-10-31,316006724,49.7,-127.1,5.8783,316006724
2012-07-22,316002974,48.9,-125.5,7.3991,316002974
2012-07-22,338104000,46.7,-124.7,1.7766,338104000
2012-08-02,316003779,48.5,-124.7,1.5519,316003779
2012-08-02,316004702,49.0,-126.2,0.2047,316004702
2012-08-02,316004702,49.0,-126.3,1.3225,316004702
2012-08-02,338104000,46.9,-124.5,1.4113,338104000
2012-08-02,338104000,46.9,-124.6,10.3838,338104000
2012-08-02,316002974,48.9,-125.3,2.8336,316002974
2012-08-02,316004702,48.9,-125.8,0.2166,316004702
2012-08-02,316004702,48.9,-126.2,0.4227,316004702
2012-08-02,316004702,49.2,-126.4,0.6141,316004702
2012-06-11,316013198,49.0,-124.9,2.538,316013198
2012-06-11,316013198,49.2,-124.9,4.4925,316013198
2012-07-24,316013198,49.0,-124.9,2.6486,316013198
2012-07-24,316002974,48.9,-125.6,2.3219,316002974
2012-07-24,316002974,48.9,-125.5,3.9833,316002974
2012-07-24,316013198,49.1,-124.8,0.5427,316013198
2012-07-24,316013198,49.1,-124.9,2.5055,316013198
2014-12-04,316003351,49.3,-124.6,7.0494,316003351
2014-12-04,316003351,49.3,-124.5,1.9402,316003351
2014-12-04,316005100,49.3,-124.5,0.0338,316005100
2014-12-04,316005100,49.3,-124.6,5.92,316005100
2014-12-04,316018828,49.3,-124.5,0.1344,316018828
2014-12-04,316018828,49.3,-124.6,3.6544,316018828
2012-10-30,367356320,47.4,-122.6,1.1077,367356320
2012-10-30,367509670,47.4,-122.5,0.6158,367509670
2012-10-30,367356320,47.3,-122.6,2.6511,367356320
2012-10-30,316006724,49.7,-126.9,3.003,316006724
2014-01-16,316005100,48.9,-123.7,4.9961,316005100
2014-01-16,316005100,48.9,-123.6,0.5791,316005100
2013-07-20,338104000,46.8,-124.6,0.8455,338104000
2013-07-20,338104000,46.7,-124.6,1.3172,338104000
2013-07-20,316002956,48.7,-125.4,0.4225,316002956
2013-07-20,316002956,48.7,-125.5,9.5147,316002956
2013-07-20,316002956,48.7,-125.6,0.6361,316002956
2013-07-20,338104000,46.6,-124.6,0.9244,338104000
2012-07-29,316002956,48.5,-125.9,2.4725,316002956
2012-07-29,316002974,48.9,-125.5,2.7275,316002974
2012-07-29,316002974,48.9,-125.4,1.8947,316002974
2012-07-29,316004702,48.9,-125.5,1.0555,316004702
2012-07-29,316002956,48.3,-125.8,6.5497,316002956
2012-07-29,316002956,48.3,-125.7,4.6713,316002956
2012-07-29,316002956,48.3,-125.9,3.1719,316002956
2012-07-29,338104000,46.8,-124.6,1.6941,338104000
2012-07-29,338104000,46.8,-124.5,3.2394,338104000
2012-07-29,316002956,48.2,-125.7,1.6447,316002956
2014-01-19,367444510,46.5,-124.6,0.7175,367444510
2014-01-19,367444510,46.6,-124.7,3.4591,367444510
2014-01-19,367444510,46.6,-124.6,0.9741,367444510
2012-08-08,316002974,48.9,-125.5,1.4502,316002974
2012-08-08,316002974,48.9,-125.6,1.8783,316002974
2012-08-08,316002974,48.9,-125.4,1.258,316002974
2012-08-08,316004702,48.9,-125.5,1.2455,316004702
2012-08-08,316004702,48.9,-125.4,0.6269,316004702
2012-08-08,316004702,48.8,-125.5,0.4055,316004702
2014-07-20,338104000,46.0,-124.4,0.6455,338104000
2014-07-20,367119980,46.0,-124.3,1.0586,367119980
2014-07-20,316002956,48.5,-125.4,3.6955,316002956
2014-07-20,316002956,48.5,-125.5,0.238,316002956
2014-07-20,316002956,48.5,-125.3,0.9858,316002956
2014-07-20,316013198,49.0,-124.9,1.7247,316013198
2014-07-20,338104000,45.5,-124.3,5.3811,338104000
2014-07-20,338104000,45.9,-124.5,0.4355,338104000
2014-07-20,338104000,45.9,-124.4,2.6466,338104000
2014-07-20,367119980,45.9,-124.4,4.2822,367119980
2014-07-20,367119980,45.9,-124.3,0.2144,367119980
2014-07-20,367565250,36.8,-121.9,1.9705,367565250
2014-07-20,338104000,45.8,-124.3,0.418,338104000
2014-07-20,316013198,49.2,-124.9,0.2183,316013198
2014-07-20,338104000,45.7,-124.5,0.2041,338104000
2014-07-20,316013198,49.1,-124.9,4.3158,316013198
2014-07-20,316013198,49.1,-124.8,1.0338,316013198
2014-07-20,338104000,45.6,-124.3,4.763,338104000
2014-07-20,338104000,45.6,-124.4,2.3202,338104000
2014-01-30,338104000,46.0,-124.5,1.6658,338104000
2014-01-30,338104000,45.9,-124.6,0.2186,338104000
2014-01-30,338104000,45.9,-124.5,0.6458,338104000
2014-01-30,338104000,46.3,-124.5,0.2202,338104000
2014-01-30,338104000,46.8,-124.4,1.185,338104000
2014-01-30,338104000,46.8,-124.3,1.4405,338104000
2014-01-30,367059420,47.7,-122.4,4.4397,367059420
2014-01-30,338104000,46.1,-124.5,0.2022,338104000
2014-01-30,367059420,47.6,-122.4,0.6855,367059420
2012-07-28,367119980,46.0,-124.2,0.0705,367119980
2012-07-28,316002956,49.0,-126.3,0.9169,316002956
2012-07-28,316002956,49.0,-126.4,1.3161,316002956
2012-07-28,316002956,49.0,-126.2,0.2111,316002956
2012-07-28,316002956,48.9,-126.2,1.4219,316002956
2012-07-28,316004702,48.9,-125.8,0.2163,316004702
2012-07-28,316004702,48.9,-125.7,5.855,316004702
2012-07-28,367119980,45.9,-124.1,2.9355,367119980
2012-07-28,316002956,48.8,-126.1,0.7947,316002956
2012-07-28,316002956,48.7,-126.1,0.0475,316002956
2013-12-07,316005444,48.7,-125.7,3.065,316005444
2013-12-07,316005444,48.7,-125.6,4.205,316005444
2012-07-20,338104000,46.9,-124.5,2.2408,338104000
2012-07-20,316002974,48.9,-125.3,2.4941,316002974
2012-07-26,316002974,48.9,-125.5,1.6241,316002974
2012-07-26,316002974,48.9,-125.4,2.0833,316002974
2014-02-26,316002956,48.4,-125.5,0.7666,316002956
2014-02-26,316002956,48.4,-125.4,3.5972,316002956
2014-02-26,316002956,48.4,-125.3,3.8933,316002956
2014-02-26,316004702,49.3,-124.3,0.2925,316004702
2014-02-01,367444510,46.5,-124.6,1.8944,367444510
2014-02-01,316002956,48.4,-125.5,1.4002,316002956
2014-02-01,367059420,47.7,-122.5,1.0686,367059420
2014-02-01,367086640,47.6,-122.4,0.7013,367086640
2014-02-01,367086640,47.6,-122.5,0.7825,367086640
2013-07-23,338104000,46.0,-124.4,2.1644,338104000
