mmsi,shipname,flag
303343000,CAPEELIZABETH3,USA
303014000,WECOMA,USA
303161000,SYENZO,USA
303582000,BANDERA,USA
303588000,QUINNRIVER,USA
303598000,SEARETURN,USA
338014000,NEONMOON,USA
338015686,TWELFTHNIGHT,USA
338041366,IDYLLTIME,USA
338050877,CHALLENGE,USA
338053091,TRADITION,USA
338066063,CRAZY8,USA
338068467,TOOT,USA
338086521,SEAHORSE,USA
338092962,SEABRIGHT,USA
338101205,SAPPHIRE,USA
338105508,FARO,USA
338107455,WINDROSE,USA
338117483,SEAQUEL,USA
338124043,ASTRAEA,USA
338126122,BLUEWATERCAT32,USA
338129281,OASIS3,USA
338138102,ZONE,USA
338139951,CRONOS,USA
338140267,OUTTAHERE,USA
338141435,SVEMERALDTIDE,USA
338141683,ETERNALBLISS,USA
338144417,BOBBINANTSY,USA
338157577,REDCLOUD,USA
338168042,PENNYLANE,USA
338168252,JUNEBUG,USA
338176376,CAPRICORN3,USA
338177024,REPRIEVE,USA
338184000,SPECTRE,USA
338202000,MYPAPIPAPA,USA
338289000,CHIMERA,USA
338317000,PELIGROSO,USA
338337000,OFFCAY,USA
338340000,VERONIKA,USA
338389000,MYLADY,USA
338438000,NOMI,USA
338453000,BEINGNAUTI,USA
338485000,ESMERALDA,USA
338502000,VENTURA2,USA
338632000,GUSE,USA
338655000,STJUDITH3,USA
338713000,PAULJOHANSEN,USA
338798000,HARVEYBLUESEA,USA
338866000,JOETHOMPSONJR,USA
338882000,OCEANSTARS,USA
366018580,DESSERTFIRST,USA
366070000,PAVLOF,USA
366119000,DIAMONDSAREFOREVER,USA
366122640,LIGHTNINGBAY,USA
366176490,LADYJ,USA
366228000,VALENTINA,USA
366232280,PUFFIN,USA
366235840,TLUIS,USA
366271150,SEUTEDEERN,USA
366310690,SEMPERFIDELIS,USA
366313870,GAMMAHUNTER,USA
366424370,RISINGWIND,USA
366490000,BLUESKIES,USA
366528530,JATOMA,USA
366569150,MISSEMILY,USA
366578720,SVMIGRATION,USA
366677450,BLACKCORAL,USA
366688280,VALIANT,USA
366697630,KIMTHANH2,USA
366704840,RAISONDETRE,USA
366706330,IBIS,USA
366720000,DURUCAN,USA
366722180,LIONHEART,USA
366728560,ZAMADAWN,USA
366730270,CULMINATION,USA
366733140,MISSJENNIFER,USA
366738190,RESOLUTE,USA
366742260,SVWINDFLOWER,USA
366749850,SVKRIL,USA
366752290,VICTORIAROSE,USA
366754580,NIGHTINGALE,USA
366755250,SOLITAIRE,USA
366761390,SVVESPER,USA
366762140,SAILFISHER,USA
366762330,IMILOA,USA
366762390,VENUS,USA
366766370,TATOOSH5,USA
366766890,TUGINVADER,USA
366769540,WHITEWING,USA
366770940,AKAUAHELO,USA
366771870,KATHARA,USA
366772880,FEISTY,USA
366776090,AUDACIOUS2,USA
366777580,FINESSE,USA
366778860,MIVIDA,USA
366779590,SWEETWATER,USA
366780330,SHAZAM,USA
366787180,PILOTFORTSUMTER,USA
366788780,PURSUIT,USA
366795150,GREYGOOSE,USA
366797170,MAKINPROGRESS,USA
366801770,SABRINAJOY,USA
366806930,MCALLISTERBOYS,USA
366807660,MISSHANNAH,USA
366810570,WHIFFLER,USA
366811950,RUMRUNNER,USA
366816810,CAPTCHARLIE,USA
366822810,MISSLORIE,USA
366828690,SEARCHER,USA
366834550,OFFLINE,USA
366839720,KAMALOHA,USA
366840820,LARIAT,USA
366843260,SLIPAWAY,USA
366849480,MISSISSIPPI,USA
366850320,JABBERWOCK,USA
366850970,IMAGINE,USA
366851360,RANGER,USA
366858020,VTWIN,USA
366858770,FLIGHT,USA
366859930,BLUEPETER,USA
366864810,DAWNPIPER,USA
366869040,SEALION5,USA
366870080,LAETITIA,USA
366871650,COCAMO,USA
366878080,CONTINUOUS,USA
366903210,HENRYYOUNG,USA
366904340,TEXAN,USA
366904720,REACH,USA
366906000,SPIRITOFHONFLEUR,USA
366907230,ASLAN,USA
366918950,KAYDENNICOLE,USA
366922250,MONKEYBUSINESS,USA
366933110,SVANNIELAURIE,USA
366933810,SHOSHIN,USA
366939590,ESTRELLA,USA
366943880,JOANNMARIE,USA
366955780,ASYLUM,USA
366966160,JADE,USA
366967790,EMILEEALEXIS,USA
366970140,COUNTRYGIRL,USA
366971650,ISIS,USA
366972460,TILL,USA
366973940,ANDIAMO,USA
366982720,SANGAMON,USA
366984450,ITCHEN,USA
366986120,SVSCOTTFREE,USA
366988180,SDMORGAN,USA
366989640,BILLYP,USA
367001040,DESTINY,USA
367005460,LIFEISGOOD,USA
367005850,MISSENOLA,USA
367006690,CAPTAINGEORGE,USA
367006840,MANNREESE,USA
367007050,KATJA,USA
367007210,STARDANCER,USA
367007960,SIMONEBRUSCO,USA
367008970,LEGACY,USA
367009430,WESTPEARLRIVER,USA
367009930,CORNUCOPIAPRINCESS,USA
367015260,JUPITERSSMILE,USA
367015720,LADYSUSAN,USA
367017680,AYALI,USA
367020570,QWEST,USA
367025030,TONIC,USA
367027090,ENCHANTRESS,USA
367027280,EMERALDSTAR,USA
367027840,FRESHAIR,USA
367033210,MAXINE,USA
367035310,NOPLANS,USA
367036010,WHISPER,USA
367037050,SEAWITCH,USA
367041120,LADYJOAN,USA
367042520,SKANDIA,USA
367043070,STEVENTHOMAS,USA
367049630,PATRIOT,USA
367051270,RAMBLETOO,USA
367051560,LOVELYLADY,USA
367052480,FOXILADY,USA
367053530,LEEWAY,USA
367054120,LIBERTY,USA
367055020,ZEN,USA
367058953,PACIFIC,USA
367060430,BADBOY,USA
367061010,LUCKYLADY,USA
367061860,TIGER,USA
367061970,BUTCHER,USA
367064150,GONETOTHEDOGS,USA
367069520,IDUNN,USA
367073000,SENOIKI,USA
367074420,SILVERGIRL,USA
367075440,LASIRENA,USA
