"VESSEL_NUM","group"
"1021870",1
"1022007",2
"1022047",3
"1024362",2
"1026089",1
"1026090",2
"1027752",3
"1027754",3
"1028402",2
"1036317",3
"1037553",2
"1038717",1
"1050808",1
"1060787",1
"1061827",2
"1061828",4
"1061917",2
"1065761",4
"1074921",2
"1078115",2
"1081230",3
"1081263",3
"1096695",2
"1104597",3
"1106032",2
"1115186",2
"1129173",3
"1131965",2
"1133261",1
"1171448",3
"1172018",3
"1186583",3
"1187928",1
"1192587",1
"1209539",3
"1210115",2
"1211776",1
"1214458",2
"1218674",3
"1225561",2
"1225596",2
"1230071",2
"1233421",1
"1238032",1
"1239174",5
"1240646",1
"1242569",1
"1244073",3
"1244552",2
"1244677",2
"1244893",1
"1246619",1
"1249802",1
"1259418",1
"1278570",5
"1287540",3
"1293821",3
"234010",2
"234530",2
"235066",2
"236505",2
"236642",1
"236760",2
"236806",2
"236947",2
"237432",2
"238918",3
"238969",1
"246070",2
"246212",3
"246518",2
"246530",2
"246533",1
"247128",3
"248084",2
"248217",2
"248454",1
"248555",2
"249439",1
"249834",1
"252749",3
"253321",4
"253402",5
"254638",5
"255064",3
"255313",3
"257103",5
"257604",3
"257889",2
"257950",1
"257966",1
"258260",3
"261015",2
"261319",3
"261615",3
"262180",1
"263972",3
"265329",3
"266056",3
"266881",3
"267629",2
"269589",2
"271529",3
"273533",2
"276276",2
"276600",5
"276920",3
"280451",2
"280452",2
"280453",2
"284470",1
"288532",5
"291085",2
"291458",2
"292133",1
"295673",3
"298124",2
"299047",3
"299176",3
"501177",1
"503304",3
"504605",2
"506059",3
"507630",1
"507798",2
"509632",4
"510674",2
"511566",3
"511577",1
"513937",1
"516881",1
"519469",1
"519966",1
"520319",2
"521196",2
"521803",1
"521976",2
"524626",3
"524627",2
"531019",1
"531667",2
"532023",1
"533122",2
"534233",1
"537043",2
"538663",3
"538936",2
"541444",1
"542076",2
"542513",5
"545081",2
"547850",3
"548223",2
"548487",5
"549243",2
"549506",1
"550415",4
"550481",1
"550564",3
"553607",2
"553750",3
"554504",2
"554731",1
"556315",1
"556454",3
"557083",3
"557621",3
"558005",2
"558158",1
"558619",1
"558684",1
"559049",2
"559445",3
"560023",3
"561951",3
"562157",1
"563112",1
"563321",3
"563793",2
"563965",3
"564301",1
"566145",2
"566847",1
"569240",3
"570025",2
"570036",3
"570916",1
"571356",3
"572344",1
"576745",2
"576887",2
"577381",3
"578511",2
"578588",2
"579687",2
"580688",3
"580798",2
"580843",3
"580851",2
"582022",1
"582167",2
"582716",2
"583781",2
"584070",2
"584187",3
"584336",1
"584748",2
"584928",3
"586718",1
"589002",1
"590891",2
"592177",3
"592185",2
"592344",3
"593326",3
"593871",1
"594793",2
"595012",1
"595177",2
"595214",3
"596167",2
"596222",2
"596580",1
"596994",2
"597117",2
"597312",3
"597788",3
"598127",2
"598202",1
"598611",3
"598813",2
"599295",2
"599620",3
"599711",3
"600518",1
"602150",1
"602151",2
"602204",2
"602429",5
"602455",2
"602978",4
"603902",3
"604313",2
"605599",2
"606156",1
"606699",5
"607367",1
"607603",1
"607691",3
"607945",1
"608155",1
"608463",3
"608579",3
"610849",2
"611694",3
"611818",1
"613302",3
"613318",2
"614780",1
"615601",2
"615795",1
"618104",2
"618791",1
"619236",1
"619720",1
"620240",2
"621541",3
"621542",1
"621553",2
"622522",5
"623046",4
"623332",3
"623344",2
"623983",2
"624240",1
"625449",2
"625595",4
"626289",1
"628734",4
"629721",3
"630650",2
"633570",1
"634967",2
"635102",3
"635900",1
"635935",1
"636853",1
"637178",1
"640372",1
"640727",2
"642714",3
"643138",3
"643275",4
"643518",2
"643587",4
"644918",1
"646009",2
"646577",1
"647246",2
"647528",1
"648115",2
"648720",1
"649333",4
"649350",1
"649364",1
"650376",1
"650412",2
"652650",3
"653239",3
"653734",3
"655047",3
"655523",2
"659770",2
"661936",1
"671565",5
"675015",2
"675426",2
"685870",3
"690849",4
"693271",2
"697944",2
"900881",2
"901456",3
"908559",2
"924174",3
"927890",1
"928104",3
"930411",3
"932627",3
"934758",3
"936611",3
"939449",1
"942575",2
"942678",2
"943301",1
"944172",1
"944703",3
"946074",1
"947935",1
"949114",2
"950788",3
"951443",3
"955501",4
"958223",2
"959096",2
"962151",1
"967179",1
"967753",3
"969797",3
"971540",3
"972638",2
"973296",4
"973389",1
"974306",1
"974410",1
"975597",2
"976542",1
"978423",1
"979365",1
"983626",3
"984694",3
"986447",2
"986786",3
"986920",1
"987282",1
"988037",3
"991476",5
"993903",1
"994147",1
"995514",1
"AK1114AM",3
"AK1224I",1
"AK1301AN",2
"AK1795AN",1
"AK2103E",2
"AK2846AK",1
"AK3246P",2
"AK3565AN",1
"AK53403",2
"AK8806AM",2
"AK9671AF",2
"AK9680AN",2
"AZ5867BX",1
"CF0072HY",3
"CF0073KC",3
"CF0163TF",3
"CF0243CC",2
"CF0247AW",3
"CF0248EJ",3
"CF0250TP",3
"CF0265HY",3
"CF0318CV",1
"CF0450VP",3
"CF0500SK",3
"CF0508EZ",3
"CF0550FT",3
"CF0632ER",3
"CF0635HS",3
"CF0769SP",3
"CF0776EN",3
"CF0788KC",3
"CF0952HZ",3
"CF1078HS",3
"CF1212TR",3
"CF1220HA",3
"CF1263HU",3
"CF1372PZ",3
"CF1390HX",3
"CF1517GZ",3
"CF1532UP",2
"CF1566KA",3
"CF1696BA",3
"CF1739FG",3
"CF1822ST",3
"CF1854CD",3
"CF1855SZ",3
"CF1890HT",3
"CF1927VH",3
"CF1931ZM",2
"CF1972UF",2
"CF1978VH",3
"CF1983KF",2
"CF1986ZM",3
"CF2009TK",3
"CF2012TK",2
"CF2017ER",3
"CF2018KT",3
"CF2036TJ",3
"CF2117EG",3
"CF2159VH",3
"CF2171PA",2
"CF2212HN",3
"CF2297UN",3
"CF2314GM",1
"CF2334UF",3
"CF2353UN",3
"CF2362JT",3
"CF2372NN",3
"CF2379BL",3
"CF2433SN",3
"CF2476VR",3
"CF2484VE",3
"CF2485HP",2
"CF2491JN",3
"CF2499EK",3
"CF2649SS",3
"CF2693UH",3
"CF2742ST",3
"CF2766GX",2
"CF2776KR",3
"CF2803JV",3
"CF2804KR",3
"CF2811ST",3
"CF2821HM",2
"CF2854EU",3
"CF2880EV",3
"CF2992SN",3
"CF3001GC",3
"CF3029ST",3
"CF3035TP",3
"CF3041FH",3
"CF3101KK",2
"CF3105KK",3
"CF3109UC",3
"CF3234SM",3
"CF3248SV",3
