"VESSEL_NUM","group"
"1021870",1
"1022007",2
"1022047",3
"1024362",2
"1026089",4
"1026090",2
"1027752",3
"1027754",2
"1028402",2
"1036317",3
"1037553",2
"1038717",1
"1050808",4
"1060787",4
"1061827",2
"1061828",5
"1061917",2
"1065761",5
"1074921",2
"1078115",3
"1081230",3
"1081263",3
"1096695",4
"1104597",3
"1106032",5
"1115186",2
"1129173",3
"1131965",2
"1133261",4
"1171448",3
"1172018",3
"1186583",3
"1187928",1
"1192587",4
"1209539",3
"1210115",2
"1211776",1
"1214458",5
"1218674",3
"1225561",2
"1225596",5
"1230071",5
"1233421",4
"1238032",1
"1239174",4
"1240646",4
"1242569",1
"1244073",3
"1244552",5
"1244677",1
"1244893",4
"1246619",4
"1249802",4
"1259418",4
"1278570",4
"1287540",3
"1293821",3
"234010",5
"234530",2
"235066",2
"236505",2
"236642",1
"236760",2
"236806",5
"236947",5
"237432",2
"238918",3
"238969",1
"246070",5
"246212",3
"246518",5
"246530",5
"246533",4
"247128",2
"248084",2
"248217",2
"248454",1
"248555",2
"249439",4
"249834",4
"252749",3
"253321",5
"253402",2
"254638",2
"255064",3
"255313",3
"257103",5
"257604",3
"257889",2
"257950",4
"257966",4
"258260",3
"261015",2
"261319",3
"261615",3
"262180",3
"263972",3
"265329",3
"266056",3
"266881",4
"267629",2
"269589",2
"271529",3
"273533",2
"276276",2
"276600",2
"276920",3
"280451",5
"280452",5
"280453",5
"284470",4
"288532",2
"291085",2
"291458",5
"292133",4
"295673",3
"298124",2
"299047",3
"299176",3
"501177",1
"503304",3
"504605",5
"506059",3
"507630",4
"507798",2
"509632",5
"510674",5
"511566",3
"511577",4
"513937",4
"516881",4
"519469",4
"519966",4
"520319",5
"521196",2
"521803",4
"521976",2
"524626",4
"524627",2
"531019",4
"531667",5
"532023",4
"533122",5
"534233",1
"537043",2
"538663",3
"538936",2
"541444",4
"542076",5
"542513",4
"545081",5
"547850",3
"548223",2
"548487",2
"549243",2
"549506",1
"550415",5
"550481",4
"550564",3
"553607",5
"553750",3
"554504",2
"554731",4
"556315",4
"556454",3
"557083",3
"557621",3
"558005",2
"558158",4
"558619",4
"558684",4
"559049",5
"559445",3
"560023",3
"561951",3
"562157",2
"563112",4
"563321",3
"563793",2
"563965",3
"564301",4
"566145",5
"566847",4
"569240",3
"570025",2
"570036",3
"570916",4
"571356",3
"572344",4
"576745",5
"576887",2
"577381",3
"578511",2
"578588",5
"579687",2
"580688",3
"580798",2
"580843",3
"580851",5
"582022",4
"582167",5
"582716",5
"583781",2
"584070",2
"584187",3
"584336",4
"584748",5
"584928",3
"586718",1
"589002",3
"590891",1
"592177",3
"592185",5
"592344",3
"593326",3
"593871",4
"594793",5
"595012",4
"595177",2
"595214",3
"596167",5
"596222",2
"596580",4
"596994",2
"597117",2
"597312",4
"597788",3
"598127",2
"598202",4
"598611",3
"598813",2
"599295",5
"599620",3
"599711",3
"600518",4
"602150",1
"602151",2
"602204",2
"602429",4
"602455",5
"602978",5
"603902",3
"604313",2
"605599",2
"606156",1
"606699",2
"607367",4
"607603",1
"607691",3
"607945",1
"608155",1
"608463",3
"608579",3
"610849",5
"611694",3
"611818",5
"613302",3
"613318",5
"614780",1
"615601",2
"615795",1
"618104",5
"618791",4
"619236",1
"619720",4
"620240",2
"621541",3
"621542",1
"621553",5
"622522",2
"623046",5
"623332",3
"623344",5
"623983",2
"624240",1
"625449",2
"625595",5
"626289",1
"628734",5
"629721",3
"630650",2
"633570",4
"634967",5
"635102",3
"635900",1
"635935",1
"636853",4
"637178",4
"640372",4
"640727",2
"642714",3
"643138",3
"643275",5
"643518",2
"643587",5
"644918",4
"646009",2
"646577",4
"647246",2
"647528",1
"648115",5
"648720",4
"649333",5
"649350",1
"649364",4
"650376",4
"650412",2
"652650",3
"653239",3
"653734",3
"655047",3
"655523",2
"659770",5
"661936",1
"671565",2
"675015",3
"675426",3
"685870",3
"690849",5
"693271",5
"697944",5
"900881",5
"901456",3
"908559",2
"924174",3
"927890",4
"928104",3
"930411",2
"932627",3
"934758",3
"936611",3
"939449",4
"942575",5
"942678",1
"943301",1
"944172",4
"944703",3
"946074",4
"947935",4
"949114",2
"950788",3
"951443",3
"955501",5
"958223",2
"959096",2
"962151",4
"967179",4
"967753",3
"969797",3
"971540",3
"972638",5
"973296",1
"973389",4
"974306",4
"974410",4
"975597",2
"976542",1
"978423",1
"979365",4
"983626",3
"984694",3
"986447",5
"986786",3
"986920",4
"987282",4
"988037",3
"991476",2
"993903",4
"994147",2
"995514",4
"AK1114AM",3
"AK1224I",4
"AK1301AN",3
"AK1795AN",4
"AK2103E",2
"AK2846AK",3
"AK3246P",1
"AK3565AN",4
"AK53403",2
"AK8806AM",4
"AK9671AF",2
"AK9680AN",5
"AZ5867BX",1
"CF0072HY",3
"CF0073KC",3
"CF0163TF",3
"CF0243CC",5
"CF0247AW",3
"CF0248EJ",3
"CF0250TP",3
"CF0265HY",3
"CF0318CV",3
"CF0450VP",3
"CF0500SK",3
"CF0508EZ",3
"CF0550FT",3
"CF0632ER",3
"CF0635HS",3
"CF0769SP",3
"CF0776EN",3
"CF0788KC",3
"CF0952HZ",3
"CF1078HS",3
"CF1212TR",3
"CF1220HA",3
"CF1263HU",3
"CF1372PZ",3
"CF1390HX",3
"CF1517GZ",3
"CF1532UP",3
"CF1566KA",3
"CF1696BA",3
"CF1739FG",3
"CF1822ST",3
"CF1854CD",3
"CF1855SZ",3
"CF1890HT",3
"CF1927VH",3
"CF1931ZM",2
"CF1972UF",5
"CF1978VH",3
"CF1983KF",2
"CF1986ZM",3
"CF2009TK",3
"CF2012TK",2
"CF2017ER",3
"CF2018KT",3
"CF2036TJ",3
"CF2117EG",3
"CF2159VH",3
"CF2171PA",2
"CF2212HN",3
"CF2297UN",3
"CF2314GM",3
"CF2334UF",3
"CF2353UN",3
"CF2362JT",3
"CF2372NN",3
"CF2379BL",3
"CF2433SN",3
"CF2476VR",3
"CF2484VE",3
"CF2485HP",2
"CF2491JN",3
"CF2499EK",3
"CF2649SS",3
"CF2693UH",3
"CF2742ST",3
"CF2766GX",2
"CF2776KR",3
"CF2803JV",3
"CF2804KR",3
"CF2811ST",3
"CF2821HM",2
"CF2854EU",3
"CF2880EV",3
"CF2992SN",3
"CF3001GC",3
"CF3029ST",3
"CF3035TP",3
"CF3041FH",3
"CF3101KK",2
"CF3105KK",3
"CF3109UC",3
"CF3234SM",3
"CF3248SV",3
