"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","EXVESSEL_REVENUE","LANDED_WEIGHT_PPP","LANDED_WEIGHT_MTONS","CONFIDENTIAL_FLAG"
"1981","O","CPEL","....","PACIFIC HERRING","PHRG",57281,.39,67.3,""
"1981","O","CPEL","WETF","CHUB MACKEREL","CMCK",,,,"*"
"1981","O","CPEL","WETF","MARKET SQUID","MSQD",,,,"*"
"1981","O","CRAB","....","DUNGENESS CRAB","DCRB",6712299,.96,3167.9,""
"1981","O","CRAB","....","ROCK CRAB","RCRB",,,,"*"
"1981","O","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",120049,.09,594.8,""
"1981","O","GRND","FLAT","BUTTER SOLE","BSOL",4235,.19,10.2,""
"1981","O","GRND","FLAT","CURLFIN SOLE","CSOL",1964,.38,2.3,""
"1981","O","GRND","FLAT","DOVER SOLE","DOVR",2568934,.22,5294.8,""
"1981","O","GRND","FLAT","ENGLISH SOLE","EGLS",464209,.29,725.8,""
"1981","O","GRND","FLAT","FLATHEAD SOLE","FSOL",3096,.28,5,""
"1981","O","GRND","FLAT","PACIFIC SANDDAB","PDAB",79510,.27,133.2,""
"1981","O","GRND","FLAT","PETRALE SOLE","PTRL",1027059,.53,883.9,""
"1981","O","GRND","FLAT","REX SOLE","REX",405175,.3,610.7,""
"1981","O","GRND","FLAT","ROCK SOLE","RSOL",6888,.35,9,""
"1981","O","GRND","FLAT","SAND SOLE","SSOL",340277,.46,333.6,""
"1981","O","GRND","FLAT","STARRY FLOUNDER","STRY",199930,.22,403.4,""
"1981","O","GRND","MGRN","SPINY DOGFISH","DSRK",739,.07,4.8,""
"1981","O","GRND","MGRN","SOUPFIN SHARK","SSRK",1212,.34,1.6,""
"1981","O","GRND","MGRN","UNSP. SKATE","USKT",6773,.08,38.9,""
"1981","O","GRND","ROCK","NOM. POP","POP2",696537,.16,1973.6,""
"1981","O","GRND","ROCK","UNSP. ROCKFISH","URCK",6994017,.14,22720.6,""
"1981","O","GRND","ROND","CABEZON","CBZN",95,.32,.1,""
"1981","O","GRND","ROND","LINGCOD","LCOD",511958,.22,1046.6,""
"1981","O","GRND","ROND","PACIFIC COD","PCOD",24858,.21,53,""
"1981","O","GRND","ROND","PACIFIC WHITING","PWHT",25204,.07,163.4,""
"1981","O","GRND","ROND","SABLEFISH","SABL",1065983,.21,2262.5,""
"1981","O","HMSP","TUNA","ALBACORE","ALBC",6686230,.87,3504.9,""
"1981","O","OTHR","....","EULACHON","EULC",4651,.2,10.7,""
"1981","O","OTHR","....","MISC. FISH/ANIMALS","MISC",,,,"*"
"1981","O","OTHR","....","MISC. FISH","MSC2",83,.5,.1,""
"1981","O","OTHR","....","UNSP. OCTOPUS","OCTP",6271,.45,6.4,""
"1981","O","OTHR","....","PACIFIC HALIBUT","PHLB",160040,1.35,53.8,""
"1981","O","OTHR","....","UNSP. SHAD","SHAD",27225,.23,53.3,""
"1981","O","OTHR","....","UNSP. SMELT","SMLT",,,,"*"
"1981","O","OTHR","....","UNSP. SHARK","USRK",656,.51,.6,""
"1981","O","OTHR","....","WOLF EEL","WEEL",716,.5,.7,""
"1981","O","OTHR","STRG","GREEN STURGEON","GSTG",4072,.41,4.5,""
"1981","O","OTHR","STRG","WHITE STURGEON","WSTG",291875,1.04,127.1,""
"1981","O","SAMN","....","CHINOOK SALMON","CHNK",4825949,2.19,999.4,""
"1981","O","SAMN","....","CHUM SALMON","CHUM",6697,.6,5,""
"1981","O","SAMN","....","COHO SALMON","COHO",5908517,1.62,1659.1,""
"1981","O","SAMN","....","PINK SALMON","PINK",272008,.84,147,""
"1981","O","SAMN","....","STEELHEAD","STLH",74663,1.22,27.7,""
"1981","O","SHLL","CLAM","BUTTER CLAM","BCLM",,,,"*"
"1981","O","SHLL","CLAM","BASKET COCKLE","CKLE",,,,"*"
"1981","O","SHLL","CLAM","CALIFORNIA MUSSEL","CMSL",,,,"*"
"1981","O","SHLL","CLAM","GAPER CLAM","GCLM",21360,.34,28.2,""
"1981","O","SHLL","CLAM","NATIVE LITTLENECK","LCLM",,,,"*"
"1981","O","SHLL","CLAM","RAZOR CLAM","RCLM",,,,"*"
"1981","O","SHLL","CLAM","SOFT-SHELLED CLAM","SCLM",,,,"*"
"1981","O","SHLL","SCAL","OTHER SCALLOP","OSCL",4699262,1.27,1684.1,""
"1981","O","SRMP","....","GHOST SHRIMP","GSRM",,,,"*"
"1981","O","SRMP","....","PACIFIC PINK SHRIMP","PSHP",13043320,.5,11758.7,""
"1981","O","XXXX","","WITHHELD FOR CONFIDENTIALITY**","",305430,,201.4,""
"1982","O","CPEL","....","PACIFIC HERRING","PHRG",42767,.3,65.8,""
"1982","O","CPEL","WETF","CHUB MACKEREL","CMCK",41,.49,0,""
"1982","O","CPEL","WETF","MARKET SQUID","MSQD",9124,.08,51.3,""
"1982","O","CPEL","WETF","NORTHERN ANCHOVY","NANC",,,,"*"
"1982","O","CRAB","....","DUNGENESS CRAB","DCRB",7549779,1.07,3191.1,""
"1982","O","CRAB","....","OTHER CRAB","OCRB",,,,"*"
"1982","O","CRAB","TCRB","UNSP. TANNER CRAB","UTCR",,,,"*"
"1982","O","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",165063,.1,733.6,""
"1982","O","GRND","FLAT","BUTTER SOLE","BSOL",4320,.23,8.7,""
"1982","O","GRND","FLAT","CURLFIN SOLE","CSOL",2991,.31,4.4,""
"1982","O","GRND","FLAT","DOVER SOLE","DOVR",4197648,.23,8142.6,""
"1982","O","GRND","FLAT","ENGLISH SOLE","EGLS",701207,.32,992.2,""
"1982","O","GRND","FLAT","FLATHEAD SOLE","FSOL",2038,.31,3,""
"1982","O","GRND","FLAT","PACIFIC SANDDAB","PDAB",158287,.3,238.6,""
"1982","O","GRND","FLAT","PETRALE SOLE","PTRL",2059792,.62,1507.7,""
"1982","O","GRND","FLAT","REX SOLE","REX",602021,.32,846.2,""
"1982","O","GRND","FLAT","ROCK SOLE","RSOL",22250,.33,30.2,""
"1982","O","GRND","FLAT","SAND SOLE","SSOL",448486,.52,388.7,""
"1982","O","GRND","FLAT","STARRY FLOUNDER","STRY",120721,.25,218.5,""
"1982","O","GRND","MGRN","SPINY DOGFISH","DSRK",202,.1,.9,""
"1982","O","GRND","MGRN","SOUPFIN SHARK","SSRK",4309,.39,5,""
"1982","O","GRND","MGRN","UNSP. SKATE","USKT",15805,.25,29,""
"1982","O","GRND","ROCK","NOM. POP","POP2",1033321,.19,2498.4,""
"1982","O","GRND","ROCK","UNSP. ROCKFISH","URCK",7238709,.18,18702,""
"1982","O","GRND","ROND","CABEZON","CBZN",29,.2,.1,""
"1982","O","GRND","ROND","LINGCOD","LCOD",767528,.24,1457.7,""
"1982","O","GRND","ROND","PACIFIC COD","PCOD",62397,.24,118.1,""
"1982","O","GRND","ROND","PACIFIC WHITING","PWHT",68,.07,.5,""
"1982","O","GRND","ROND","SABLEFISH","SABL",2539933,.24,4837.3,""
"1982","O","HMSP","TUNA","ALBACORE","ALBC",1265313,.66,863.5,""
"1982","O","HMSP","TUNA","SKIPJACK TUNA","STNA",,,,"*"
