"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","EXVESSEL_REVENUE","LANDED_WEIGHT_PPP","LANDED_WEIGHT_MTONS","CONFIDENTIAL_FLAG"
"1981","W","CPEL","....","PACIFIC HERRING","PHRG",628635,.25,1163.6,""
"1981","W","CPEL","WETF","NORTHERN ANCHOVY","NANC",295,.1,1.3,""
"1981","W","CRAB","....","DUNGENESS CRAB","DCRB",3469841,.88,1790,""
"1981","W","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",95653,.1,434.5,""
"1981","W","GRND","FLAT","BUTTER SOLE","BSOL",4896,.11,21.1,""
"1981","W","GRND","FLAT","DOVER SOLE","DOVR",893823,.21,1960.8,""
"1981","W","GRND","FLAT","ENGLISH SOLE","EGLS",509210,.26,890.5,""
"1981","W","GRND","FLAT","OTHER FLATFISH","OFLT",,,,"*"
"1981","W","GRND","FLAT","PETRALE SOLE","PTRL",376232,.49,351.8,""
"1981","W","GRND","FLAT","REX SOLE","REX",91113,.26,156.7,""
"1981","W","GRND","FLAT","ROCK SOLE","RSOL",86349,.27,143.1,""
"1981","W","GRND","FLAT","SAND SOLE","SSOL",117144,.4,133.6,""
"1981","W","GRND","FLAT","STARRY FLOUNDER","STRY",176558,.17,465.3,""
"1981","W","GRND","FLAT","UNSP. SANDDABS","UDAB",,,,"*"
"1981","W","GRND","FLAT","UNSP. FLATFISH","UFLT",8281,.23,16.4,""
"1981","W","GRND","MGRN","SPINY DOGFISH","DSRK",402240,.09,2059.8,""
"1981","W","GRND","MGRN","SPOTTED RATFISH","RATF",1890,.02,44.1,""
"1981","W","GRND","MGRN","SOUPFIN SHARK","SSRK",,,,"*"
"1981","W","GRND","MGRN","UNSP. SKATE","USKT",9761,.13,34,""
"1981","W","GRND","ROCK","BOCACCIO","BCAC",16354,.16,45.4,""
"1981","W","GRND","ROCK","BLACK ROCKFISH","BLCK",72654,.15,213,""
"1981","W","GRND","ROCK","CHILIPEPPER ROCKFISH","CLPR",873,.16,2.5,""
"1981","W","GRND","ROCK","CANARY ROCKFISH","CNRY",175320,.16,508.1,""
"1981","W","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",13094,.16,36.8,""
"1981","W","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",797,.17,2.2,""
"1981","W","GRND","ROCK","PACIFIC OCEAN PERCH","POP",135918,.16,383.1,""
"1981","W","GRND","ROCK","REDBANDED ROCKFISH","RDBD",8553,.16,24.3,""
"1981","W","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",168445,.15,493.4,""
"1981","W","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",5409,.15,15.9,""
"1981","W","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",4801,.17,13.1,""
"1981","W","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",53352,.16,146.8,""
"1981","W","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",13380,.16,37.8,""
"1981","W","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",3571,.15,10.7,""
"1981","W","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",25488,.16,72.1,""
"1981","W","GRND","ROCK","UNSP. POP GROUP","UPOP",20576,.17,56.3,""
"1981","W","GRND","ROCK","UNSP. ROCKFISH","URCK",364942,.17,958.4,""
"1981","W","GRND","ROCK","WIDOW ROCKFISH","WDOW",2174363,.14,6864.7,""
"1981","W","GRND","ROCK","YELLOWEYE ROCKFISH","YEYE",971,.16,2.8,""
"1981","W","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",3265,.16,9.3,""
"1981","W","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",1754138,.16,5128.3,""
"1981","W","GRND","ROND","LINGCOD","LCOD",523684,.24,1004.8,""
"1981","W","GRND","ROND","PACIFIC COD","PCOD",989993,.19,2395.5,""
"1981","W","GRND","ROND","WALLEYE POLLOCK","PLCK",154848,.1,724.2,""
"1981","W","GRND","ROND","PACIFIC WHITING","PWHT",203347,.02,4279.8,""
"1981","W","GRND","ROND","SABLEFISH","SABL",1429624,.3,2174.6,""
"1981","W","HMSP","....","BLUE SHARK","BSRK",,,,"*"
"1981","W","HMSP","TUNA","ALBACORE","ALBC",1668436,.87,873.6,""
"1981","W","OTHR","....","EULACHON","EULC",146742,.09,749.9,""
"1981","W","OTHR","....","MISC. FISH/ANIMALS","MISC",,,,"*"
"1981","W","OTHR","....","MISC. FISH","MSC2",65028,.43,69.3,""
"1981","W","OTHR","....","UNSP. OCTOPUS","OCTP",12673,.37,15.6,""
"1981","W","OTHR","....","PACIFIC HALIBUT","PHLB",258555,1.25,94.1,""
"1981","W","OTHR","....","UNSP. SCULPIN","SCLP",40,.21,.1,""
"1981","W","OTHR","....","UNSP. SHAD","SHAD",126,.17,.3,""
"1981","W","OTHR","....","UNSP. SMELT","SMLT",24841,.39,28.8,""
"1981","W","OTHR","....","UNSP. SQUID","SQID",3869,.33,5.3,""
"1981","W","OTHR","ECHN","RED SEA URCHIN","RURC",28876,.11,121.7,""
"1981","W","OTHR","ECHN","UNSP. SEA CUCUMBERS","USCU",40012,.15,125,""
"1981","W","OTHR","STRG","GREEN STURGEON","GSTG",30181,.37,36.9,""
"1981","W","OTHR","STRG","WHITE STURGEON","WSTG",266313,.98,122.8,""
"1981","W","SAMN","....","CHINOOK SALMON","CHNK",10690721,1.73,2800.1,""
"1981","W","SAMN","....","CHUM SALMON","CHUM",4599948,.76,2738.9,""
"1981","W","SAMN","....","COHO SALMON","COHO",8591993,1.24,3151,""
"1981","W","SAMN","....","PINK SALMON","PINK",9457289,.48,8967.4,""
"1981","W","SAMN","....","SOCKEYE SALMON","SOCK",11625639,1.54,3418.7,""
"1981","W","SAMN","....","STEELHEAD","STLH",507184,2.2,104.7,""
"1981","W","SHLL","CLAM","BUTTER CLAM","BCLM",,,,"*"
"1981","W","SHLL","CLAM","GEODUCK","GDUK",440791,.1,1946,""
"1981","W","SHLL","CLAM","HORSE CLAMS","HCLM",,,,"*"
"1981","W","SHLL","CLAM","NATIVE LITTLENECK","LCLM",,,,"*"
"1981","W","SHLL","CLAM","MANILA CLAM","MCLM",,,,"*"
"1981","W","SHLL","CLAM","RAZOR CLAM","RCLM",,,,"*"
"1981","W","SHLL","CLAM","UNSP. CLAM","UCLM",,,,"*"
"1981","W","SHLL","OYST","EASTERN OYSTER","ESTR",,,,"*"
"1981","W","SHLL","OYST","KUMAMOTO OYSTER","KSTR",,,,"*"
"1981","W","SHLL","OYST","OLYMPIA OYSTER","LSTR",,,,"*"
"1981","W","SHLL","OYST","PACIFIC OYSTER","PSTR",,,,"*"
"1981","W","SHLL","SCAL","UNSP. SCALLOP","USCL",1197370,2.89,187.7,""
"1981","W","SRMP","....","OTHER SHRIMP","OSRM",2976,.52,2.6,""
"1981","W","SRMP","....","PACIFIC PINK SHRIMP","PSHP",5027621,.5,4574.2,""
"1981","W","SRMP","....","SPOTTED PRAWN","SPRW",168698,3.25,23.5,""
"1981","W","XXXX","","WITHHELD FOR CONFIDENTIALITY**","",5576608,,3764.5,""
"1982","W","CPEL","....","PACIFIC HERRING","PHRG",774191,.31,1115.1,""
"1982","W","CPEL","WETF","NORTHERN ANCHOVY","NANC",,,,"*"
"1982","W","CRAB","....","DUNGENESS CRAB","DCRB",4017662,1,1813.4,""
"1982","W","CRAB","....","ROCK CRAB","RCRB",,,,"*"
"1982","W","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",391183,.11,1570.4,""
"1982","W","GRND","FLAT","BUTTER SOLE","BSOL",1607,.11,6.8,""
"1982","W","GRND","FLAT","DOVER SOLE","DOVR",1354978,.22,2748,""
"1982","W","GRND","FLAT","ENGLISH SOLE","EGLS",559185,.24,1061.7,""
"1982","W","GRND","FLAT","OTHER FLATFISH","OFLT",,,,"*"
"1982","W","GRND","FLAT","PETRALE SOLE","PTRL",426263,.58,330.9,""
"1982","W","GRND","FLAT","REX SOLE","REX",144422,.28,231.3,""
"1982","W","GRND","FLAT","ROCK SOLE","RSOL",71331,.3,107.7,""
"1982","W","GRND","FLAT","SAND SOLE","SSOL",220518,.46,216.2,""
"1982","W","GRND","FLAT","STARRY FLOUNDER","STRY",258336,.19,604.8,""
"1982","W","GRND","FLAT","UNSP. SANDDABS","UDAB",3948,.29,6.2,""
"1982","W","GRND","FLAT","UNSP. FLATFISH","UFLT",11451,.25,20.6,""
"1982","W","GRND","MGRN","SPINY DOGFISH","DSRK",445682,.1,2079.8,""
"1982","W","GRND","MGRN","SPOTTED RATFISH","RATF",,,,"*"
"1982","W","GRND","MGRN","SOUPFIN SHARK","SSRK",456,.53,.4,""
"1982","W","GRND","MGRN","UNSP. SKATE","USKT",14321,.12,55.8,""
"1982","W","GRND","ROCK","BOCACCIO","BCAC",17831,.18,45.8,""
"1982","W","GRND","ROCK","BLACK ROCKFISH","BLCK",72452,.18,183.1,""
"1982","W","GRND","ROCK","CANARY ROCKFISH","CNRY",169061,.18,429.8,""
"1982","W","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",10101,.19,23.6,""
"1982","W","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",1070,.19,2.6,""
"1982","W","GRND","ROCK","PACIFIC OCEAN PERCH","POP",114997,.2,266.5,""
"1982","W","GRND","ROCK","REDBANDED ROCKFISH","RDBD",3674,.19,8.9,""
"1982","W","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",55116,.18,140.7,""
"1982","W","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",17262,.18,42.5,""
"1982","W","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",2718,.2,6.3,""
"1982","W","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",28683,.18,72.2,""
"1982","W","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",2633,.2,6.1,""
"1982","W","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",2601,.18,6.4,""
"1982","W","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",45452,.18,115.2,""
"1982","W","GRND","ROCK","UNSP. POP GROUP","UPOP",26975,.2,61.5,""
"1982","W","GRND","ROCK","UNSP. ROCKFISH","URCK",342294,.21,736.3,""
"1982","W","GRND","ROCK","WIDOW ROCKFISH","WDOW",2265071,.17,5980,""
"1982","W","GRND","ROCK","YELLOWEYE ROCKFISH","YEYE",1807,.19,4.4,""
"1982","W","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",1415,.19,3.4,""
"1982","W","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",2278086,.18,5769.3,""
"1982","W","GRND","ROND","LINGCOD","LCOD",626251,.29,996.3,""
"1982","W","GRND","ROND","PACIFIC COD","PCOD",780433,.22,1617.7,""
"1982","W","GRND","ROND","WALLEYE POLLOCK","PLCK",22758,.11,90.8,""
"1982","W","GRND","ROND","PACIFIC WHITING","PWHT",335987,.03,6048.2,""
"1982","W","GRND","ROND","SABLEFISH","SABL",2302942,.28,3708.8,""
"1982","W","HMSP","....","BLUE SHARK","BSRK",,,,"*"
"1982","W","HMSP","TUNA","ALBACORE","ALBC",363957,.62,265.6,""
"1982","W","OTHR","....","EULACHON","EULC",178882,.08,977.3,""
"1982","W","OTHR","....","MISC. FISH/ANIMALS","MISC",,,,"*"
"1982","W","OTHR","....","MISC. FISH","MSC2",59524,.41,65.6,""
"1982","W","OTHR","....","UNSP. OCTOPUS","OCTP",13017,.44,13.5,""
"1982","W","OTHR","....","PACIFIC HALIBUT","PHLB",175961,1.33,59.8,""
"1982","W","OTHR","....","UNSP. SCULPIN","SCLP",191,.18,.5,""
"1982","W","OTHR","....","UNSP. SHAD","SHAD",9995,.15,30.1,""
"1982","W","OTHR","....","UNSP. SMELT","SMLT",30614,.34,40.7,""
"1982","W","OTHR","....","UNSP. SQUID","SQID",1535,.36,1.9,""
"1982","W","OTHR","....","UNSP. SHARK","USRK",660,.5,.6,""
"1982","W","OTHR","ECHN","RED SEA URCHIN","RURC",,,,"*"
"1982","W","OTHR","ECHN","UNSP. SEA CUCUMBERS","USCU",4121,.15,12.3,""
"1982","W","OTHR","STRG","GREEN STURGEON","GSTG",36455,.37,44.5,""
"1982","W","OTHR","STRG","WHITE STURGEON","WSTG",229472,1,104.2,""
"1982","W","SAMN","....","CHINOOK SALMON","CHNK",11399068,1.67,3090.5,""
"1982","W","SAMN","....","CHUM SALMON","CHUM",6467344,.54,5475.7,""
"1982","W","SAMN","....","COHO SALMON","COHO",10847395,.93,5275.7,""
"1982","W","SAMN","....","PINK SALMON","PINK",383,.58,.3,""
"1982","W","SAMN","....","SOCKEYE SALMON","SOCK",23343746,1.27,8367.3,""
"1982","W","SAMN","....","STEELHEAD","STLH",430269,1.74,112,""
"1982","W","SHLL","CLAM","BUTTER CLAM","BCLM",38533,.21,85.1,""
"1982","W","SHLL","CLAM","GEODUCK","GDUK",502577,.09,2405.4,""
