"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","NPS_LANDED_WEIGHT_MTONS","NPS_LANDED_WEIGHT_PPP","NPS_EXVESSEL_REVENUE","NPS_CONFIDENTIAL_FLAG","SPS_LANDED_WEIGHT_MTONS","SPS_LANDED_WEIGHT_PPP","SPS_EXVESSEL_REVENUE","SPS_CONFIDENTIAL_FLAG","CWA_LANDED_WEIGHT_MTONS","CWA_LANDED_WEIGHT_PPP","CWA_EXVESSEL_REVENUE","CWA_CONFIDENTIAL_FLAG","CLW_LANDED_WEIGHT_MTONS","CLW_LANDED_WEIGHT_PPP","CLW_EXVESSEL_REVENUE","CLW_CONFIDENTIAL_FLAG","WA5_LANDED_WEIGHT_MTONS","WA5_LANDED_WEIGHT_PPP","WA5_EXVESSEL_REVENUE","WA5_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1981","W","CPEL","....","PACIFIC HERRING","PHRG",708.8,.19,294891,"",454.7,.33,333744,"",,,,"",,,,"",,,,"",1163.5,,628635,""
"1981","W","CPEL","WETF","NORTHERN ANCHOVY","NANC",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"1981","W","CRAB","....","DUNGENESS CRAB","DCRB",658.3,.83,1211406,"",26.3,.88,50803,"",859.6,.9,1701681,"",245.8,.93,505951,"",,,,"",1790,,3469841,""
"1981","W","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",300.6,.1,66284,"",35,.1,8022,"",2.8,.09,564,"",,,,"*",,,,"",338.4,,74870,"*"
"1981","W","GRND","FLAT","BUTTER SOLE","BSOL",21.1,.11,4881,"",,,,"*",,,,"*",,,,"*",,,,"",21.1,,4881,"*"
"1981","W","GRND","FLAT","DOVER SOLE","DOVR",1114.2,.21,503758,"",102.8,.2,46262,"",392.5,.21,183364,"",351.3,.21,160438,"",,,,"",1960.8,,893822,""
"1981","W","GRND","FLAT","ENGLISH SOLE","EGLS",726.8,.26,420717,"",66.5,.19,28316,"",47.9,.29,30079,"",49.3,.28,30098,"",,,,"",890.5,,509210,""
"1981","W","GRND","FLAT","OTHER FLATFISH","OFLT",,,,"",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"1981","W","GRND","FLAT","PETRALE SOLE","PTRL",139.2,.44,135552,"",27.3,.49,29276,"",138.6,.51,157186,"",46.7,.53,54219,"",,,,"",351.8,,376233,""
"1981","W","GRND","FLAT","REX SOLE","REX",5.3,.2,2341,"",,,,"*",46.5,.27,27479,"",85,.28,52349,"",,,,"",136.8,,82169,"*"
"1981","W","GRND","FLAT","ROCK SOLE","RSOL",126.8,.27,75841,"",11.6,.31,7817,"",4,.24,2149,"",,,,"*",,,,"",142.4,,85807,"*"
"1981","W","GRND","FLAT","SAND SOLE","SSOL",64.9,.35,50454,"",10.8,.37,8734,"",41.6,.45,41676,"",16.3,.45,16280,"",,,,"",133.6,,117144,""
"1981","W","GRND","FLAT","STARRY FLOUNDER","STRY",352,.16,124238,"",26.1,.19,10997,"",36.1,.21,16541,"",51.2,.22,24782,"",,,,"",465.4,,176558,""
"1981","W","GRND","FLAT","UNSP. SANDDABS","UDAB",,,,"",,,,"",,,,"",,,,"*",,,,"",0,,0,"*"
"1981","W","GRND","FLAT","UNSP. FLATFISH","UFLT",12.8,.24,6764,"",,,,"*",,,,"",,,,"*",,,,"",12.8,,6764,"*"
