"LANDING_YEAR","PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","FIRST_QTR_LANDED_WEIGHT_MTONS","FIRST_QTR_EXVESSEL_REVENUE","FIRST_QTR_LANDED_PPP","FIRST_QTR_NUMBER_OF_VESSELS","FIRST_QTR_NUMBER_OF_DEALERS","FIRST_QTR_CONFIDENTIAL_FLAG","SECOND_QTR_LANDED_WEIGHT_MTONS","SECOND_QTR_EXVESSEL_REVENUE","SECOND_QTR_LANDED_PPP","SECOND_QTR_NUMBER_OF_VESSELS","SECOND_QTR_NUMBER_OF_DEALERS","SECOND_QTR_CONFIDENTIAL_FLAG","THIRD_QTR_LANDED_WEIGHT_MTONS","THIRD_QTR_EXVESSEL_REVENUE","THIRD_QTR_LANDED_PPP","THIRD_QTR_NUMBER_OF_VESSELS","THIRD_QTR_NUMBER_OF_DEALERS","THIRD_QTR_CONFIDENTIAL_FLAG","FOURTH_QTR_LANDED_WEIGHT_MTONS","FOURTH_QTR_EXVESSEL_REVENUE","FOURTH_QTR_LANDED_PPP","FOURTH_QTR_NUMBER_OF_VESSELS","FOURTH_QTR_NUMBER_OF_DEALERS","FOURTH_QTR_CONFIDENTIAL_FLAG"
"1981","CMCK","CHUB MACKEREL",7181.06,1423511.2,.09,93,46," ",2883.9,607961.93,.1,127,55," ",15577.5,3212337.23,.09,185,63," ",9612.28,2002605.82,.09,103,43," "
"1981","JMCK","JACK MACKEREL",6637.96,1320860.62,.09,60,26," ",4669.28,978185.12,.1,79,45," ",3450.75,724022.88,.1,81,44," ",3019.87,630318.47,.09,55,22," "
"1981","MSQD","MARKET SQUID",5232.82,508227.4,.04,55,31," ",5380.34,1654954.45,.14,45,24," ",4211.5,1254577.95,.14,58,32," ",8685,1660129.69,.09,106,44," "
"1981","NANC","NORTHERN ANCHOVY",10907.6,694574.32,.03,36,14," ",33539.89,2077438.43,.03,48,21," ",942.35,112041.97,.05,17,16," ",6721.38,377619.36,.03,23,17," "
"1981","PSDN","PACIFIC SARDINE",7.04,1400.96,.09,7,4," ",,,,3,2,"*",4.26,891.2,.1,6,4," ",1.53,319,.09,4,4," "
"1981","UMCK","UNSP. MACKEREL",16.37,4098.48,.11,36,16," ",1.73,686.62,.18,21,14," ",3.05,1278.43,.19,50,20," ",110.29,28965.86,.12,74,34," "
"1981","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",0,0,0,,," ",0,0,0,,," "
"1981 TOTAL","","",29982.86,3952672.98,.06,,," ",46475.14,5319226.55,.05,,,"*",24189.41,5305149.66,.1,,," ",28150.35,4699958.19,.08,,," "
"1982","CMCK","CHUB MACKEREL",6168.35,1276247.26,.09,82,34," ",453.46,74563.19,.07,67,38," ",3247.49,679699.98,.09,102,42," ",7797.59,1451989.13,.08,77,35," "
"1982","JMCK","JACK MACKEREL",5963.88,1227665.98,.09,46,14," ",2132.39,441540.59,.09,43,18," ",7834.88,1618429.03,.09,61,21," ",3686.03,696303.82,.09,56,18," "
"1982","MSQD","MARKET SQUID",5175.26,619184.96,.05,60,24," ",6146.06,1460688.01,.11,61,29," ",3016.06,879574.22,.13,59,29," ",2021.98,625136.99,.14,64,34," "
"1982","NANC","NORTHERN ANCHOVY",1738.96,97078.5,.03,17,15," ",36879.64,1791346.4,.02,41,25," ",1202.73,137790.95,.05,15,22," ",2328.37,129181.52,.03,17,18," "
"1982","PSDN","PACIFIC SARDINE",,,,3,1,"*",0,0,0,0,0," ",,,,2,2,"*",,,,1,1,"*"
"1982","UMCK","UNSP. MACKEREL",5199.24,1086441.63,.09,106,42," ",3327.05,693216.57,.09,129,60," ",6648.91,1381526.99,.09,209,86," ",3219.39,618533.79,.09,130,51," "
"1982","XXXX Subtotal","",,,,,,"*",0,0,0,,," ",,,,,,"*",,,,,,"*"
"1982 TOTAL","","",24245.69,4306618.33,.08,,,"*",48938.6,4461354.76,.04,,," ",21950.08,4697021.17,.1,,,"*",19053.36,3521145.25,.08,,,"*"
"1983","CMCK","CHUB MACKEREL",306.45,59703.81,.09,35,17," ",3530.41,691844.84,.09,94,35," ",7477.71,1379943.69,.08,146,47," ",6505.2,1115668.44,.08,65,25," "
"1983","JMCK","JACK MACKEREL",542.23,106401.78,.09,22,12," ",5207.15,1026778.51,.09,57,21," ",2465.86,420581.27,.08,61,25," ",1613.88,238489.27,.07,40,19," "
"1983","MSQD","MARKET SQUID",853.69,325205.78,.17,49,18," ",403.57,199612.86,.22,50,34," ",699.87,311226.48,.2,44,32," ",1.37,1879.12,.62,23,19," "
"1983","NANC","NORTHERN ANCHOVY",253.98,30712.79,.05,9,11," ",3523.73,265009.63,.03,28,25," ",287.59,60896.42,.1,10,14," ",361.4,55300.39,.07,9,14," "
"1983","PSDN","PACIFIC SARDINE",,,,1,1,"*",0,0,0,0,0," ",,,,2,2,"*",0,0,0,0,0," "
"1983","UMCK","UNSP. MACKEREL",2998.34,589231.52,.09,87,35," ",13404.93,2825323.18,.1,125,60," ",5383.49,1050814.53,.09,216,79," ",1868.81,320599.46,.08,109,58," "
"1983","XXXX Subtotal","",,,,,,"*",0,0,0,,," ",,,,,,"*",0,0,0,,," "
"1983 TOTAL","","",4954.69,1111255.68,.1,,,"*",26069.78,5008569.02,.09,,," ",16314.53,3223462.37,.09,,,"*",10350.66,1731936.68,.08,,," "
"1984","CMCK","CHUB MACKEREL",4421.01,809820.24,.08,61,30," ",2912.9,623861.81,.1,80,32," ",9663.21,1895417.04,.09,94,29," ",9048.33,1726680.4,.09,68,24," "
"1984","JMCK","JACK MACKEREL",1243.33,175242.4,.06,42,19," ",4189.79,704581.7,.08,55,29," ",3405.87,405767.42,.05,44,22," ",315.13,83498.1,.12,28,14," "
"1984","MSQD","MARKET SQUID",83.03,57282.2,.31,18,13," ",791.92,378528.7,.22,53,30," ",117.34,65934.09,.25,19,18," ",1.15,958.95,.38,17,16," "
"1984","NANC","NORTHERN ANCHOVY",160.92,26608.68,.08,12,15," ",2063.12,179426.59,.04,22,22," ",223.47,59522.21,.12,12,16," ",441.25,139528.68,.14,19,17," "
"1984","PSDN","PACIFIC SARDINE",.14,61.5,.2,4,3," ",.6,532.9,.4,7,9," ",.33,188.15,.26,4,5," ",,,,2,2,"*"
"1984","UMCK","UNSP. MACKEREL",3077.66,565463.6,.08,93,48," ",8327.21,1638690.84,.09,158,61," ",3638.58,626991.73,.08,226,86," ",2995.5,392289.84,.06,144,62," "
"1984","XXXX Subtotal","",0,0,0,,," ",0,0,0,,," ",0,0,0,,," ",,,,,,"*"
"1984 TOTAL","","",8986.08,1634478.61,.08,,," ",18285.55,3525622.54,.09,,," ",17048.8,3053820.63,.08,,," ",12801.38,2342955.96,.08,,,"*"
"1985","CMCK","CHUB MACKEREL",3429.92,684080.27,.09,72,23," ",2104.35,391850.88,.08,73,22," ",5955.46,1093690.24,.08,78,14," ",6658.82,1152763.53,.08,57,12," "
"1985","JMCK","JACK MACKEREL",1211.75,240510.31,.09,27,14," ",1980.55,370759.17,.08,54,18," ",2628.03,482930.84,.08,49,19," ",1055.27,197859.45,.09,24,13," "
"1985","MSQD","MARKET SQUID",680.18,428624.98,.29,53,30," ",4255.25,2165492.57,.23,87,44," ",1184.12,522096.99,.2,46,23," ",4950.02,1166728.87,.11,53,30," "
"1985","NANC","NORTHERN ANCHOVY",124.23,38871.95,.14,12,13," ",151.72,33450.28,.1,14,16," ",348.59,89333.89,.12,22,22," ",1002.15,66092.62,.03,15,13," "
"1985","PSDN","PACIFIC SARDINE",0,0,0,0,0," ",.71,288.5,.18,5,5," ",1.62,413.55,.12,3,4," ",3.51,711.9,.09,3,4," "
"1985","UMCK","UNSP. MACKEREL",3566.61,625471.7,.08,152,56," ",7303.26,1267503.49,.08,187,67," ",5441.15,808121.14,.07,179,80," ",3312.39,539864.9,.07,133,69," "
"1985 TOTAL","","",9012.7,2017559.2,.1,,," ",15795.85,4229344.89,.12,,," ",15558.97,2996586.65,.09,,," ",16982.16,3124021.27,.08,,," "
"1986","CMCK","CHUB MACKEREL",2113.87,300852.98,.06,41,11," ",2798.2,454973.99,.07,68,17," ",7131.06,1189367.21,.08,98,24," ",10050.3,1622455.18,.07,78,27," "
"1986","JMCK","JACK MACKEREL",831.26,144267.7,.08,23,9," ",1204.97,201607.85,.08,32,14," ",1840.97,328170.64,.08,33,13," ",900.08,154374.5,.08,34,15," "
"1986","MSQD","MARKET SQUID",3446.48,702589.12,.09,39,24," ",2673.53,675672.26,.11,52,34," ",3597.34,935481.37,.12,36,28," ",11572.01,2204851.84,.09,82,45," "
"1986","NANC","NORTHERN ANCHOVY",15.9,3732.36,.11,6,8," ",994.77,102780.23,.05,18,18," ",527.84,122465.99,.11,23,21," ",17.84,4497.05,.11,7,6," "
"1986","PSDN","PACIFIC SARDINE",166.74,38603.74,.11,13,14," ",187.73,36909.96,.09,21,14," ",32.26,6748.67,.09,10,11," ",1.75,418,.11,5,5," "
"1986","UMCK","UNSP. MACKEREL",8336.16,1334608.97,.07,121,59," ",9654.15,1599190.21,.08,137,72," ",4739.95,706163.94,.07,164,82," ",3206.07,565624.01,.08,90,52," "
"1986 TOTAL","","",14910.42,2524654.87,.08,,," ",17513.34,3071134.5,.08,,," ",17869.44,3288397.81,.08,,," ",25748.05,4552220.57,.08,,," "
"1987","CMCK","CHUB MACKEREL",7216.88,1133820.75,.07,83,31," ",6442.46,1029159.77,.07,106,42," ",8621.37,1047965.69,.06,205,63," ",4660.84,773229.43,.08,79,42," "
"1987","JMCK","JACK MACKEREL",1687.39,285229.22,.08,29,12," ",1304,188507.25,.07,40,19," ",3061.44,422693.02,.06,65,24," ",1967.31,297696.61,.07,31,9," "
"1987","MSQD","MARKET SQUID",5395.28,1031594.52,.09,44,29," ",2111.7,437172.62,.09,34,32," ",3645.88,834284.63,.1,43,32," ",8831.22,1651896.89,.08,65,35," "
"1987","NANC","NORTHERN ANCHOVY",80.65,13565.66,.08,8,8," ",420.01,89830.05,.1,18,13," ",506.37,143756.11,.13,21,22," ",452.16,60115.29,.06,14,15," "
"1987","PSDN","PACIFIC SARDINE",314.07,46484.34,.07,19,15," ",70.42,10019.87,.06,19,19," ",54.5,6336.25,.05,17,16," ",,,,3,2,"*"
"1987","UMCK","UNSP. MACKEREL",5283.75,907792.85,.08,66,41," ",2395.35,368485.55,.07,95,54," ",7986.01,941954.64,.05,160,70," ",4117.9,473421.3,.05,75,44," "
"1987","XXXX Subtotal","",0,0,0,,," ",0,0,0,,," ",0,0,0,,," ",,,,,,"*"
"1987 TOTAL","","",19978.02,3418487.33,.08,,," ",12743.93,2123175.11,.08,,," ",23875.57,3396990.34,.06,,," ",20029.43,3256359.51,.07,,,"*"
