"CRAB_YEAR","AGENCY_CODE","PACFIN_GROUP_PORT_CODE","PORT_DESCRIPTION","NOV_ROUND_WEIGHT_MTONS","NOV_ROUND_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_ROUND_WEIGHT_MTONS","DEC_ROUND_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","JAN_ROUND_WEIGHT_MTONS","JAN_ROUND_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_ROUND_WEIGHT_MTONS","FEB_ROUND_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_ROUND_WEIGHT_MTONS","MAR_ROUND_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_ROUND_WEIGHT_MTONS","APR_ROUND_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_ROUND_WEIGHT_MTONS","MAY_ROUND_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_ROUND_WEIGHT_MTONS","JUN_ROUND_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_ROUND_WEIGHT_MTONS","JUL_ROUND_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_ROUND_WEIGHT_MTONS","AUG_ROUND_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_ROUND_WEIGHT_MTONS","SEP_ROUND_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_ROUND_WEIGHT_MTONS","OCT_ROUND_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","TOTAL_ROUND_WEIGHT_MTONS","TOTAL_ROUND_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2000","C","BDA","BODEGA BAY AREA PORTS",64.35,2.8,396931,"",28.85,2.31,147017,"",13.64,2.61,78469,"",8.74,2.81,54181,"",4.76,3.04,31854,"",5.49,3.11,37661,"",5.65,3.52,43804,"",6.7,3.18,46970,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",138.16,2.75,836887,""
"2000","C","BGA","FORT BRAGG AREA PORTS",0,0,0,"",178.98,1.79,708075,"",40.87,2.36,212332,"",10.58,2.64,61657,"",10.66,2.76,64866,"",8.12,3,53750,"",3.46,3.29,25076,"",1.41,3.38,10521,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",254.09,2.03,1136277,"*"
"2000","C","CA2","OTHER OR UNKNOWN CALIFORNIA PORTS",0,0,0,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"2000","C","CCA","CRESCENT CITY AREA PORTS",0,0,0,"",1432.3,1.76,5557049,"",311.18,2.21,1513410,"",98.25,2.62,567776,"",21.01,2.76,127909,"",20.62,2.96,134411,"",10.87,3.16,75788,"",2.51,2.9,16064,"",2.67,2.23,13148,"",0,0,0,"",0,0,0,"",0,0,0,"",1899.41,1.91,8005557,""
"2000","C","ERA","EUREKA AREA PORTS",,,,"*",1080.54,1.77,4211227,"",114.8,2.28,577179,"",46.46,2.57,263063,"",19.96,2.75,120972,"",31.88,2.97,208798,"",19.38,3.11,133006,"",6.55,2.73,39409,"",.92,2.36,4788,"",0,0,0,"",0,0,0,"",0,0,0,"",1320.49,1.91,5558442,"*"
"2000","C","LAA","LOS ANGELES AREA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"2000","C","MNA","MONTEREY AREA PORTS",1.44,2.91,9215,"",3.5,2.97,22903,"",1.87,2.87,11825,"",1.57,2.93,10140,"",1.9,3.22,13535,"",1.28,3.44,9683,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",11.56,3.03,77301,"*"
"2000","C","MRA","MORRO BAY AREA PORTS",,,,"*",0,0,0,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"2000","C","SFA","SAN FRANCISCO AREA PORTS",107.23,2.85,674091,"",80.13,2.29,405210,"",20.98,2.54,117679,"",20.73,2.8,127955,"",19.48,3.11,133375,"",16.49,3.37,122428,"",4.61,3.4,34538,"",5.56,3.2,39276,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",275.21,2.73,1654553,"*"
"2000","C","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",,,,"*",,,,"*",22.6,2.66,132544,"",,,,"*",23.63,3.04,158152,"",9.66,3.26,69399,"",2.64,3.22,18705,"",,,,"*",,,,"*",0,0,0,"",,,,"*",58.52,2.94,378801,"*"
