"LANDING_YEAR","PORT_AREA_CODE","ROUND_WEIGHT_MTONS","LANDING_MONTH"
2000,"BDA",64.35,11
2000,"BGA",0,11
2000,"CA2",0,11
2000,"CCA",0,11
2000,"ERA",0,11
2000,"LAA",0,11
2000,"MNA",1.44,11
2000,"MRA",0,11
2000,"SFA",107.23,11
2000,"XXX",0,11
2000,"BRA",0,11
2000,"CBA",9.26,11
2000,"CLO",0,11
2000,"NPA",0.98,11
2000,"TLA",0,11
2000,"XXX",0,11
2000,"CLW",15.82,11
2000,"CWA",0,11
2000,"NPS",193.96,11
2000,"SPS",32.05,11
2000,"WA5",0,11
2000,"XXX",0,11
2001,"BDA",113.77,11
2001,"BGA",2.71,11
2001,"CA2",0,11
2001,"CCA",0,11
2001,"ERA",0,11
2001,"LAA",0,11
2001,"MNA",2.26,11
2001,"MRA",0,11
2001,"SFA",192.05,11
2001,"XXX",0,11
2001,"BRA",0,11
2001,"CBA",0.55,11
2001,"CLO",0,11
2001,"NPA",1.43,11
2001,"TLA",0,11
2001,"XXX",0,11
2001,"CLW",0,11
2001,"CWA",176.59,11
2001,"NPS",216.83,11
2001,"SPS",37.2,11
2001,"XXX",0,11
2002,"BDA",0,11
2002,"BGA",0,11
2002,"CCA",0,11
2002,"ERA",0,11
2002,"LAA",0,11
2002,"MNA",0,11
2002,"MRA",0,11
2002,"SBA",0,11
2002,"SFA",0,11
2002,"XXX",4.77,11
2002,"BRA",0,11
2002,"CBA",0.11,11
2002,"CLO",0,11
2002,"NPA",1.1,11
2002,"TLA",0,11
2002,"XXX",0,11
2002,"CLW",0,11
2002,"CWA",231.61,11
2002,"NPS",407.84,11
2002,"SPS",48.94,11
2003,"BDA",263.64,11
2003,"BGA",0,11
2003,"CCA",0,11
2003,"ERA",0,11
2003,"LAA",0,11
2003,"MNA",10.83,11
2003,"MRA",0.68,11
2003,"SBA",0,11
2003,"SFA",776.5,11
2003,"XXX",8.92,11
2003,"BRA",0,11
2003,"CBA",2.38,11
2003,"CLO",0,11
2003,"NPA",1.81,11
2003,"TLA",0,11
2003,"XXX",0,11
2003,"CLW",0,11
2003,"CWA",429.27,11
2003,"NPS",231.61,11
2003,"SPS",14.86,11
2003,"XXX",0,11
2004,"BDA",300.23,11
2004,"BGA",5.42,11
2004,"CCA",0,11
2004,"ERA",0,11
2004,"LAA",0,11
2004,"MNA",15.38,11
2004,"MRA",0,11
2004,"SBA",0,11
2004,"SFA",960.97,11
2004,"XXX",27.29,11
2004,"BRA",0,11
2004,"CBA",1.69,11
2004,"CLO",0,11
2004,"NPA",1.42,11
2004,"TLA",0,11
2004,"XXX",0,11
2004,"CLW",0,11
2004,"CWA",550.94,11
2004,"NPS",267.7,11
2004,"SPS",37.66,11
2004,"XXX",0,11
2005,"BDA",428.03,11
2005,"BGA",16.12,11
2005,"CCA",0,11
2005,"ERA",0,11
2005,"LAA",0,11
2005,"MNA",14.81,11
2005,"MRA",0,11
2005,"SBA",0,11
2005,"SDA",0,11
2005,"SFA",1235.93,11
2005,"XXX",1.57,11
2005,"BRA",0,11
2005,"CBA",4.86,11
2005,"CLO",0,11
2005,"NPA",1.85,11
2005,"TLA",1.27,11
2005,"XXX",0,11
2005,"CLW",0,11
2005,"CWA",420.52,11
2005,"NPS",276.5,11
2005,"SPS",13.6,11
2005,"XXX",0,11
2006,"BDA",81.99,11
2006,"BGA",0,11
2006,"CCA",0,11
2006,"ERA",0,11
2006,"LAA",0,11
2006,"MNA",49.93,11
2006,"MRA",0,11
2006,"SBA",0,11
2006,"SFA",336,11
2006,"XXX",0,11
2006,"BRA",0,11
2006,"CBA",4.05,11
2006,"CLO",0,11
2006,"NPA",2.74,11
2006,"TLA",0,11
2006,"XXX",3.48,11
2006,"CLW",0,11
2006,"CWA",434.7,11
2006,"NPS",268.99,11
2006,"SPS",5.66,11
2006,"XXX",0,11
2007,"BDA",387.84,11
2007,"BGA",5.29,11
2007,"CCA",0,11
2007,"ERA",0,11
2007,"LAA",0,11
2007,"MNA",28.72,11
2007,"MRA",2.04,11
2007,"SBA",0,11
2007,"SFA",1123.66,11
2007,"XXX",0,11
2007,"BRA",0,11
2007,"CBA",1.53,11
2007,"CLO",0,11
2007,"NPA",0.74,11
2007,"TLA",0,11
2007,"XXX",0,11
2007,"CLW",0,11
2007,"CWA",8.69,11
2007,"NPS",242.14,11
2007,"SPS",17.8,11
2007,"XXX",0,11
2008,"BDA",0,11
2008,"BGA",0,11
2008,"CA2",0,11
2008,"CCA",0,11
2008,"ERA",0,11
2008,"MNA",17.29,11
2008,"MRA",0,11
2008,"SBA",0,11
2008,"SFA",0,11
2008,"XXX",0,11
2008,"BRA",0,11
2008,"CBA",0.44,11
2008,"CLO",0,11
2008,"NPA",3.44,11
2008,"TLA",0.57,11
2008,"XXX",0,11
2008,"CLW",0,11
2008,"CWA",525.21,11
2008,"NPS",311.6,11
2008,"SPS",30.92,11
2008,"XXX",0,11
2009,"BDA",39.03,11
2009,"BGA",7.18,11
2009,"CCA",0,11
2009,"ERA",0,11
2009,"MNA",5.88,11
2009,"MRA",0,11
2009,"SBA",0,11
2009,"SDA",0,11
2009,"SFA",174.81,11
2009,"XXX",0,11
2009,"BRA",0,11
2009,"CBA",0.26,11
2009,"CLO",0,11
2009,"NPA",1.8,11
2009,"TLA",0,11
2009,"XXX",0,11
2009,"CLW",0,11
2009,"CWA",157.92,11
2009,"NPS",329.79,11
2009,"SPS",16.52,11
2009,"XXX",0,11
2010,"BDA",51.12,11
2010,"BGA",0,11
2010,"CCA",0,11
2010,"ERA",0,11
2010,"LAA",0,11
2010,"MNA",16.85,11
2010,"MRA",0,11
2010,"SFA",513.95,11
2010,"XXX",0,11
2010,"BRA",0,11
2010,"CBA",2.76,11
2010,"CLO",0,11
2010,"NPA",2.47,11
