"PACFIN_PORT_CODE","PORT_CODE"
"NEW",24
"AVL",602
"SB",611
"CRZ",593
"TRM",745
"VEN",613
"CRS",201
"SP",770
"LWC",421
"ORF",38
"AST",2
"OXN",608
"PRN",452
"OCN",883
"DNA",767
"OSD",869
"WPT",295
"MRO",606
"ERK",220
"LAP",260
"TLL",10
"LWC",409
"WLB",310
"BDG",473
"TRN",231
"OSF",470
"LGB",743
"NWB",748
"BRG",223
"OLA",742
"OLA",768
"SD",880
"COS",34
"WIN",32
"BKL",472
"SF",440
"MNT",550
"OLA",741
"MOS",592
"BRK",42
"BLL",110
"ARE",213
"WLB",330
"OSD",881
"WLM",746
"OLA",760
"OSM",459
"HNM",605
"BLN",115
"GRH",210
"RYS",476
"TNS",165
"FLN",217
"TAC",190
"OSF",417
"OSF",348
"OLA",776
"OSF",453
"BOL",487
"DPO",22
"WLB",360
"OLA",747
"ALM",471
"GRH",220
"WLB",350
"BCR",515
"OSF",401
"SLT",469
"SEA",170
"PAG",160
"OLA",729
"OSF",425
"NEA",150
"OSM",462
"OLA",744
"OMD",233
"OSF",449
"CRV",1
"OAK",464
"OBV",618
"OCR",408
"OHB",215
"OCA",0
"OCR",424
"ANA",105
"OLA",756
"OSF",409
"OCA",301
"OHB",246
"SHL",180
"EVR",130
"OCR",432
"LWC",435
"OSD",884
"OSM",488
"LAC",140
"OSD",882
"OLA",733
"OMD",222
"OSF",455
"FLR",30
"GLD",40
"SIM",615
"OWC",290
"OSD",868
"OSD",889
"SEQ",175
"ALB",211
"OSF",439
"OSM",468
"OSD",888
"OSM",437
"OSM",474
"OBV",614
"PCC",16
"ONP",125
"OCM",517
"OCR",406
"OCR",431
"RCH",478
"TML",477
"OSM",441
"OSF",450
"OSF",442
"OWC",245
"OCR",434
"OMD",227
"OSF",416
"OCR",440
"OCR",403
"OBV",621
"BDN",36
"GSS",5
"OHB",219
"OSF",451
"OCA",373
"OCA",313
"MCR",516
"OSL",607
"OWC",235
"GRH",240
"WLD",26
"OSM",435
"OSF",430
"CNB",6
"CPL",230
"OBV",604
"ONP",143
"WLB",340
"NHL",8
"OSP",120
"FRI",135
"OSP",169
"ONP",126
"NTR",12
"OLA",764
"OCR",420
"OCA",352
"OWC",320
"OLY",155
"OLA",757
"ODN",210
"OSF",341
"OHB",212
"OWA",0
"OSD",870
"OSL",631
"BDG",424
"OSF",345
"OCR",438
"OSL",603
"SRV",18
"OMD",427
"OSF",412
"WLB",345
"OSD",865
"OSL",609
"OBV",635
"OHB",204
"OMD",243
"OLA",780
"OCR",444
"OLA",712
"SLZ",20
"BLL",145
"ONP",156
"OSD",860
"OSF",259
"OLA",721
"OCA",652
