"PORT_NAME","AGENCY_CODE"
"PORT HUENEME","C"
"TERMINAL ISLAND","C"
"SAN PEDRO","C"
"VENTURA","C"
"AVALON","C"
"LONG BEACH","C"
"REDONDO BEACH","C"
"NEWPORT","O"
"EUREKA","C"
"MONTEREY","C"
"PRINCETON / HALF MOON BAY","C"
"NEWPORT BEACH","C"
"ASTORIA","O"
"WESTPORT","W"
"ILWACO","W"
"OXNARD","C"
"PLAYA DEL REY","C"
"MOSS LANDING","C"
"MORRO BAY","C"
"SAN FRANCISCO","C"
"SAN SIMEON","C"
"SEAL BEACH","C"
"SAN DIEGO","C"
"POINT LOMA","C"
"SANTA BARBARA","C"
"CHARLESTON (COOS BAY)","O"
"WINCHESTER BAY","O"
"SANTA MONICA","C"
"BODEGA BAY","C"
"FORT BRAGG","C"
"SANTA CRUZ","C"
"VALLEJO","C"
"WILMINGTON","C"
"ANACORTES","W"
"BELLINGHAM BAY","W"
"NEAH BAY","W"
"AVILA","C"
"LOS ANGELES","C"
"GARIBALDI (TILLAMOOK)","O"
"GUADALUPE","C"
"TACOMA","W"
"CRESCENT CITY","C"
"BERKELEY","C"
"HUMBOLDT","C"
"GAVIOTA","C"
"MARTINEZ","C"
"ABERDEEN","W"
"PORT ORFORD","O"
"DILLON BEACH","C"
"GOLETA","C"
"MISSION BAY","C"
"WILLOW CREEK","C"
"CHINOOK","W"
"SAUSALITO","C"
"NASELLE","W"
"OTHER OR UNKNOWN WASHINGTON PORTS","W"
"OCEANSIDE","C"
"NATIONAL CITY","C"
"ALAMEDA","C"
"FIELDS LANDING","C"
"LACONNER","W"
"SOUTH SAN FRANCISCO","C"
"SHELTER COVE","C"
"HUNTINGTON BEACH","C"
"RICHMOND","C"
"DANA POINT","C"
"EMERYVILLE","C"
"CATALINA ISLAND","C"
"WHIDBY ISLAND","W"
"THE DALLES","W"
