PORT_NAME,AGENCY_CODE,Latitude,Longitude
SAN PEDRO,C,33.732368,-118.28905
PORT HUENEME,C,34.154072,-119.18829
VENTURA,C,34.311203,-119.30164
TERMINAL ISLAND,C,33.742,-118.261
MOSS LANDING,C,36.812905,-121.78299
ASTORIA,O,46.187,-123.831
WESTPORT,W,46.887187,-124.10735
MONTEREY,C,36.606225,-121.908915
CHARLESTON (COOS BAY),O,43.366,-124.217
NEWPORT,O,44.636,-124.0535
PRINCETON / HALF MOON BAY,C,37.463,-122.428
ILWACO,W,46.312541,-124.02968
SAN FRANCISCO,C,37.801878,-122.41018
SANTA BARBARA,C,34.439579,-119.76788
BELLINGHAM BAY,W,48.682,-122.5617
MISSION BAY,C,32.7805,-117.242
MORRO BAY,C,35.372861,-120.859391
WINCHESTER BAY,O,43.6771,-124.1748
SAN DIEGO,C,32.677286,-117.05241
BLAINE,W,48.961443,-122.73714
CHINOOK,W,46.282397,-123.93844
PORT ORFORD,O,42.745,-124.297
SANTA CRUZ,C,37.010322,-121.98523
REDONDO BEACH,C,33.828815,-118.38322
CRESCENT CITY,C,41.782681,-124.16703
SEATTLE,W,47.733852,-122.34461
BODEGA BAY,C,38.347701,-123.05869
NEWPORT BEACH,C,33.640302,-117.769442
BROOKINGS,O,42.052,-124.284
OXNARD,C,34.21707,-119.1769
ANACORTES,W,48.495234,-122.61976
FORT BRAGG,C,39.43695,-123.76087
VALLEJO,C,38.115015,-122.29055
EUREKA,C,40.757091,-124.1513
AVILA,C,35.18,-120.7319
GARIBALDI (TILLAMOOK),O,45.5598,-123.911
TACOMA,W,47.208987,-122.48053
FLORENCE,O,43.982,-124.099
POINT LOMA,C,32.7,-117.2467
OCEANSIDE,C,33.195354,-117.28232
LONG BEACH,C,33.786594,-118.298662
LACONNER,W,48.3887,-122.4963
DANA POINT,C,33.475302,-117.70327
ABERDEEN,W,46.972965,-123.81923
TOKELAND,W,46.737458,-123.98121
EVERETT,W,47.943468,-122.21792
OLYMPIA,W,47.085046,-122.78376
AVALON,C,33.368642,-118.40835
LOS ANGELES,C,34.050411,-118.21195
PLAYA DEL REY,C,33.786594,-118.298662
HUNTINGTON BEACH,C,33.673468,-118.00243
CHINA CAMP,C,38.0013,-122.4911
LAPUSH,W,47.9081,-124.635
PORT ANGELES,W,48.102836,-123.63765
FIELDS LANDING,C,40.725444,-124.21697
BERKELEY,C,37.879625,-122.2668
COPALIS BEACH,W,47.118566,-124.16027
NEAH BAY,W,48.35306,-124.64076
NASELLE,W,46.370075,-123.76506
SAUSALITO,C,38.068036,-122.740988
SAN SIMEON,C,35.664386,-121.21965
PORT TOWNSEND,W,48.100255,-122.79736
WILMINGTON,C,33.786594,-118.298662
GAVIOTA,C,34.4717,-120.2149
SANTA MONICA,C,34.009276,-118.47286
SHELTER COVE,C,40.0304,-124.0731
ALAMEDA,C,37.769528,-122.25937
HUMBOLDT,C,40.745,-123.869
BAY CENTER,W,46.630051,-123.95463
PUGET ISLAND,W,46.1693,-123.3801
EMERYVILLE,C,37.834724,-122.28316
SOUTH BEND,W,46.560786,-123.85214
POINT ARENA,C,38.898385,-123.65746
POULSBO,W,47.743302,-122.63041
SOUTH SAN FRANCISCO,C,37.652857,-122.4301
BREMERTON,W,47.629717,-122.63493
GOLD BEACH,O,42.4073,-124.4218
NAHCOTTA,W,46.514625,-123.76903
CAMAS,W,45.60916,-122.40547
COLUMBIA RIVER PORTS - OREGON,O,46.246,-124.09344
CATHLAMET,W,46.208318,-123.34624
SKAMANIA,W,45.6176,-122.0489
TAHOLAH,W,47.32251,-124.25814
SHELTON,W,47.224044,-123.10538
TRINIDAD,C,41.081726,-124.13112
RICHMOND,C,37.941424,-122.36628
GOLETA,C,34.262834,-119.848555
WHIDBY ISLAND,W,47.9983,-122.4395
GUADALUPE,C,34.958896,-120.58014
LONGVIEW,W,46.156082,-122.98043
MARIETTA,W,48.7871,-122.5805
DILLON BEACH,C,38.246611,-122.95916
PACIFIC COUNTY,W,46.5181,-123.8265
THE DALLES,W,47.0518,-121.5715
BAY CITY,W,46.8645,-124.0593
PINOLE,C,37.997509,-122.29208
CORONADO,C,32.682727,-117.17441
SEAL BEACH,C,33.759283,-118.08239
IMPERIAL BEACH,C,32.579555,-117.11708
NEWARK,C,37.535586,-122.03362
WILLOW CREEK,C,40.945039,-123.65806
NATIONAL CITY,C,33.016928,-116.846046
