PORT_AREA_CODE, PACFIN_PORT_CODE                 
AL1, OAL 
AS1, ASA 
BD1, FBD 
CEN, 2E  
CEN, 2EC 
CEN, 2H  
CEN, 2HC 
CEN, 2T  
FM1, FMS 
FP1, FDP 
IF1, IFP 
SE, 1A   
SE, 1B   
SE, 1C   
SE, 1CC  
SE, 1D   
SE, 1DC  
WST, 4K 
WST, 4KC
WST, 4L 
WST, 4LC
WST, 4M 
WST, 4MC
WST, 4O 
WST, 4OC
WST, 4Q 
WST, 4QC
WST, 4R 
WST, 4RC
WST, 4S 
BDA, BDG       
BDA, BOL       
BDA, OSM       
BDA, RYS       
BDA, TML       
BGA, ALB       
BGA, ARE       
BGA, BRG       
BGA, OMD       
CA2, OCA
CCA, CRS
CCA, ODN
ERA, ERK
ERA, FLN
ERA, OHB
ERA, TRN
LAA, DNA
LAA, LGB
LAA, NWB
LAA, OLA
LAA, SP 
LAA, TRM
LAA, WLM
MNA, CRZ
MNA, MNT
MNA, MOS
MNA, OCM
MRA, AVL
MRA, MRO
MRA, OSL
SBA, HNM
SBA, OBV
SBA, OXN
SBA, SB 
SBA, VEN   
SDA, OCN
SDA, OSD
SDA, SD 
SFA, ALM
SFA, BKL
SFA, OAK
SFA, OSF
SFA, PRN
SFA, RCH
SFA, SF 
SFA, SLT
AS3, ASR       
BRA, BRK
BRA, GLD
BRA, ORF
CBA, BDN
CBA, COS
CBA, FLR
CBA, WIN
CLO, AST
CLO, CBB
CLO, CNB
CLO, CRV
CLO, GSS
NPA, DPO
NPA, NEW
NPA, SLZ
NPA, WLD
NPA, YAC
OR1, WAL
TLA, NHL
TLA, NTR
TLA, PCC
TLA, SRV
TLA, TLL
CLW, LWC
CLW, OCR
CWA, CPL
CWA, GRH
CWA, LAP
CWA, OWC
CWA, WLB
CWA, WPT
NPS, ANA
NPS, BLL
NPS, BLN
NPS, FRI
NPS, LAC
NPS, NEA
NPS, ONP
NPS, PAG
NPS, SEQ
NPS, TNS
SPS, EVR
SPS, OLY
SPS, OSP
SPS, SEA
SPS, SHL
SPS, TAC
WA5, OWA
