LANDING_YEAR,PORT_NAME,SDM_90,AGENCY_CODE
2000,ABERDEEN,NA,W
2000,ALAMEDA,1.830353031,C
2000,ANACORTES,NA,W
2000,ASTORIA,NA,O
2000,AVALON,3.285792746,C
2000,AVILA,2.635068559,C
2000,BELLINGHAM BAY,NA,W
2000,BERKELEY,1.872022225,C
2000,BODEGA BAY,0.678100638,C
2000,CATALINA ISLAND,3.289099751,C
2000,CHARLESTON (COOS BAY),1.29149203,O
2000,CHINOOK,NA,W
2000,CRESCENT CITY,1.104066572,C
2000,DANA POINT,3.395910255,C
2000,DILLON BEACH,0.785778905,C
2000,EMERYVILLE,1.832544601,C
2000,EUREKA,0.603810992,C
2000,FIELDS LANDING,0.478965643,C
2000,FORT BRAGG,0.166650581,C
2000,GARIBALDI (TILLAMOOK),NA,O
2000,GAVIOTA,2.690390209,C
2000,GOLETA,2.957424442,C
2000,GUADALUPE,2.715380928,C
2000,HUMBOLDT,0.768929792,C
2000,HUNTINGTON BEACH,3.504495712,C
2000,ILWACO,NA,W
2000,LACONNER,NA,W
2000,LONG BEACH,3.512667688,C
2000,LOS ANGELES,3.716264127,C
2000,MISSION BAY,2.886534469,C
2000,MONTEREY,1.422508621,C
2000,MORRO BAY,2.654624878,C
2000,MOSS LANDING,1.575691739,C
2000,NASELLE,NA,W
2000,NATIONAL CITY,2.922587193,C
2000,NEAH BAY,NA,W
2000,NEWPORT,NA,O
2000,NEWPORT BEACH,3.497693537,C
2000,OCEANSIDE,3.17092162,C
2000,OXNARD,3.493504009,C
2000,PLAYA DEL REY,3.512667688,C
2000,POINT LOMA,2.874824925,C
2000,PORT HUENEME,3.453250748,C
2000,PORT ORFORD,0.880462809,O
2000,PRINCETON / HALF MOON BAY,1.346081969,C
2000,REDONDO BEACH,3.51472555,C
2000,RICHMOND,1.636040004,C
2000,SAN DIEGO,2.782921808,C
2000,SAN FRANCISCO,1.54700551,C
2000,SAN PEDRO,3.483549927,C
2000,SAN SIMEON,2.199645621,C
2000,SANTA BARBARA,3.294010872,C
2000,SANTA CRUZ,1.433381618,C
2000,SANTA MONICA,3.62323378,C
2000,SAUSALITO,1.064736285,C
2000,SEAL BEACH,3.546220134,C
2000,SHELTER COVE,0.208380212,C
2000,SOUTH SAN FRANCISCO,1.445098752,C
2000,TACOMA,NA,W
2000,TERMINAL ISLAND,3.501433921,C
2000,THE DALLES,NA,W
2000,VALLEJO,1.969489015,C
2000,VENTURA,3.522984721,C
2000,WESTPORT,NA,W
2000,WHIDBY ISLAND,NA,W
2000,WILLOW CREEK,1.391242333,C
2000,WILMINGTON,3.512667688,C
2000,WINCHESTER BAY,2.821609809,O
2001,ABERDEEN,NA,W
2001,ALAMEDA,1.850635556,C
2001,ANACORTES,NA,W
2001,ASTORIA,NA,O
2001,AVALON,3.711650413,C
2001,AVILA,2.962372715,C
2001,BELLINGHAM BAY,NA,W
2001,BERKELEY,1.912617156,C
2001,BODEGA BAY,0.626758536,C
2001,CATALINA ISLAND,3.715648131,C
2001,CHARLESTON (COOS BAY),1.980819097,O
2001,CHINOOK,NA,W
2001,CRESCENT CITY,1.445338498,C
2001,DANA POINT,3.830813877,C
2001,DILLON BEACH,0.73505962,C
2001,EMERYVILLE,1.858466893,C
2001,EUREKA,0.795517719,C
2001,FIELDS LANDING,0.639035744,C
2001,FORT BRAGG,0.141137046,C
2001,GARIBALDI (TILLAMOOK),NA,O
2001,GAVIOTA,2.935890151,C
2001,GOLETA,3.245857118,C
2001,GUADALUPE,3.028515419,C
2001,HUMBOLDT,1.007636661,C
2001,HUNTINGTON BEACH,3.966411057,C
2001,ILWACO,NA,W
2001,LACONNER,NA,W
2001,LONG BEACH,3.981120364,C
2001,LOS ANGELES,4.196510495,C
2001,MISSION BAY,3.228957064,C
2001,MONTEREY,1.558288345,C
2001,MORRO BAY,3.004653837,C
