LANDING_YEAR,LANDING_MONTH,PORT_NAME,SDM_60
2019,1,ABERDEEN,0.039810524012388014
2019,1,ALAMEDA,0.23123178728348281
2019,1,ANACORTES,NA
2019,1,ASTORIA,0.05277987621302169
2019,1,AVALON,0.13890015060290253
2019,1,AVILA,0.20341755512992096
2019,1,BELLINGHAM BAY,NA
2019,1,BERKELEY,0.23408391123877897
2019,1,BIG CREEK,NA
2019,1,BLAINE,NA
2019,1,BODEGA BAY,0.20758532521705475
2019,1,BOLINAS,0.22576361326271036
2019,1,BROOKINGS,0.13539356875696423
2019,1,CATALINA ISLAND,0.14074879724128156
2019,1,CHARLESTON (COOS BAY),0.10955610248796346
2019,1,CHINOOK,0.05523409073410166
2019,1,CRESCENT CITY,0.12721189330031554
2019,1,DANA POINT,0.13101028474209547
2019,1,DILLON BEACH,0.21017791501937375
2019,1,EMERYVILLE,0.23243236091775707
2019,1,EUREKA,0.14247162357693718
2019,1,FIELDS LANDING,0.14494891116373457
2019,1,FORT BRAGG,0.17943169467173015
2019,1,GARIBALDI (TILLAMOOK),0.07390490892213038
2019,1,GAVIOTA,0.20048245301234913
2019,1,GOLETA,0.18763736951118717
2019,1,GUADALUPE,0.2043876109528792
2019,1,HUMBOLDT,0.13908279255917433
2019,1,HUNTINGTON BEACH,0.1426335075910622
2019,1,ILWACO,0.0578898218667083
2019,1,LACONNER,NA
2019,1,LONG BEACH,0.15328571711310662
2019,1,LOS ANGELES,0.16899562619566436
2019,1,MARCONI,0.21580095513213066
2019,1,MILL CREEK,NA
2019,1,MISSION BAY,0.1285653855269256
2019,1,MONTEREY,0.2299423134581612
2019,1,MORRO BAY,0.20585159144754853
2019,1,MOSS LANDING,0.2159205425444836
2019,1,"NASELLE",0.047310155682756226
2019,1,"NATIONAL CITY",0.1261058881758682
2019,1,NEAH BAY,0.045079383713703965
2019,1,NEWPORT,0.09291146973341596
2019,1,NEWPORT BEACH,0.14251912817523416
2019,1,OCEANSIDE,0.12255718745291233
2019,1,OXNARD,0.1860212344932469
2019,1,PINOLE,0.23695303670122475
2019,1,PLAYA DEL REY,0.15328571711310662
2019,1,POINT ARENA,0.2073831237911788
2019,1,POINT LOMA,0.13090346616851342
2019,1,PORT HUENEME,0.18698366613720893
2019,1,PORT ORFORD,0.12819009380961074
2019,1,PRINCETON / HALF MOON BAY,0.2390606620247525
2019,1,REDONDO BEACH,0.157228382209891
2019,1,RICHMOND,0.2310483104492601
2019,1,SAN DIEGO,0.13458070475212427
2019,1,SAN FRANCISCO,0.23102022288581742
2019,1,SAN PEDRO,0.15076544852301849
2019,1,SAN SIMEON,0.21525399665850373
2019,1,SANTA BARBARA,0.19102044535740728
2019,1,SANTA CRUZ,0.22058969943463488
2019,1,SANTA MONICA,0.16603572673511946
2019,1,SAUSALITO,0.21806726686950226
2019,1,SEAL BEACH,0.1499718101812738
2019,1,SHELTER COVE,0.16469801841842402
2019,1,SOUTH SAN FRANCISCO,0.23334007956106076
2019,1,TACOMA,NA
2019,1,TERMINAL ISLAND,0.151190555545691
2019,1,THE DALLES,NA
2019,1,TRINIDAD,0.13672086158884458
2019,1,VALLEJO,0.23438512008585688
2019,1,VENTURA,0.18605196439675786
2019,1,WESTPORT,0.05288593006336475
2019,1,WHIDBY ISLAND,NA
2019,1,WILLOW CREEK,0.12810208003527374
2019,1,WILMINGTON,0.15328571711310662
2019,1,WINCHESTER BAY,0.10930336653254927
2019,2,ABERDEEN,0.022930075199664793
2019,2,ALAMEDA,0.2422270019266273
2019,2,ANACORTES,NA
2019,2,ASTORIA,0.03520410689261986
2019,2,AVALON,0.21181348345980242
2019,2,AVILA,0.21890321776548527
2019,2,BELLINGHAM BAY,NA
2019,2,BERKELEY,0.2430215223659096
2019,2,BIG CREEK,NA
2019,2,BLAINE,NA
2019,2,BODEGA BAY,0.215436621944287
2019,2,BOLINAS,0.23478936049200239
2019,2,BROOKINGS,0.10460140990274569
2019,2,CATALINA ISLAND,0.21425298235579401
2019,2,CHARLESTON (COOS BAY),0.09565411113966307
2019,2,CHINOOK,0.035933055347515994
2019,2,CRESCENT CITY,0.10664617940569676
2019,2,DANA POINT,0.23037933083865178
2019,2,DILLON BEACH,0.21978426187166145
2019,2,EMERYVILLE,0.24339886951363748
2019,2,EUREKA,0.1335218746137721
2019,2,FIELDS LANDING,0.13380990881078356
2019,2,FORT BRAGG,0.17393236276391263
2019,2,GARIBALDI (TILLAMOOK),0.05721602308608237
2019,2,GAVIOTA,0.23724146249543956
2019,2,GOLETA,0.24401593964491317
2019,2,GUADALUPE,0.2246351631921391
2019,2,HUMBOLDT,0.13150372719180517
2019,2,HUNTINGTON BEACH,0.2337100769042882
2019,2,ILWACO,0.03696686833097875
2019,2,LACONNER,NA
2019,2,LONG BEACH,0.23917162588949561
2019,2,LOS ANGELES,0.24858276683482386
2019,2,MARCONI,0.22458701356979352
2019,2,MILL CREEK,NA
2019,2,MISSION BAY,0.20471403741023758
2019,2,MONTEREY,0.23341852262438761
2019,2,MORRO BAY,0.217070540862291
2019,2,MOSS LANDING,0.2328771189463382
2019,2,"NASELLE",0.028596024250205396
2019,2,"NATIONAL CITY",0.20558818940605436
2019,2,NEAH BAY,0.028917987835787546
2019,2,NEWPORT,0.07319530660166171
2019,2,NEWPORT BEACH,0.23806653671050654
2019,2,OCEANSIDE,0.21895608574684178
2019,2,OXNARD,0.25984655920606897
2019,2,PINOLE,0.2487176391840368
2019,2,PLAYA DEL REY,0.23917162588949561
2019,2,POINT ARENA,0.1950020330416243
2019,2,POINT LOMA,0.20258276574221884
2019,2,PORT HUENEME,0.2614777018476663
2019,2,PORT ORFORD,0.10053466683902969
2019,2,PRINCETON / HALF MOON BAY,0.24559481598617575
2019,2,REDONDO BEACH,0.24142265033299978
2019,2,RICHMOND,0.2409319676133612
2019,2,SAN DIEGO,0.19929644083182363
2019,2,SAN FRANCISCO,0.2403865573661668
2019,2,SAN PEDRO,0.23660851017390955
2019,2,SAN SIMEON,0.21976875341307295
2019,2,SANTA BARBARA,0.243249002203055
2019,2,SANTA CRUZ,0.2328288406009888
2019,2,SANTA MONICA,0.24765810334332744
2019,2,SAUSALITO,0.22832905309836543
2019,2,SEAL BEACH,0.23973580015395185
2019,2,SHELTER COVE,0.14979364125292033
2019,2,SOUTH SAN FRANCISCO,0.2421271701517341
2019,2,TACOMA,NA
2019,2,TERMINAL ISLAND,0.2376561584776919
2019,2,THE DALLES,NA
2019,2,TRINIDAD,0.12555841262143366
2019,2,VALLEJO,0.25099473150104895
2019,2,VENTURA,0.2553003089768546
2019,2,WESTPORT,0.029983931386790834
2019,2,WHIDBY ISLAND,NA
2019,2,WILLOW CREEK,0.11616208225059958
2019,2,WILMINGTON,0.23917162588949561
2019,2,WINCHESTER BAY,0.09460554929960165
2019,3,ABERDEEN,0.03958227441193751
2019,3,ALAMEDA,0.3160818765331889
2019,3,ANACORTES,NA
2019,3,ASTORIA,0.04148035175936484
2019,3,AVALON,0.22113879522173363
2019,3,AVILA,0.25318998042467933
2019,3,BELLINGHAM BAY,NA
2019,3,BERKELEY,0.3139909247176782
2019,3,BIG CREEK,NA
2019,3,BLAINE,NA
2019,3,BODEGA BAY,0.26652591936049924
2019,3,BOLINAS,0.30857527812095775
2019,3,BROOKINGS,0.11892977338988703
2019,3,CATALINA ISLAND,0.22364906736784007
2019,3,CHARLESTON (COOS BAY),0.09428452168910235
2019,3,CHINOOK,0.042526044517960965
2019,3,CRESCENT CITY,0.12483083540659552
2019,3,DANA POINT,0.20613434471458048
2019,3,DILLON BEACH,0.2780559650351924
