PORT_NAME,AGENCY_CODE,Latitude,Longitude
ABERDEEN,W,46.972965,-123.81923
ALAMEDA,C,37.769528,-122.25937
ANACORTES,W,48.495234,-122.61976
ASTORIA,O,46.187,-123.831
AVALON,C,33.368642,-118.40835
AVILA,C,35.18,-120.7319
BELLINGHAM BAY,W,48.682,-122.5617
BERKELEY,C,37.879625,-122.2668
BIG CREEK,C,37.191503,-119.26372
BLAINE,W,48.961443,-122.73714
BODEGA BAY,C,38.347701,-123.05869
BOLINAS,C,37.907675,-122.70201
BROOKINGS,O,42.052,-124.284
CATALINA ISLAND,C,33.3879,-118.4163
CHARLESTON (COOS BAY),O,43.366,-124.217
CHINOOK,W,46.282397,-123.93844
CRESCENT CITY,C,41.782681,-124.16703
DANA POINT,C,33.475302,-117.70327
DILLON BEACH,C,38.246611,-122.95916
EMERYVILLE,C,37.834724,-122.28316
EUREKA,C,40.757091,-124.1513
FIELDS LANDING,C,40.725444,-124.21697
FORT BRAGG,C,39.43695,-123.76087
GARIBALDI (TILLAMOOK),O,45.5598,-123.911
GAVIOTA,C,34.4717,-120.2149
GOLETA,C,34.262834,-119.848555
GUADALUPE,C,34.958896,-120.58014
HUMBOLDT,C,40.745,-123.869
HUNTINGTON BEACH,C,33.673468,-118.00243
ILWACO,W,46.312541,-124.02968
LACONNER,W,48.3887,-122.4963
LONG BEACH,C,33.786594,-118.298662
LOS ANGELES,C,34.050411,-118.21195
MARCONI,C,38.1438,-122.877
MILL CREEK,C,40.310324,-121.43316
MISSION BAY,C,32.7805,-117.242
MONTEREY,C,36.606225,-121.908915
MORRO BAY,C,35.372861,-120.859391
MOSS LANDING,C,36.812905,-121.78299
"NASELLE",W,46.370075,-123.76506
"NATIONAL CITY",C,33.016928,-116.846046
NEAH BAY,W,48.35306,-124.64076
NEWPORT,O,44.636,-124.0535
NEWPORT BEACH,C,33.640302,-117.769442
OCEANSIDE,C,33.195354,-117.28232
OXNARD,C,34.21707,-119.1769
PINOLE,C,37.997509,-122.29208
PLAYA DEL REY,C,33.786594,-118.298662
POINT ARENA,C,38.898385,-123.65746
POINT LOMA,C,32.7,-117.2467
PORT HUENEME,C,34.154072,-119.18829
PORT ORFORD,O,42.745,-124.297
PRINCETON / HALF MOON BAY,C,37.463,-122.428
REDONDO BEACH,C,33.828815,-118.38322
RICHMOND,C,37.941424,-122.36628
SAN DIEGO,C,32.677286,-117.05241
SAN FRANCISCO,C,37.801878,-122.41018
SAN PEDRO,C,33.732368,-118.28905
SAN SIMEON,C,35.664386,-121.21965
SANTA BARBARA,C,34.439579,-119.76788
SANTA CRUZ,C,37.010322,-121.98523
SANTA MONICA,C,34.009276,-118.47286
SAUSALITO,C,38.068036,-122.740988
SEAL BEACH,C,33.759283,-118.08239
SHELTER COVE,C,40.0304,-124.0731
SOUTH SAN FRANCISCO,C,37.652857,-122.4301
TACOMA,W,47.208987,-122.48053
TERMINAL ISLAND,C,33.742,-118.261
THE DALLES,W,47.0518,-121.5715
TRINIDAD,C,41.081726,-124.13112
VALLEJO,C,38.115015,-122.29055
VENTURA,C,34.311203,-119.30164
WESTPORT,W,46.887187,-124.10735
WHIDBY ISLAND,W,47.9983,-122.4395
WILLOW CREEK,C,40.945039,-123.65806
WILMINGTON,C,33.786594,-118.298662
WINCHESTER BAY,O,43.6771,-124.1748
