year,month,port,SDM_60,SDM_90
1998,1,NPS,NA,NA
1998,1,SPS,NA,NA
1998,1,CWA,0.31675640376598996,0.24573463364733117
1998,1,CLW,0.364537967017614,0.26082625919360397
1998,1,WA5,NA,NA
1998,1,CLO,0.3542892124161732,0.26280212679780807
1998,1,TLA,0.22963235413827618,0.19400405894432152
1998,1,NPA,0.3029296873697241,0.23155933050841374
1998,1,CBA,0.3876576790843899,0.2908208411701951
1998,1,BRA,0.34259800675237195,0.2679406364856859
1998,1,OR1,NA,NA
1998,1,CCA,0.3254349068900515,0.2842093186135391
1998,1,ERA,0.39696201190866853,0.3080554401611057
1998,1,BGA,0.36473646872146154,0.306407843658178
1998,1,BDA,0.4396505605300339,0.3495405592367955
1998,1,SFA,0.4675383978793698,0.37814228697863533
1998,1,MNA,0.45155251348388953,0.36808133870566917
1998,1,MRA,0.423088086414604,0.3388291311655139
1998,1,SBA,0.6225837377170401,0.5628596905154717
1998,1,LAA,0.5945203867929907,0.5261500279802582
1998,1,SDA,0.5325187750086106,0.4640802766806982
1998,1,CA2,NA,NA
1998,2,NPS,NA,NA
1998,2,SPS,NA,NA
1998,2,CWA,0.33281098442877155,0.26276508039259167
1998,2,CLW,0.4186789092606723,0.2840551533296848
1998,2,WA5,NA,NA
1998,2,CLO,0.42194577471062833,0.29312279577163375
1998,2,TLA,0.29865104041078105,0.22196882749499375
1998,2,NPA,0.2910820900983413,0.21780360288373923
1998,2,CBA,0.2883449207945197,0.24109435929401246
1998,2,BRA,0.44737525578493825,0.35066214396150797
1998,2,OR1,NA,NA
1998,2,CCA,0.44827170540258043,0.3588299001812689
1998,2,ERA,0.4654537484123202,0.363026705438437
1998,2,BGA,0.4191301065097962,0.3379965629267357
1998,2,BDA,0.5116695618483598,0.39123562761002967
1998,2,SFA,0.626042893375544,0.4713078412478642
1998,2,MNA,0.46363682330403694,0.3739146093970963
1998,2,MRA,0.4722660220833631,0.37369360928121326
1998,2,SBA,0.654803456849463,0.5936126812708145
1998,2,LAA,0.6178731222203525,0.5329174003590011
1998,2,SDA,0.440693974384827,0.38525433408848614
1998,2,CA2,NA,NA
1998,3,NPS,NA,NA
1998,3,SPS,NA,NA
1998,3,CWA,0.4015151237023454,0.3202124323350222
1998,3,CLW,0.4829237346260351,0.3370415327777497
1998,3,WA5,NA,NA
1998,3,CLO,0.47447509664080795,0.3410234535827628
1998,3,TLA,0.29205811488043687,0.24366977591178143
1998,3,NPA,0.286643682413699,0.2153982666286895
1998,3,CBA,0.3238118372197586,0.25092946700853336
1998,3,BRA,0.37836611129800934,0.30063604487843276
1998,3,OR1,NA,NA
1998,3,CCA,0.3888345418201433,0.3163351565220442
1998,3,ERA,0.40461350603234253,0.3226306628180705
1998,3,BGA,0.3394333293120707,0.2801473608071154
1998,3,BDA,0.4338734176370405,0.35355966032878205
1998,3,SFA,0.5861188965289371,0.42602797667345693
1998,3,MNA,0.42370148892364196,0.3399589455998648
1998,3,MRA,0.3809146321598757,0.3030385729329677
1998,3,SBA,0.5922226032782947,0.5490447466204544
1998,3,LAA,0.629629234788197,0.5542915325904213
1998,3,SDA,0.47959526485708587,0.41606526203209415
1998,3,CA2,NA,NA
1998,4,NPS,NA,NA
1998,4,SPS,NA,NA
1998,4,CWA,0.3359334969288997,0.2612523091964686
1998,4,CLW,0.4933760432346213,0.33632700403023813
1998,4,WA5,NA,NA
1998,4,CLO,0.511380669808749,0.34903230580854355
1998,4,TLA,0.3409293627885521,0.26961491222938766
1998,4,NPA,0.24381416405767503,0.1949677580753593
1998,4,CBA,0.2736027738877705,0.2149183235852651
1998,4,BRA,0.31750385017805205,0.24888230913672724
1998,4,OR1,NA,NA
