year,month,port,SDM_20
2000,1,NPS,NA
2000,1,SPS,NA
2000,1,CWA,0.173672402
2000,1,CLW,0.241763574
2000,1,WA5,NA
2000,1,CLO,0.190040902
2000,1,TLA,0.135235241
2000,1,NPA,0.248910261
2000,1,CBA,0.255907618
2000,1,BRA,0.223521764
2000,1,OR1,NA
2000,1,CCA,0.282051282
2000,1,ERA,0.271281449
2000,1,BGA,0.161879124
2000,1,BDA,0.187681657
2000,1,SFA,0.432837505
2000,1,MNA,0.14466922
2000,1,MRA,0.239612516
2000,1,SBA,0.314518454
2000,1,LAA,0.391126393
2000,1,SDA,0.350977129
2000,1,CA2,NA
2000,2,NPS,NA
2000,2,SPS,NA
2000,2,CWA,0.181550931
2000,2,CLW,0.220300631
2000,2,WA5,NA
2000,2,CLO,0.156287935
2000,2,TLA,0.147640909
2000,2,NPA,0.161153639
2000,2,CBA,0.225050526
2000,2,BRA,0.254006125
2000,2,OR1,NA
2000,2,CCA,0.337353606
2000,2,ERA,0.353680492
2000,2,BGA,0.203144294
2000,2,BDA,0.356704881
2000,2,SFA,0.520715267
2000,2,MNA,0.257298374
2000,2,MRA,0.347996342
2000,2,SBA,0.391534487
2000,2,LAA,0.42129035
2000,2,SDA,0.392950529
2000,2,CA2,NA
2000,3,NPS,NA
2000,3,SPS,NA
2000,3,CWA,0.280071792
2000,3,CLW,0.334683243
2000,3,WA5,NA
2000,3,CLO,0.270321622
2000,3,TLA,0.218291336
2000,3,NPA,0.243801578
2000,3,CBA,0.192309744
2000,3,BRA,0.177276444
2000,3,OR1,NA
2000,3,CCA,0.249341994
2000,3,ERA,0.27244369
2000,3,BGA,0.186902395
2000,3,BDA,0.258118537
2000,3,SFA,0.512056463
2000,3,MNA,0.430908507
2000,3,MRA,0.370909468
2000,3,SBA,0.382384562
2000,3,LAA,0.402532452
2000,3,SDA,0.367453057
2000,3,CA2,NA
2000,4,NPS,NA
2000,4,SPS,NA
2000,4,CWA,0.350781985
2000,4,CLW,0.437606612
2000,4,WA5,NA
2000,4,CLO,0.326250815
2000,4,TLA,0.237816705
2000,4,NPA,0.217403332
2000,4,CBA,0.1995759
