year,month,port,SDM_20
2012,1,NPS,NA
2012,1,SPS,NA
2012,1,CWA,0.24039793820762215
2012,1,CLW,0.32643939710913167
2012,1,WA5,NA
2012,1,CLO,0.32691127446389967
2012,1,TLA,0.27544525345807436
2012,1,NPA,0.2591446913698668
2012,1,CBA,0.19930618098391914
2012,1,BRA,0.23601024939701976
2012,1,OR1,NA
2012,1,CCA,0.23539564446095496
2012,1,ERA,0.19464066961119253
2012,1,BGA,0.1598690723646499
2012,1,BDA,0.2866724798893599
2012,1,SFA,0.45665600895881653
2012,1,MNA,0.23669337385123776
2012,1,MRA,0.3296732613155919
2012,1,SBA,0.4491513557331536
2012,1,LAA,0.4038862070489314
2012,1,SDA,0.3461056253808435
2012,1,CA2,NA
2012,2,NPS,NA
2012,2,SPS,NA
2012,2,CWA,0.2584466424107925
2012,2,CLW,0.24503722883247098
2012,2,WA5,NA
2012,2,CLO,0.21122312398049337
2012,2,TLA,0.19999949771097336
2012,2,NPA,0.19501196361821274
2012,2,CBA,0.19686820361708185
2012,2,BRA,0.19735211359472565
2012,2,OR1,NA
2012,2,CCA,0.22847889871175947
2012,2,ERA,0.22544368883145266
2012,2,BGA,0.18735550459602784
2012,2,BDA,0.2239905338495823
2012,2,SFA,0.5065069121533426
2012,2,MNA,0.27419937147234363
2012,2,MRA,0.2870989512780617
2012,2,SBA,0.3692499175667763
2012,2,LAA,0.37101569527695916
2012,2,SDA,0.3429249347430732
2012,2,CA2,NA
2012,3,NPS,NA
2012,3,SPS,NA
2012,3,CWA,0.25629457949368484
2012,3,CLW,0.30155446572649863
2012,3,WA5,NA
2012,3,CLO,0.24598578363656998
2012,3,TLA,0.2703270227998816
2012,3,NPA,0.22987179151038542
2012,3,CBA,0.25416339968206697
2012,3,BRA,0.1785269402848777
2012,3,OR1,NA
2012,3,CCA,0.20536386858551733
2012,3,ERA,0.22204284558355947
2012,3,BGA,0.1503262277625795
2012,3,BDA,0.2030534544092719
2012,3,SFA,0.39106654495962206
2012,3,MNA,0.3573480208394348
2012,3,MRA,0.20501655282512787
2012,3,SBA,0.2766255745564097
2012,3,LAA,0.4547006005962049
2012,3,SDA,0.536688902823057
2012,3,CA2,NA
2012,4,NPS,NA
2012,4,SPS,NA
2012,4,CWA,0.3554337940884359
2012,4,CLW,0.3791735911120971
2012,4,WA5,NA
2012,4,CLO,0.32831809148192403
2012,4,TLA,0.26883871315254104
2012,4,NPA,0.24614148989871698
2012,4,CBA,0.2993456884154252
2012,4,BRA,0.28718377437304565
2012,4,OR1,NA
2012,4,CCA,0.332132654528444
2012,4,ERA,0.3107312620218311
2012,4,BGA,0.20302957735127874
2012,4,BDA,0.29042640789633706
2012,4,SFA,0.4695030614733696
2012,4,MNA,0.2647593910081519
2012,4,MRA,0.17640536119540534
2012,4,SBA,0.18791159370707142
2012,4,LAA,0.3111038237810135
2012,4,SDA,0.35172398576424235
2012,4,CA2,NA
2012,5,NPS,NA
2012,5,SPS,NA
2012,5,CWA,0.42396206349746224
2012,5,CLW,0.49581874065822173
2012,5,WA5,NA
2012,5,CLO,0.3713003294842858
2012,5,TLA,0.37254558503627777
2012,5,NPA,0.328228310658513
2012,5,CBA,0.31131232066363235
2012,5,BRA,0.160170536234601
2012,5,OR1,NA
2012,5,CCA,0.19399147303474526
2012,5,ERA,0.29365587543507327
2012,5,BGA,0.1065382162863422
2012,5,BDA,0.1335233326846828
2012,5,SFA,0.3445494516241935
2012,5,MNA,0.261876778136338
2012,5,MRA,0.12950225616655042
2012,5,SBA,0.26124204102382864
2012,5,LAA,0.24286915178621007
2012,5,SDA,0.2527058553036457
2012,5,CA2,NA
2012,6,NPS,NA
2012,6,SPS,NA
2012,6,CWA,0.34645934570016285
2012,6,CLW,0.5743182937304179
2012,6,WA5,NA
2012,6,CLO,0.515361367414395
2012,6,TLA,0.3424542153047191
2012,6,NPA,0.3291528645488951
2012,6,CBA,0.3947893250556219
2012,6,BRA,0.20270486182912634
2012,6,OR1,NA
2012,6,CCA,0.24000695743598044
2012,6,ERA,0.27681212723255155
2012,6,BGA,0.15355538683081113
2012,6,BDA,0.21338339687458108
2012,6,SFA,0.3065938596924146
2012,6,MNA,0.20430891993972988
2012,6,MRA,0.2544951209922632
2012,6,SBA,0.25744443552361596
2012,6,LAA,0.3302373295029004
2012,6,SDA,0.2363674088957764
2012,6,CA2,NA
2012,7,NPS,NA
2012,7,SPS,NA
2012,7,CWA,0.34815869613651657
2012,7,CLW,0.5535623971973695
2012,7,WA5,NA
2012,7,CLO,0.5437137381203713
2012,7,TLA,0.4915875773276052
2012,7,NPA,0.34960859127369404
2012,7,CBA,0.2895956108441001
2012,7,BRA,0.23168083987996568
2012,7,OR1,NA
2012,7,CCA,0.2121298330114974
2012,7,ERA,0.2712030538834185
2012,7,BGA,0.11764503381211698
2012,7,BDA,0.20646015228489029
2012,7,SFA,0.2622504243927617
2012,7,MNA,0.21454853444330155
2012,7,MRA,0.2493265112080882
2012,7,SBA,0.21402362165271593
2012,7,LAA,0.2931409751575801
2012,7,SDA,0.2502925599225655
2012,7,CA2,NA
2012,8,NPS,NA
2012,8,SPS,NA
2012,8,CWA,0.3616413987539381
2012,8,CLW,0.4740351003504569
2012,8,WA5,NA
2012,8,CLO,0.48232186201118654
2012,8,TLA,0.589230526198623
2012,8,NPA,0.2172473219880921
2012,8,CBA,0.3348077595371255
2012,8,BRA,0.2431492524281625
2012,8,OR1,NA
2012,8,CCA,0.21797147689146862
2012,8,ERA,0.2478241699013842
2012,8,BGA,0.12711515501942686
2012,8,BDA,0.13628703695700464
2012,8,SFA,0.27176268591034797
2012,8,MNA,0.28070065287011925
2012,8,MRA,0.28743321150541307
2012,8,SBA,0.2048900912525833
2012,8,LAA,0.3220659399465207
2012,8,SDA,0.32628417660563774
2012,8,CA2,NA
2012,9,NPS,NA
2012,9,SPS,NA
2012,9,CWA,0.40613135171659065
2012,9,CLW,0.4444682039320469
2012,9,WA5,NA
2012,9,CLO,0.4759158131976922
2012,9,TLA,0.5182149156928062
2012,9,NPA,0.24265135047888314
2012,9,CBA,0.31865948545081274
2012,9,BRA,0.23041835910192243
2012,9,OR1,NA
2012,9,CCA,0.27287551397457716
2012,9,ERA,0.2889619544858024
2012,9,BGA,0.17439672640628284
2012,9,BDA,0.2922551218242872
2012,9,SFA,0.28186173364520073
2012,9,MNA,0.3463584917287032
2012,9,MRA,0.42500705063343047
2012,9,SBA,0.28425572920176717
2012,9,LAA,0.4027284402400255
2012,9,SDA,0.40268679168962296
2012,9,CA2,NA
2012,10,NPS,NA
2012,10,SPS,NA
2012,10,CWA,0.4145893362348031
2012,10,CLW,0.5083961330594555
2012,10,WA5,NA
2012,10,CLO,0.4831550094869829
2012,10,TLA,0.4353624337142514
2012,10,NPA,0.25684826837111546
2012,10,CBA,0.2242143227620059
2012,10,BRA,0.2832298272666538
2012,10,OR1,NA
2012,10,CCA,0.25346840960123845
2012,10,ERA,0.29018023249603087
2012,10,BGA,0.3306200827428517
2012,10,BDA,0.36375755044172436
2012,10,SFA,0.5087306364890067
2012,10,MNA,0.3390621155179957
2012,10,MRA,0.4554696498378631
2012,10,SBA,0.3303635690801887
2012,10,LAA,0.4941346514369211
2012,10,SDA,0.4476206168051689
2012,10,CA2,NA
2012,11,NPS,NA
2012,11,SPS,NA
2012,11,CWA,0.3810084030032158
2012,11,CLW,0.3890618344148
2012,11,WA5,NA
2012,11,CLO,0.3726438384503126
2012,11,TLA,0.2927917190723949
2012,11,NPA,0.3093105935388141
2012,11,CBA,0.3281953370287305
2012,11,BRA,0.2313727814014311
2012,11,OR1,NA
2012,11,CCA,0.24870270666045446
2012,11,ERA,0.2534470391060625
2012,11,BGA,0.26609045923859986
2012,11,BDA,0.3993284394343694
2012,11,SFA,0.6003769844770431
2012,11,MNA,0.47040177202887
2012,11,MRA,0.44050597965717314
2012,11,SBA,0.4404822667439779
2012,11,LAA,0.4473860999569297
2012,11,SDA,0.452962979887213
2012,11,CA2,NA
2012,12,NPS,NA
2012,12,SPS,NA
2012,12,CWA,NA
2012,12,CLW,NA
2012,12,WA5,NA
2012,12,CLO,NA
2012,12,TLA,0.2766005860701684
2012,12,NPA,0.27181902314172424
2012,12,CBA,0.29829357193637007
2012,12,BRA,0.23007213726212475
2012,12,OR1,NA
2012,12,CCA,0.284191019202192
2012,12,ERA,0.33644544990724684
2012,12,BGA,0.2369998886540372
2012,12,BDA,0.3585846334833154
2012,12,SFA,0.5597244698193765
2012,12,MNA,0.2831553434652667
2012,12,MRA,0.3893537090670678
2012,12,SBA,0.5304263384752376
2012,12,LAA,0.4407891497136124
2012,12,SDA,0.4086166016654485
2012,12,CA2,NA
2013,1,NPS,NA
2013,1,SPS,NA
2013,1,CWA,0.21737704201003324
2013,1,CLW,0.21302793583562296
2013,1,WA5,NA
2013,1,CLO,0.18123679782354063
2013,1,TLA,0.2023443604509036
2013,1,NPA,0.24131002279806307
2013,1,CBA,0.2707913460270051
2013,1,BRA,0.18728374138367646
2013,1,OR1,NA
2013,1,CCA,0.19284103668084548
2013,1,ERA,0.24846903320556413
2013,1,BGA,0.2138839990541499
2013,1,BDA,0.3865614917970473
2013,1,SFA,0.4701946411401995
2013,1,MNA,0.31212751407136197
2013,1,MRA,0.31061494821502317
2013,1,SBA,0.35629254395282395
2013,1,LAA,0.4793957289788992
2013,1,SDA,0.3687774113933062
2013,1,CA2,NA
2013,2,NPS,NA
2013,2,SPS,NA
2013,2,CWA,0.2868828944039422
2013,2,CLW,0.31903952839119093
2013,2,WA5,NA
2013,2,CLO,0.3448660163474934
2013,2,TLA,0.25593239805173307
2013,2,NPA,0.19486358525261047
2013,2,CBA,0.233899824549349
2013,2,BRA,0.175948807880992
2013,2,OR1,NA
2013,2,CCA,0.2829769009923829
2013,2,ERA,0.3825860976868746
2013,2,BGA,0.23265724546379513
2013,2,BDA,0.3378806078464401
2013,2,SFA,0.4520068775330271
2013,2,MNA,0.3566985813279947
2013,2,MRA,0.2834158655788217
2013,2,SBA,0.3610298200732186
2013,2,LAA,0.39548469674108283
2013,2,SDA,0.40089805507842374
2013,2,CA2,NA
2013,3,NPS,NA
2013,3,SPS,NA
2013,3,CWA,0.25347361086575515
2013,3,CLW,0.376965859484288
2013,3,WA5,NA
2013,3,CLO,0.3461729137887878
2013,3,TLA,0.2854129550277546
2013,3,NPA,0.2388830404181207
2013,3,CBA,0.20854806618481736
2013,3,BRA,0.32255189214235563
2013,3,OR1,NA
2013,3,CCA,0.3876021432900621
2013,3,ERA,0.23993220204307186
2013,3,BGA,0.2141714038120376
2013,3,BDA,0.21864462722831057
2013,3,SFA,0.49247866532494944
2013,3,MNA,0.3675427621090284
2013,3,MRA,0.28775925588223245
2013,3,SBA,0.48958943335599797
2013,3,LAA,0.38559967459690186
2013,3,SDA,0.30256369572630676
2013,3,CA2,NA
2013,4,NPS,NA
2013,4,SPS,NA
2013,4,CWA,0.3311406234448606
2013,4,CLW,0.54353752831618
2013,4,WA5,NA
2013,4,CLO,0.5126031552751859
2013,4,TLA,0.40165104203754
2013,4,NPA,0.3999828475492972
2013,4,CBA,0.29749942719936373
2013,4,BRA,0.13396654696100288
2013,4,OR1,NA
2013,4,CCA,0.17524302455907068
