"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct","oty_month2_emplvl_chg","oty_month2_emplvl_pct","oty_month3_emplvl_chg","oty_month3_emplvl_pct","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct"
"01000","5","114112","58","0","2009","1","","Alabama -- Statewide","Private","Shellfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",9,17,12,12,65848,64748,1260,371,"",0.75,0.47,0.35,0.34,0.18,0.23,0.11,0.48,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","114112","58","0","2009","2","","Alabama -- Statewide","Private","Shellfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,13,16,15,113410,58626,1662,595,"",0.67,0.35,0.42,0.40,0.22,0.43,0.26,0.57,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","114112","58","0","2009","3","","Alabama -- Statewide","Private","Shellfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",9,15,26,28,210140,87105,2500,703,"",0.77,0.39,0.68,0.75,0.45,0.93,0.73,0.75,"",0,0.0,-8,-34.8,11,73.3,13,86.7,48091,29.7,-10891,-11.1,-52,-2.0,-3,-0.4
"01000","5","114112","58","0","2009","4","","Alabama -- Statewide","Private","Shellfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",9,28,29,28,327930,103500,2876,890,"",0.76,0.74,0.75,0.68,0.72,1.05,0.79,0.99,"",-1,-10.0,6,27.3,6,26.1,4,16.7,119938,57.7,39621,62.0,1309,83.5,194,27.9
"01003","5","114112","78","0","2009","1","N","Baldwin County, Alabama","Private","Shellfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","114112","78","0","2009","2","N","Baldwin County, Alabama","Private","Shellfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.87,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","114112","78","0","2009","3","N","Baldwin County, Alabama","Private","Shellfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.91,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","114112","78","0","2009","4","N","Baldwin County, Alabama","Private","Shellfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","114112","78","0","2009","1","N","Mobile County, Alabama","Private","Shellfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",7.00,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","114112","78","0","2009","2","N","Mobile County, Alabama","Private","Shellfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",7.03,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
