"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","114111","58","0","2017","1","","Alabama -- Statewide","Private","NAICS 114111 Finfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,19,18,19,91717,74273,2262,378,"",0.31,0.47,0.44,0.47,0.15,0.16,0.18,0.32,"",0,0.0,-1,-5.0,-5,-21.7,-1,-5.0,-339,-0.4,-2033,-2.7,628,38.4,41,12.2
"01000","5","114111","58","0","2017","2","","Alabama -- Statewide","Private","NAICS 114111 Finfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,20,18,20,102111,50490,1346,406,"",0.31,0.45,0.40,0.40,0.13,0.21,0.18,0.32,"",0,0.0,0,0.0,-3,-14.3,-3,-13.0,6360,6.6,-8012,-13.7,240,21.7,61,17.7
"01000","5","114111","58","0","2017","3","","Alabama -- Statewide","Private","NAICS 114111 Finfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,20,22,22,114523,42259,883,413,"",0.31,0.37,0.43,0.45,0.12,0.21,0.15,0.30,"",0,0.0,0,0.0,3,15.8,3,15.8,13538,13.4,8930,26.8,372,72.8,11,2.7
"01000","5","114111","58","0","2017","4","","Alabama -- Statewide","Private","NAICS 114111 Finfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,22,28,28,126026,43266,1373,373,"",0.30,0.47,0.61,0.64,0.15,0.34,0.35,0.26,"",0,0.0,1,4.8,7,33.3,7,33.3,4007,3.3,9519,28.2,985,253.9,-74,-16.6
"01065","5","114111","78","0","2017","1","N","Hale County, Alabama","Private","NAICS 114111 Finfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",104.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","114111","78","0","2017","2","N","Hale County, Alabama","Private","NAICS 114111 Finfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",104.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","114111","78","0","2017","3","N","Hale County, Alabama","Private","NAICS 114111 Finfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",103.96,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","114111","78","0","2017","4","N","Hale County, Alabama","Private","NAICS 114111 Finfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",103.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","114111","78","0","2017","1","N","Mobile County, Alabama","Private","NAICS 114111 Finfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","114111","78","0","2017","2","N","Mobile County, Alabama","Private","NAICS 114111 Finfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","114111","78","0","2017","3","N","Mobile County, Alabama","Private","NAICS 114111 Finfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","114111","78","0","2017","4","N","Mobile County, Alabama","Private","NAICS 114111 Finfish fishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","114111","58","0","2017","1","","Alaska -- Statewide","Private","NAICS 114111 Finfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",94,81,85,86,2164722,1891573,35898,1982,"",41.68,12.54,12.90,13.22,18.39,14.39,8.37,1.43,"",-6,-6.0,-12,-12.9,-11,-11.5,0,0.0,561978,35.1,341250,22.0,-1080,-2.9,637,47.4
"02000","5","114111","58","0","2017","2","","Alaska -- Statewide","Private","NAICS 114111 Finfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",95,136,154,193,3257400,2009377,41412,1556,"",42.12,18.81,19.86,22.16,21.31,9.70,5.28,1.04,"",-8,-7.8,-14,-9.3,6,4.1,-62,-24.3,-181225,-5.3,-495252,-19.8,-20828,-33.5,121,8.4
"02000","5","114111","58","0","2017","3","","Alaska -- Statewide","Private","NAICS 114111 Finfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",99,420,264,218,7201474,5527041,121625,1842,"",43.55,44.80,29.45,25.84,37.05,23.96,15.13,1.10,"",-7,-6.6,-67,-13.8,-61,-18.8,46,26.7,-310787,-4.1,-491587,-8.2,-33507,-21.6,80,4.5
"02000","5","114111","58","0","2017","4","","Alaska -- Statewide","Private","NAICS 114111 Finfish fishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",98,158,74,95,2947081,1227126,26120,2080,"",43.29,20.31,10.25,13.89,19.37,13.37,8.67,1.29,"",-2,-2.0,58,58.0,-13,-14.9,-39,-29.1,859921,41.2,427271,53.4,5922,29.3,580,38.7
