"VESSEL_NUM","LANDING_MONTH","LANDING_YEAR","LAT","DISTANCE_A","LANDED_WEIGHT_LBS","AFI_EXVESSEL_REVENUE","Percentage","diversity"
"1000086",1,2001,34.154072,0,939961,66925.2232,1,1
"1000086",2,2001,33.831082861017,80061.4941917735,1098552,78216.9024,1,1
"1000086",3,2001,34.0910672344269,69831.2483996254,1181635,84132.412,1,1
"1021870",2,2000,33.732368,0,2450,356.965,1,1
"1022007",2,2000,34.3477024052176,40777.5669963864,75501,11249.460575,0.715683576232276,1
"1022007",3,2000,34.4060523199212,39684.1893719328,54067,20571.419425,0.261160030526187,1
"1022007",4,2000,34.0552712674254,152517.536433316,23240,17762.65125,0.0812303906490311,1
"1022047",1,2000,33.7399218300741,2311.98102515628,96136,14007.0152,1,1
"1022047",1,2001,33.7414401507485,1315.05610842386,72810,10368.144,1,1
"1022047",1,2002,33.732368,0,98721,13850.5563,1,1
"1022047",1,2003,33.732368,0,7948,2185.7,1,1
"1022047",1,2004,33.732368,0,64054,17166.472,1,1
"1022047",1,2006,33.732368,0,192842,60745.23,1,1
"1022047",1,2008,33.732368,0,22260,8040.312,1,1
"1022047",1,2009,33.732368,0,4295,1797.887,1,1
"1022047",1,2010,33.732368,0,5744,1697.352,1,1
"1022047",1,2011,33.732368,0,23145,8040.573,1,1
"1022047",1,2012,33.732368,0,67482,26605.6312,1,1
"1022047",1,2016,33.742,0,7775,2925.34375,1,1
"1022047",1,2018,33.742,0,4205,2165.575,1,1
"1022047",1,2019,33.742,0,13189,6673.634,1,1
"1022047",1,2020,33.742,0,27331,13665.5,1,1
"1022047",10,2004,33.7349590061761,2593.86861478946,64569,26925.29,0.952218379077811,1
"1022047",10,2007,33.732368,0,2124,781.8444,1,1
"1022047",10,2011,33.732368,0,33764,9774.678,1,1
"1022047",10,2013,33.732368,0,69833,25351.124825,1,1
"1022047",11,2000,33.732368,0,13851,2522.613375,1,1
"1022047",11,2001,33.7469251864665,9883.92881323008,18594.3,3500.6904,0.791709886712632,1
"1022047",11,2005,33.732368,0,119423,42660.881175,1,1
"1022047",11,2011,33.732368,0,214383,63448.6149,1,1
"1022047",11,2012,33.732368,0,13300,4532.64,1,1
"1022047",11,2014,33.732368,0,1454,517.9148,1,1
"1022047",11,2016,33.742,0,64844,34853.65,1,1
"1022047",11,2017,33.742,0,20356,10737.79,1,1
"1022047",11,2018,33.742,0,5450,2806.75,1,1
"1022047",12,2000,33.7372004733186,2810.31998938098,85659,12480.5163,1,1
"1022047",12,2001,33.745976176371,9611.57908664666,45916.5,7318.5768,0.996351749700844,1
"1022047",12,2004,33.732368,0,23124,7746.54,1,1
"1022047",12,2005,33.732368,0,353048,122202.19095,1,1
"1022047",12,2007,33.732368,0,26590,9787.779,1,1
"1022047",12,2010,33.732368,0,75476,22303.158,1,1
"1022047",12,2011,33.732368,0,91396,36352.0518,1,1
"1022047",12,2015,33.742,0,9246,3514.4046,1,1
"1022047",12,2016,33.742,0,12564,6753.15,1,1
"1022047",12,2018,33.742,0,21703,11177.045,1,1
"1022047",12,2020,33.7936362766389,6802.89806097775,10342,11376.2,1,1
"1022047",2,2000,33.7341200366605,2168.29703200326,114096,15865.4187,1,1
"1022047",2,2001,33.7382461420925,2741.10891999905,67159,8633.6408,1,1
"1022047",2,2002,33.732368,0,42886,6016.9058,1,1
"1022047",2,2003,33.732368,0,9473,2605.075,1,1
"1022047",2,2004,33.732368,0,37376,7512.576,1,1
"1022047",2,2006,33.732368,0,175594,55312.11,1,1
"1022047",2,2007,33.732368,0,23633,7249.42275,1,1
"1022047",2,2009,33.732368,0,2719,1138.1734,1,1
"1022047",2,2010,33.732368,0,141228,41732.874,1,1
"1022047",2,2011,33.732368,0,55054,19125.7596,1,1
"1022047",2,2012,33.732368,0,19794,7870.0944,1,1
"1022047",2,2017,33.742,0,1412,744.83,1,1
"1022047",2,2018,33.742,0,7221,3718.815,1,1
"1022047",3,2000,33.732368,0,164676,35751.79315,1,1
"1022047",3,2001,33.7330235709375,1328.96691763385,41726,6007.144,0.987910394690056,1
"1022047",3,2004,33.732368,0,11071,2225.271,1,1
"1022047",3,2005,33.732368,0,24090,7823.2275,1,1
"1022047",3,2011,33.732368,0,2092,726.7608,1,1
"1022047",3,2017,33.742,0,11676,6159.09,1,1
"1022047",3,2018,33.742,0,24483,12608.745,1,1
"1022047",4,2000,33.732368,0,10380,2761.5978,0.802152579930358,1
"1022047",4,2003,33.7572735305563,6060.02155338048,5537,2431.06875,1,1
"1022047",4,2004,33.6994496338844,24003.3093307851,7837,2220.916,1,1
"1022047",4,2005,33.732368,0,22400,7274.4,1,1
"1022047",4,2017,33.742,0,9322,4917.355,1,1
"1022047",5,2003,33.6661613737787,40232.3794292045,2218,2153.1125,0.353087681205696,1
"1022047",5,2007,33.742,0,850,630.1872,0.163551401869159,1
"1022047",6,2013,33.732368,0,13502,4524.5202,1,1
"1022047",6,2014,33.732368,0,22762,8107.8244,1,1
"1022047",7,2012,33.732368,0,18579,6331.7232,1,1
"1022047",7,2013,33.732368,0,59876,21736.4849,1,1
"1022047",8,2005,33.368642,0,106,267.594,0.133495145631068,1
"1022047",8,2010,33.732368,0,6103,1803.4365,1,1
"1022047",8,2013,33.732368,0,68597,24902.425925,1,1
"1022047",9,2003,33.7441428421278,4939.21796456922,3731,4505.4625,0.23520615253151,1
"1022047",9,2008,33.732368,0,1340,564.676,1,1
"1022047",9,2011,33.732368,0,12312,3564.324,1,1
"1022047",9,2013,33.732368,0,29544,10725.2106,1,1
"1024362",4,2020,44.636,0,31558,18927,1,1
"1024362",5,2020,44.636,2.86509391330473e-09,42232,25273.8,1,1
"1025753",11,2000,32.677286,0,187.25,384.757275,0.0727066174382278,1
"1026089",1,2004,33.732368,0,17866,3978.46,1,1
"1026089",1,2012,33.732368,0,59928,23294.3048,1,1
"1026089",12,2004,33.828815,0,3793,2287.179,1,1
"1026089",12,2011,33.732368,0,14719,5965.6107,1,1
"1026089",12,2016,33.742,0,10640,5719,1,1
"1026089",12,2018,33.742,0,16605,8551.575,1,1
"1026089",2,2004,33.732368,0,49471,9943.671,1,1
"1026089",2,2010,33.732368,0,4406,1301.973,1,1
"1026089",2,2012,33.732368,0,18681,6593.5144,1,1
"1026089",2,2020,33.742,0,1039,519.5,1,1
"1026089",3,2004,33.7478287350647,10129.6611182934,13315,2946.191,1,1
"1026089",3,2006,33.732368,0,1399,440.685,1,1
"1026089",4,2004,34.1291697924528,97140.8891099353,1992,708.4245,0.622641509433962,1
"1026089",7,2013,34.154072,0,14114,5123.73485,1,1
"1026089",8,2013,33.76435003136,50585.8633723287,112500,40840.3125,1,1
"1026089",9,2012,33.732368,0,23747,8092.9776,1,1
"1026090",10,2007,33.732368,0,10260,3776.706,1,1
