LANDING_YEAR,LANDING_MONTH,PORT_NAME,SDM_20,AGENCY_CODE
2000,1,ABERDEEN,0.201726119,W
2000,1,ALAMEDA,NA,C
2000,1,ANACORTES,NA,W
2000,1,ASTORIA,0.193411965,O
2000,1,AVALON,0.278774102,C
2000,1,AVILA,0.219568972,C
2000,1,BELLINGHAM BAY,NA,W
2000,1,BERKELEY,NA,C
2000,1,BODEGA BAY,0.187681657,C
2000,1,BROOKINGS,0.224230261,O
2000,1,CHARLESTON (COOS BAY),0.269852096,O
2000,1,CHINOOK,0.193411965,W
2000,1,CRESCENT CITY,0.277727406,C
2000,1,DANA POINT,0.314167047,C
2000,1,DILLON BEACH,0.199964896,C
2000,1,EUREKA,0.271281449,C
2000,1,FIELDS LANDING,0.309325773,C
2000,1,FORT BRAGG,0.16406224,C
2000,1,GARIBALDI (TILLAMOOK),0.120762171,O
2000,1,GAVIOTA,0.224450927,C
2000,1,GOLETA,0.276232148,C
2000,1,GUADALUPE,0.221589853,C
2000,1,HUMBOLDT,0.271281449,C
2000,1,HUNTINGTON BEACH,0.458862291,C
2000,1,ILWACO,0.193411965,W
2000,1,LACONNER,NA,W
2000,1,LONG BEACH,0.41697782,C
2000,1,LOS ANGELES,0.391126393,C
2000,1,MARCONI,0.195750987,C
2000,1,MISSION BAY,0.358375034,C
2000,1,MONTEREY,0.142432421,C
2000,1,MORRO BAY,0.239612516,C
2000,1,MOSS LANDING,0.176254976,C
2000,1,NASELLE,0.279671211,W
2000,1,NATIONAL CITY,0.350977129,C
2000,1,NEAH BAY,NA,W
2000,1,NEWPORT,0.231905399,O
2000,1,NEWPORT BEACH,0.396107386,C
2000,1,OCEANSIDE,0.357099747,C
2000,1,OXNARD,0.287644894,C
2000,1,PLAYA DEL REY,0.369618564,C
2000,1,POINT LOMA,0.339871303,C
2000,1,PORT HUENEME,0.289694379,C
2000,1,PORT ORFORD,0.196287558,O
2000,1,PRINCETON / HALF MOON BAY,0.234963006,C
2000,1,REDONDO BEACH,0.340117874,C
2000,1,REDWOOD CITY,NA,C
2000,1,SAN DIEGO,0.392186994,C
2000,1,SAN FRANCISCO,0.509543051,C
2000,1,SAN PEDRO,0.391126393,C
2000,1,SAN SIMEON,0.172887247,C
2000,1,SANTA BARBARA,0.312106625,C
2000,1,SANTA CRUZ,0.167406505,C
2000,1,SANTA MONICA,0.369618564,C
2000,1,SAUSALITO,0.509543051,C
2000,1,SEAL BEACH,0.458862291,C
2000,1,TACOMA,NA,W
2000,1,TERMINAL ISLAND,0.391126393,C
2000,1,THE DALLES,NA,W
2000,1,TOMALES BAY,0.195750987,C
2000,1,VALLEJO,NA,C
2000,1,VENTURA,0.345636962,C
2000,1,WESTPORT,0.201726119,W
2000,1,WHIDBY ISLAND,NA,W
2000,1,WILLOW CREEK,0.14466922,C
2000,1,WILMINGTON,0.391126393,C
2000,1,WINCHESTER BAY,0.255889058,O
2000,2,ABERDEEN,0.188729509,W
2000,2,ALAMEDA,NA,C
2000,2,ANACORTES,NA,W
2000,2,ASTORIA,0.175100116,O
2000,2,AVALON,0.25394067,C
2000,2,AVILA,0.312542213,C
2000,2,BELLINGHAM BAY,NA,W
2000,2,BERKELEY,NA,C
2000,2,BODEGA BAY,0.356704881,C
2000,2,BROOKINGS,0.266563967,O
2000,2,CHARLESTON (COOS BAY),0.236701664,O
2000,2,CHINOOK,0.175100116,W
2000,2,CRESCENT CITY,0.337676928,C
2000,2,DANA POINT,0.340106836,C
2000,2,DILLON BEACH,0.325029212,C
2000,2,EUREKA,0.353680492,C
2000,2,FIELDS LANDING,0.405793678,C
2000,2,FORT BRAGG,0.207177657,C
2000,2,GARIBALDI (TILLAMOOK),0.139767654,O
2000,2,GAVIOTA,0.353750866,C
2000,2,GOLETA,0.375929285,C
2000,2,GUADALUPE,0.318515331,C
2000,2,HUMBOLDT,0.353680492,C
2000,2,HUNTINGTON BEACH,0.513934886,C
2000,2,ILWACO,0.175100116,W
2000,2,LACONNER,NA,W
2000,2,LONG BEACH,0.45872829,C
2000,2,LOS ANGELES,0.42129035,C
2000,2,MARCONI,0.320859995,C
2000,2,MISSION BAY,0.398475348,C
2000,2,MONTEREY,0.245547688,C
2000,2,MORRO BAY,0.347996342,C
2000,2,MOSS LANDING,0.336442874,C
2000,2,NASELLE,0.281538707,W
2000,2,NATIONAL CITY,0.392950529,C
2000,2,NEAH BAY,NA,W
2000,2,NEWPORT,0.1590573,O
2000,2,NEWPORT BEACH,0.451145939,C
2000,2,OCEANSIDE,0.378070188,C
2000,2,OXNARD,0.412442163,C
2000,2,PLAYA DEL REY,0.314309372,C
2000,2,POINT LOMA,0.381844351,C
2000,2,PORT HUENEME,0.406254338,C
2000,2,PORT ORFORD,0.266451247,O
2000,2,PRINCETON / HALF MOON BAY,0.197787687,C
2000,2,REDONDO BEACH,0.31019345,C
2000,2,REDWOOD CITY,NA,C
2000,2,SAN DIEGO,0.44388402,C
2000,2,SAN FRANCISCO,0.595633318,C
2000,2,SAN PEDRO,0.42129035,C
2000,2,SAN SIMEON,0.280102065,C
2000,2,SANTA BARBARA,0.393943394,C
2000,2,SANTA CRUZ,0.336520287,C
2000,2,SANTA MONICA,0.314309372,C
2000,2,SAUSALITO,0.595633318,C
2000,2,SEAL BEACH,0.513934886,C
2000,2,TACOMA,NA,W
2000,2,TERMINAL ISLAND,0.42129035,C
2000,2,THE DALLES,NA,W
2000,2,TOMALES BAY,0.320859995,C
2000,2,VALLEJO,NA,C
2000,2,VENTURA,0.500110193,C
2000,2,WESTPORT,0.188729509,W
2000,2,WHIDBY ISLAND,NA,W
2000,2,WILLOW CREEK,0.257298374,C
2000,2,WILMINGTON,0.42129035,C
2000,2,WINCHESTER BAY,0.225816323,O
2000,3,ABERDEEN,0.294984154,W
2000,3,ALAMEDA,NA,C
2000,3,ANACORTES,NA,W
2000,3,ASTORIA,0.277988762,O
2000,3,AVALON,0.296053012,C
2000,3,AVILA,0.317175408,C
2000,3,BELLINGHAM BAY,NA,W
2000,3,BERKELEY,NA,C
2000,3,BODEGA BAY,0.258118537,C
2000,3,BROOKINGS,0.17620685,O
2000,3,CHARLESTON (COOS BAY),0.201046346,O
2000,3,CHINOOK,0.277988762,W
2000,3,CRESCENT CITY,0.252949774,C
2000,3,DANA POINT,0.295765107,C
2000,3,DILLON BEACH,0.298934388,C
2000,3,EUREKA,0.27244369,C
2000,3,FIELDS LANDING,0.307494185,C
2000,3,FORT BRAGG,0.190301595,C
2000,3,GARIBALDI (TILLAMOOK),0.197974058,O
2000,3,GAVIOTA,0.351830127,C
2000,3,GOLETA,0.351112654,C
2000,3,GUADALUPE,0.296898873,C
2000,3,HUMBOLDT,0.27244369,C
2000,3,HUNTINGTON BEACH,0.447057468,C
2000,3,ILWACO,0.277988762,W
2000,3,LACONNER,NA,W
2000,3,LONG BEACH,0.421638949,C
2000,3,LOS ANGELES,0.402532452,C
2000,3,MARCONI,0.317467668,C
2000,3,MISSION BAY,0.348802099,C
2000,3,MONTEREY,0.417826552,C
2000,3,MORRO BAY,0.370909468,C
2000,3,MOSS LANDING,0.480505954,C
2000,3,NASELLE,0.370781661,W
2000,3,NATIONAL CITY,0.367453057,C
2000,3,NEAH BAY,NA,W
2000,3,NEWPORT,0.239114373,O
2000,3,NEWPORT BEACH,0.380732851,C
2000,3,OCEANSIDE,0.312849551,C
2000,3,OXNARD,0.384862575,C
2000,3,PLAYA DEL REY,0.404327801,C
2000,3,POINT LOMA,0.34038955,C
2000,3,PORT HUENEME,0.373575144,C
2000,3,PORT ORFORD,0.173944033,O
2000,3,PRINCETON / HALF MOON BAY,0.455753891,C
2000,3,REDONDO BEACH,0.366187456,C
2000,3,REDWOOD CITY,NA,C
2000,3,SAN DIEGO,0.401898963,C
2000,3,SAN FRANCISCO,0.522139187,C
2000,3,SAN PEDRO,0.402532452,C
2000,3,SAN SIMEON,0.29329172,C
2000,3,SANTA BARBARA,0.374131523,C
2000,3,SANTA CRUZ,0.423938965,C
2000,3,SANTA MONICA,0.404327801,C
2000,3,SAUSALITO,0.522139187,C
2000,3,SEAL BEACH,0.447057468,C
2000,3,TACOMA,NA,W
2000,3,TERMINAL ISLAND,0.402532452,C
2000,3,THE DALLES,NA,W
2000,3,TOMALES BAY,0.317467668,C
2000,3,VALLEJO,NA,C
2000,3,VENTURA,0.46314874,C
2000,3,WESTPORT,0.294984154,W
2000,3,WHIDBY ISLAND,NA,W
2000,3,WILLOW CREEK,0.430908507,C
2000,3,WILMINGTON,0.402532452,C
2000,3,WINCHESTER BAY,0.187872658,O
2000,4,ABERDEEN,0.381997186,W
2000,4,ALAMEDA,NA,C
2000,4,ANACORTES,NA,W
2000,4,ASTORIA,0.363543466,O
2000,4,AVALON,0.31426663,C
2000,4,AVILA,0.245229691,C
2000,4,BELLINGHAM BAY,NA,W
2000,4,BERKELEY,NA,C
2000,4,BODEGA BAY,0.39763741,C
2000,4,BROOKINGS,0.198111979,O
2000,4,CHARLESTON (COOS BAY),0.200267353,O
2000,4,CHINOOK,0.363543466,W
2000,4,CRESCENT CITY,0.321421688,C
2000,4,DANA POINT,0.364998758,C
2000,4,DILLON BEACH,0.470140949,C
2000,4,EUREKA,0.328885815,C
2000,4,FIELDS LANDING,0.36863184,C
2000,4,FORT BRAGG,0.287546117,C
2000,4,GARIBALDI (TILLAMOOK),0.180249154,O
2000,4,GAVIOTA,0.389865969,C
2000,4,GOLETA,0.417218055,C
2000,4,GUADALUPE,0.29853181,C
2000,4,HUMBOLDT,0.328885815,C
2000,4,HUNTINGTON BEACH,0.529850565,C
2000,4,ILWACO,0.363543466,W
2000,4,LACONNER,NA,W
2000,4,LONG BEACH,0.486599773,C
2000,4,LOS ANGELES,0.443412485,C
2000,4,MARCONI,0.465870457,C
2000,4,MISSION BAY,0.315581929,C
2000,4,MONTEREY,0.279331577,C
2000,4,MORRO BAY,0.203295458,C
2000,4,MOSS LANDING,0.320024631,C
2000,4,NASELLE,0.507544415,W
2000,4,NATIONAL CITY,0.344477621,C
2000,4,NEAH BAY,NA,W
2000,4,NEWPORT,0.212992113,O
2000,4,NEWPORT BEACH,0.46090037,C
2000,4,OCEANSIDE,0.354294551,C
2000,4,OXNARD,0.395467683,C
2000,4,PLAYA DEL REY,0.47151463,C
2000,4,POINT LOMA,0.305484468,C
2000,4,PORT HUENEME,0.388817742,C
2000,4,PORT ORFORD,0.154807486,O
2000,4,PRINCETON / HALF MOON BAY,0.50429348,C
2000,4,REDONDO BEACH,0.368326262,C
