LANDING_YEAR,LANDING_MONTH,TAC_mt,TAC_N,TAC_S,Alloc_lat,QuotaAllocated,QuotaAllocationNumber,TAC_mt_accum,
2000,1,186791,0.33333,0.66666,35.67,1,1,186791,
2000,2,186791,0.33333,0.66666,35.67,0,1,180510.7016,
2000,3,186791,0.33333,0.66666,35.67,0,1,172151.5875,
2000,4,186791,0.33333,0.66666,35.67,0,1,162305.2107,
2000,5,186791,0.33333,0.66666,35.67,0,1,158320.7446,
2000,6,186791,0.33333,0.66666,35.67,0,1,156354.639,
2000,7,186791,0.33333,0.66666,35.67,0,1,154762.4483,
2000,8,186791,0.33333,0.66666,35.67,0,1,149656.9547,
2000,9,186791,0.33333,0.66666,35.67,0,1,140620.978,
2000,10,90000,0.5,0.5,35.67,1,2,90000,
2000,11,90000,0.5,0.5,35.67,0,2,85101.24141,
2000,12,90000,0.5,0.5,35.67,0,2,82731.93886,
2001,1,134737,0.33333,0.66666,35.67,1,3,134737,
2001,2,134737,0.33333,0.66666,35.67,0,3,125981.5723,
2001,3,134737,0.33333,0.66666,35.67,0,3,119631.4841,
2001,4,134737,0.33333,0.66666,35.67,0,3,113305.8759,
2001,5,134737,0.33333,0.66666,35.67,0,3,111186.5889,
2001,6,134737,0.33333,0.66666,35.67,0,3,107756.7624,
2001,7,134737,0.33333,0.66666,35.67,0,3,104114.7146,
2001,8,134737,0.33333,0.66666,35.67,0,3,92387.93347,
2001,9,134737,0.33333,0.66666,35.67,0,3,80553.08303,
2001,10,72306,0.5,0.5,35.67,1,4,72306,
2001,11,72306,0.5,0.5,35.67,0,4,65816.36777,
2001,12,72306,0.5,0.5,35.67,0,4,61463.74755,
2002,1,118442,0.33333,0.66666,35.67,1,5,118442,
2002,2,118442,0.33333,0.66666,35.67,0,5,114023.6057,
2002,3,118442,0.33333,0.66666,35.67,0,5,106368.0914,
2002,4,118442,0.33333,0.66666,35.67,0,5,100467.8072,
2002,5,118442,0.33333,0.66666,35.67,0,5,95711.99916,
2002,6,118442,0.33333,0.66666,35.67,0,5,93913.27249,
2002,7,118442,0.33333,0.66666,35.67,0,5,90302.69174,
2002,8,118442,0.33333,0.66666,35.67,0,5,74986.47358,
2002,9,118442,0.33333,0.66666,35.67,0,5,51689.62018,
2002,10,47290,0.5,0.5,35.67,1,6,47290,
2002,11,47290,0.5,0.5,35.67,0,6,37264.51137,
2002,12,47290,0.5,0.5,35.67,0,6,31905.39917,
2003,1,110908,0.33333,0.66666,39,1,7,110908,
2003,2,110908,0.33333,0.66666,39,0,7,100205.6187,
2003,3,110908,0.33333,0.66666,39,0,7,96638.55329,
2003,4,110908,0.33333,0.66666,39,0,7,91841.83982,
2003,5,110908,0.33333,0.66666,39,0,7,90783.9209,
2003,6,110908,0.33333,0.66666,39,0,7,88991.81754,
2003,7,110908,0.33333,0.66666,39,0,7,86924.12352,
2003,8,110908,0.33333,0.66666,39,0,7,79259.00762,
2003,9,59508,0.2,0.8,39,1,8,59508,
2003,10,59508,0.2,0.8,39,0,8,51028.08429,
2003,11,59508,0.2,0.8,39,0,8,46027.13133,
2003,12,59508,0.2,0.8,39,0,8,45197.52268,
2004,1,122747,0.33333,0.66666,39,1,9,122747,
2004,2,122747,0.33333,0.66666,39,0,9,116673.8806,
2004,3,122747,0.33333,0.66666,39,0,9,115242.3562,
2004,4,122747,0.33333,0.66666,39,0,9,112256.7028,
2004,5,122747,0.33333,0.66666,39,0,9,109666.1329,
2004,6,122747,0.33333,0.66666,39,0,9,108728.3116,
2004,7,122747,0.33333,0.66666,39,0,9,105006.1109,
2004,8,122747,0.33333,0.66666,39,0,9,91362.37259,
2004,9,68009,0.2,0.8,39,1,10,68009,
2004,10,68009,0.2,0.8,39,0,10,58424.32378,
2004,11,68009,0.2,0.8,39,0,10,47590.65239,
2004,12,68009,0.2,0.8,39,0,10,40970.9648,
2005,1,136179,0.33333,0.66666,39,1,11,136179,
2005,2,136179,0.33333,0.66666,39,0,11,134617.6484,
2005,3,136179,0.33333,0.66666,39,0,11,132700.4069,
2005,4,136179,0.33333,0.66666,39,0,11,129347.4104,
2005,5,136179,0.33333,0.66666,39,0,11,125692.8992,
