"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_sfa_nanc",-2.53729973723049,0.1867947748016,-13.5833549944073,-18.936823800278,0.317690124913951,-7.98671264307552,-11.1344340280914
"asc_laa_nanc",-2.76342942929606,0.14076558738849,-19.6314275425104,-26.7354365446549,0.268038303839554,-10.3098303104851,-14.0406403688811
"asc_laa_cmck",-2.38101239252578,0.125916224656069,-18.9094963657729,-26.8512846677286,0.242192610142953,-9.83106954056278,-13.9600146781116
"asc_laa_msqd",-1.90369169766118,0.138676362808176,-13.7275860075336,-20.9386202440116,0.244835144907594,-7.77540209098522,-11.8597830338332
"asc_laa_ytna",-2.95537517941167,0.226439789418488,-13.0514835179862,-17.4676685116575,0.410770570193964,-7.19471012252937,-9.62915911318565
"asc_mna_msqd",-2.12572297247754,0.139782816493406,-15.207326807425,-22.3612819578936,0.258837275452252,-8.21258440757185,-12.0760155855301
"asc_sba_msqd",-1.90225603041756,0.138825587993902,-13.702488553487,-20.9057715681711,0.23607813315214,-8.05773921124515,-12.2936249607972
"asc_laa_btna",-3.1496836945316,0.327247005780655,-9.62478995649773,-12.6805856775754,0.550778648498895,-5.71860166169445,-7.53421307423817
"asc_sfa_msqd",-2.11293719754907,0.146029689547327,-14.4692302236545,-21.3171527461214,0.28259164730439,-7.47699805604354,-11.0156730648023
"asc_mna_psdn",-2.57285918298081,0.130886993663886,-19.6571035131866,-27.2972820519952,0.253279627171118,-10.1581766039262,-14.1063820366687
"asc_sba_cmck",-2.4072181605801,0.131772226200792,-18.2680237708971,-25.8568763601841,0.237012541472154,-10.1565011945282,-14.3756872080139
"asc_mra_msqd",-2.45701288838967,0.153775063802015,-15.9779669579788,-22.4809719008836,0.300428384408845,-8.17836468156747,-11.5069449752295
"asc_laa_psdn",-2.60140776686057,0.13355930158014,-19.4775484453971,-26.964859236701,0.263373210063231,-9.87726795081404,-13.674161339325
"asc_mna_nanc",-2.32898218430283,0.114699690359136,-20.3050433441498,-29.0234626953172,0.223799169973169,-10.4065720376981,-14.8748638554018
"c_btna",-4.42557451634157,26.5857974446855,-0.166463861975532,-0.204077930241891,0.542933208489782,-8.15123195107499,-9.993079132944
"c_psdn",-0.451274358182622,0.109446952588147,-4.1232245166367,-13.2600709646419,0.245829098458571,-1.83572392777039,-5.90359061348957
"w_nanc",-4.69520476372631,0.26570863083882,-17.6705015147756,-21.4340224694509,0.247045308247873,-19.0054399212285,-23.0532804047913
"w_cmck",-3.74380753692828,0.194102697977785,-19.2877666098014,-24.4396785122029,0.27183390010172,-13.7724085757051,-17.4511256144033
"w_msqd",-3.72765406346983,0.0735465451737159,-50.6842850968073,-64.2811168397262,0.146283849398583,-25.4823350547264,-32.3183597020905
"w_tuna",-2.98833796737004,0.16009263807774,-18.6663047298835,-24.9126881489287,0.154367300518439,-19.3586203641171,-25.83667625187
"w_psdn",-4.05617278506599,0.252455806239887,-16.0668627332412,-20.027952061683,0.38005722628714,-10.6725316729052,-13.3037143760186
"lambda_part",0.371037133566814,0.0192747493197869,19.2499070888522,-32.6314421006509,0.0411559056807903,9.01540440987057,-15.282445035021
"lambda_cmck",0.371037132280195,0.0378550477225478,9.80152330013289,-16.6150330156676,0.0568261423712385,6.52933873033739,-11.0681957541806
"lambda_msqd",0.367029862301959,0.0181970412957595,20.1697548703969,-34.7842337339502,0.0422340842399075,8.69037103343056,-14.987187459837
"lambda_psdn",0.340841416595403,0.0647442082679232,5.26443099257527,-10.1809660051271,0.0657356728471112,5.18502970811809,-10.0274106106387
"lambda_nanc",0.259947025878694,0.0274487042268266,9.47028405168352,-26.9613081916641,0.0513548815109961,5.06177832039266,-14.410567259567
"lambda_tuna",0.369992368843079,0.0387504649007334,9.54807561124449,-16.2580663940627,0.0593996036012679,6.22886932590879,-10.6062598563111
"B_mean_avail",1.06618578421825,0.0911959703172875,11.6911501737281,0.725753385681207,0.168976167371321,6.30968142315204,0.391687095570185
"B_mean_price",0.189629703685211,0.0784111648504773,2.41840181875652,-10.3348840418337,0.115740472204178,1.63840444119396,-7.00161560499952
"B_wind_max_220_mh",-0.0409947993949797,0.00289654317666,-14.1530082221149,-359.39212223149,0.00438923259186293,-9.33985578047944,-237.170115187072
"B_d_d",-0.997584471670165,0.0733499665473463,-13.6003398314604,-27.233611216179,0.108417311682898,-9.2013393081349,-18.4249585298034
"B_d_cd",-0.961024939980397,0.238226597913354,-4.0340791011503,-8.23176319167202,0.203487709636608,-4.72276650858478,-9.63706822138019
"B_dist_port_to_catch_area_zero",-0.00423755955282918,0.000481088288541262,-8.80827834258479,-2087.42882226013,0.000964941077200761,-4.39152156846934,-1040.72422998725
"B_dummy_prev_days",1.2101286010568,0.0588122001998896,20.5761491143647,3.5728743414227,0.140400789916193,8.61910108753049,1.49663403733147
"B_dummy_prev_year_days",0.14934380258689,0.0144122870005373,10.3622556629161,-59.0229848587806,0.035231453582518,4.23893389005655,-24.1447942367955
"B_unem_rate_part",0.186419189906069,0.0101177712747373,18.4249262850537,-80.411069592503,0.0136096542578764,13.6975698554709,-59.7796824723216
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00152356747733147,8.86441728233631e-05,-17.187452133683,-11298.2448318743,0.000221721946497874,-6.87152310087662,-4517.02496435973
