LANDING_YEAR,PORT_NAME,AGENCY_CODE,SDM_90_JS_CPUE
2000,ABERDEEN,W,NA
2000,ALAMEDA,C,1.7316870395349064
2000,ANACORTES,W,NA
2000,ASTORIA,O,NA
2000,AVALON,C,3.0554817334877957
2000,AVILA,C,2.473722619091424
2000,BELLINGHAM BAY,W,NA
2000,BERKELEY,C,1.7849601485788056
2000,BODEGA BAY,C,0.6881563323575837
2000,CATALINA ISLAND,C,3.0640600446756228
2000,CHARLESTON (COOS BAY),O,0.9684768629180429
2000,CRESCENT CITY,C,1.1400001049116995
2000,DANA POINT,C,3.1774701085704233
2000,DILLON BEACH,C,0.7936378905142776
2000,EUREKA,C,0.653924625364865
2000,FORT BRAGG,C,0.14683126867176538
2000,GARIBALDI (TILLAMOOK),O,NA
2000,GAVIOTA,C,2.5608013793007736
2000,GOLETA,C,2.729575391082292
2000,GUADALUPE,C,2.547076750949865
2000,HUMBOLDT,C,0.8236031009899503
2000,HUNTINGTON BEACH,C,3.268288543700682
2000,ILWACO,W,NA
2000,LACONNER,W,NA
2000,LONG BEACH,C,3.2745626970254276
2000,LOS ANGELES,C,3.4292499587247143
2000,MISSION BAY,C,2.7628184463302308
2000,MONTEREY,C,1.224719826501562
2000,MORRO BAY,C,2.4737960835927635
2000,MOSS LANDING,C,1.487534080218286
2000,"NASELLE",W,NA
2000,"NATIONAL CITY",C,2.819748188798431
2000,NEAH BAY,W,NA
2000,NEWPORT,O,NA
2000,NEWPORT BEACH,C,3.2515768169407253
2000,OCEANSIDE,C,3.00197361013267
2000,OXNARD,C,3.2545562742512337
2000,PLAYA DEL REY,C,3.2745626970254276
2000,POINT LOMA,C,2.743476672251116
2000,PORT HUENEME,C,3.206936845444247
2000,PRINCETON / HALF MOON BAY,C,1.3517697740285899
2000,REDONDO BEACH,C,3.2690809877911
2000,SAN DIEGO,C,2.685264485094505
2000,SAN FRANCISCO,C,1.4831871271027874
2000,SAN PEDRO,C,3.247166674507139
2000,SAN SIMEON,C,1.9556175512456362
2000,SANTA BARBARA,C,3.0661720973181845
2000,SANTA CRUZ,C,1.4000318431817462
2000,SANTA MONICA,C,3.3520779164913916
2000,SEAL BEACH,C,3.299949197634184
2000,TACOMA,W,NA
2000,TERMINAL ISLAND,C,3.2638607417029313
2000,VALLEJO,C,1.8341704699734478
2000,VENTURA,C,3.285328741881313
2000,WESTPORT,W,NA
2000,WILLOW CREEK,C,1.3836261562154102
2000,WILMINGTON,C,3.2745626970254276
2000,WINCHESTER BAY,O,2.2558142658119613
2001,ABERDEEN,W,NA
2001,ALAMEDA,C,1.9041875059673106
2001,ANACORTES,W,NA
2001,ASTORIA,O,NA
2001,AVALON,C,3.2437133528061066
2001,AVILA,C,2.8174645766682
2001,BELLINGHAM BAY,W,NA
2001,BERKELEY,C,1.9706915701512475
2001,BODEGA BAY,C,0.7281081880414849
2001,CATALINA ISLAND,C,3.251645841720244
2001,CHARLESTON (COOS BAY),O,1.3620633590457578
2001,CRESCENT CITY,C,1.42594709703584
2001,DANA POINT,C,3.3451112321508387
2001,DILLON BEACH,C,0.8462197007000786
2001,EUREKA,C,0.7679923215943614
2001,FORT BRAGG,C,0.10155020798215426
2001,GARIBALDI (TILLAMOOK),O,NA
2001,GAVIOTA,C,2.7766915371442913
2001,GOLETA,C,2.9521395767325505
2001,GUADALUPE,C,2.8462821579988984
2001,HUMBOLDT,C,0.9673333388543892
2001,HUNTINGTON BEACH,C,3.435874136281255
2001,ILWACO,W,NA
2001,LACONNER,W,NA
2001,LONG BEACH,C,3.442791266250748
2001,LOS ANGELES,C,3.578909009790119
2001,MISSION BAY,C,2.9015597389099574
2001,MONTEREY,C,1.4470856657324933
2001,MORRO BAY,C,2.8294220856703225
