LANDING_YEAR,PORT_NAME,SDM_90_JS_prob,AGENCY_CODE
2000,ABERDEEN,NA,W
2000,ALAMEDA,0.643833735,C
2000,ANACORTES,NA,W
2000,ASTORIA,NA,O
2000,AVALON,0.967068671,C
2000,AVILA,0.751597707,C
2000,BELLINGHAM BAY,NA,W
2000,BERKELEY,0.663629473,C
2000,BODEGA BAY,0.332237125,C
2000,CATALINA ISLAND,0.967329524,C
2000,CHARLESTON (COOS BAY),0.303769596,O
2000,CHINOOK,NA,W
2000,CRESCENT CITY,0.3332766,C
2000,DANA POINT,0.98214379,C
2000,DILLON BEACH,0.368102975,C
2000,EMERYVILLE,0.644767639,C
2000,EUREKA,0.253892717,C
2000,FIELDS LANDING,0.22103556,C
2000,FORT BRAGG,0.150736158,C
2000,GARIBALDI (TILLAMOOK),NA,O
2000,GAVIOTA,0.808141526,C
2000,GOLETA,0.889708355,C
2000,GUADALUPE,0.778074553,C
2000,HUMBOLDT,0.336389108,C
2000,HUNTINGTON BEACH,0.976937306,C
2000,ILWACO,NA,W
2000,LACONNER,NA,W
2000,LONG BEACH,0.974037457,C
2000,LOS ANGELES,0.97599928,C
2000,MISSION BAY,0.993024234,C
2000,MONTEREY,0.489724878,C
2000,MORRO BAY,0.746722104,C
2000,MOSS LANDING,0.531516532,C
2000,NASELLE,NA,W
2000,NATIONAL CITY,0.993780759,C
2000,NEAH BAY,NA,W
2000,NEWPORT,NA,O
2000,NEWPORT BEACH,0.980965155,C
2000,OCEANSIDE,0.988854839,C
2000,OXNARD,0.968713751,C
2000,PLAYA DEL REY,0.974037457,C
2000,POINT LOMA,0.993509393,C
2000,PORT HUENEME,0.966648029,C
2000,PORT ORFORD,0.231933042,O
2000,PRINCETON / HALF MOON BAY,0.485395657,C
2000,REDONDO BEACH,0.973002782,C
2000,RICHMOND,0.609570811,C
2000,SAN DIEGO,0.995458254,C
2000,SAN FRANCISCO,0.574565825,C
2000,SAN PEDRO,0.973724872,C
2000,SAN SIMEON,0.638827079,C
2000,SANTA BARBARA,0.949633866,C
2000,SANTA CRUZ,0.496162723,C
2000,SANTA MONICA,0.974807136,C
2000,SAUSALITO,0.454323784,C
2000,SEAL BEACH,0.97594383,C
2000,SHELTER COVE,0.180442489,C
2000,SOUTH SAN FRANCISCO,0.533405793,C
2000,TACOMA,NA,W
2000,TERMINAL ISLAND,0.974306945,C
2000,THE DALLES,NA,W
2000,VALLEJO,0.695842277,C
2000,VENTURA,0.970497156,C
2000,WESTPORT,NA,W
2000,WHIDBY ISLAND,NA,W
2000,WILLOW CREEK,0.502825023,C
2000,WILMINGTON,0.974037457,C
2000,WINCHESTER BAY,0.589195013,O
2001,ABERDEEN,NA,W
2001,ALAMEDA,0.601881924,C
2001,ANACORTES,NA,W
