LANDING_YEAR,LANDING_MONTH,PORT_NAME,SDM_60,AGENCY_CODE
2000,1,ABERDEEN,0.040791231,W
2000,1,ALAMEDA,0.249256296,C
2000,1,ANACORTES,NA,W
2000,1,ASTORIA,0.047976582,O
2000,1,AVALON,0.321918157,C
2000,1,AVILA,0.329172092,C
2000,1,BELLINGHAM BAY,NA,W
2000,1,BERKELEY,0.257877391,C
2000,1,BIG CREEK,NA,C
2000,1,BLAINE,NA,W
2000,1,BODEGA BAY,0.227420177,C
2000,1,BOLINAS,0.243905154,C
2000,1,BROOKINGS,0.15466924,O
2000,1,CATALINA ISLAND,0.323412358,C
2000,1,CHARLESTON (COOS BAY),0.116879051,O
2000,1,CHINOOK,0.050841203,W
2000,1,CRESCENT CITY,0.161891897,C
2000,1,DANA POINT,0.316587014,C
2000,1,DILLON BEACH,0.228783994,C
2000,1,EMERYVILLE,0.253574978,C
2000,1,EUREKA,0.181729231,C
2000,1,FIELDS LANDING,0.182573554,C
2000,1,FORT BRAGG,0.196467257,C
2000,1,GARIBALDI (TILLAMOOK),0.066584966,O
2000,1,GAVIOTA,0.356139571,C
2000,1,GOLETA,0.361764694,C
2000,1,GUADALUPE,0.330205517,C
2000,1,HUMBOLDT,0.179376386,C
2000,1,HUNTINGTON BEACH,0.310578122,C
2000,1,ILWACO,0.052837674,W
2000,1,LACONNER,NA,W
2000,1,LONG BEACH,0.319854859,C
2000,1,LOS ANGELES,0.330721089,C
2000,1,MARCONI,0.237768406,C
2000,1,MILL CREEK,NA,C
2000,1,MISSION BAY,0.323471937,C
2000,1,MONTEREY,0.224474626,C
2000,1,MORRO BAY,0.330046209,C
2000,1,MOSS LANDING,0.218427577,C
2000,1,NASELLE,0.046119115,W
2000,1,NATIONAL CITY,0.31029184,C
2000,1,NEAH BAY,0.047409667,W
2000,1,NEWPORT,0.088698772,O
2000,1,NEWPORT BEACH,0.314675897,C
2000,1,OCEANSIDE,0.316919019,C
2000,1,OXNARD,0.363095733,C
2000,1,PINOLE,0.262578454,C
2000,1,PLAYA DEL REY,0.319854859,C
2000,1,POINT ARENA,0.2229411,C
2000,1,POINT LOMA,0.326646895,C
2000,1,PORT HUENEME,0.365826646,C
2000,1,PORT ORFORD,0.133851464,O
2000,1,PRINCETON / HALF MOON BAY,0.241406213,C
2000,1,REDONDO BEACH,0.324658129,C
2000,1,RICHMOND,0.253702877,C
2000,1,SAN DIEGO,0.316831634,C
2000,1,SAN FRANCISCO,0.246353727,C
2000,1,SAN PEDRO,0.318788975,C
2000,1,SAN SIMEON,0.314045118,C
2000,1,SANTA BARBARA,0.36562829,C
2000,1,SANTA CRUZ,0.215730332,C
2000,1,SANTA MONICA,0.333271101,C
2000,1,SAUSALITO,0.241414794,C
2000,1,SEAL BEACH,0.314500293,C
2000,1,SHELTER COVE,0.187377837,C
2000,1,SOUTH SAN FRANCISCO,0.242846383,C
2000,1,TACOMA,NA,W
2000,1,TERMINAL ISLAND,0.318760323,C
2000,1,THE DALLES,NA,W
2000,1,TRINIDAD,0.182128618,C
2000,1,VALLEJO,0.260624056,C
2000,1,VENTURA,0.360695898,C
2000,1,WESTPORT,0.051048924,W
2000,1,WHIDBY ISLAND,NA,W
2000,1,WILLOW CREEK,0.174957969,C
2000,1,WILMINGTON,0.319854859,C
2000,1,WINCHESTER BAY,0.11276547,O
2000,2,ABERDEEN,0.031112594,W
2000,2,ALAMEDA,0.291715492,C
2000,2,ANACORTES,NA,W
2000,2,ASTORIA,0.046387011,O
2000,2,AVALON,0.28825588,C
2000,2,AVILA,0.360533451,C
2000,2,BELLINGHAM BAY,NA,W
2000,2,BERKELEY,0.299409661,C
2000,2,BIG CREEK,NA,C
2000,2,BLAINE,NA,W
2000,2,BODEGA BAY,0.297220963,C
2000,2,BOLINAS,0.295932792,C
2000,2,BROOKINGS,0.161970178,O
2000,2,CATALINA ISLAND,0.290378277,C
2000,2,CHARLESTON (COOS BAY),0.119143251,O
2000,2,CHINOOK,0.047741057,W
2000,2,CRESCENT CITY,0.171764379,C
2000,2,DANA POINT,0.305054849,C
2000,2,DILLON BEACH,0.299160542,C
2000,2,EMERYVILLE,0.294926154,C
2000,2,EUREKA,0.195600672,C
2000,2,FIELDS LANDING,0.193693922,C
2000,2,FORT BRAGG,0.202449295,C
2000,2,GARIBALDI (TILLAMOOK),0.056414275,O
2000,2,GAVIOTA,0.380014424,C
2000,2,GOLETA,0.368950477,C
2000,2,GUADALUPE,0.361374594,C
2000,2,HUMBOLDT,0.212096121,C
2000,2,HUNTINGTON BEACH,0.306346056,C
2000,2,ILWACO,0.048980407,W
2000,2,LACONNER,NA,W
2000,2,LONG BEACH,0.311125505,C
2000,2,LOS ANGELES,0.34348185,C
2000,2,MARCONI,0.302134507,C
2000,2,MILL CREEK,NA,C
2000,2,MISSION BAY,0.306895706,C
2000,2,MONTEREY,0.329220295,C
2000,2,MORRO BAY,0.356031535,C
2000,2,MOSS LANDING,0.321247558,C
2000,2,NASELLE,0.043089154,W
2000,2,NATIONAL CITY,0.323778609,C
2000,2,NEAH BAY,0.028105997,W
2000,2,NEWPORT,0.074619321,O
2000,2,NEWPORT BEACH,0.317933084,C
2000,2,OCEANSIDE,0.300045462,C
2000,2,OXNARD,0.362153017,C
2000,2,PINOLE,0.314154845,C
2000,2,PLAYA DEL REY,0.311125505,C
2000,2,POINT ARENA,0.266429563,C
2000,2,POINT LOMA,0.30879548,C
2000,2,PORT HUENEME,0.361100251,C
2000,2,PORT ORFORD,0.134253604,O
2000,2,PRINCETON / HALF MOON BAY,0.307349379,C
2000,2,REDONDO BEACH,0.314660977,C
2000,2,RICHMOND,0.297408856,C
2000,2,SAN DIEGO,0.3122743,C
2000,2,SAN FRANCISCO,0.291292154,C
2000,2,SAN PEDRO,0.307437519,C
2000,2,SAN SIMEON,0.348285025,C
2000,2,SANTA BARBARA,0.378317238,C
2000,2,SANTA CRUZ,0.315575956,C
2000,2,SANTA MONICA,0.330000194,C
2000,2,SAUSALITO,0.300154985,C
2000,2,SEAL BEACH,0.310875395,C
2000,2,SHELTER COVE,0.185631942,C
2000,2,SOUTH SAN FRANCISCO,0.298688295,C
2000,2,TACOMA,NA,W
2000,2,TERMINAL ISLAND,0.308587189,C
2000,2,THE DALLES,NA,W
2000,2,TRINIDAD,0.191834104,C
2000,2,VALLEJO,0.335776594,C
2000,2,VENTURA,0.368214344,C
2000,2,WESTPORT,0.042641154,W
