selection,set_year,perc,perc3
BDA-DCRB,2016,.0016632017,.0016632017
BDA-DCRB,2017,.00075987843,.0010131713
BDA-MSQD,2014,.0012039904,0
BDA-MSQD,2015,.002232143,0
CBA-MSQD,2016,.0016632017,0
ERA-MSQD,2014,.0082559343,0
LAA-BTNA,2014,.0015479876,.0001843318
LAA-BTNA,2015,.00089285715,.0075679393
LAA-BTNA,2016,.0079002082,.0093750004
LAA-BTNA,2017,.0060790274,.037006237
LAA-CMCK,2013,.028202765,.16276498
LAA-CMCK,2014,.017715858,.074819401
LAA-CMCK,2015,.027232142,.049553573
LAA-CMCK,2016,.01995842,.14885655
LAA-CMCK,2017,.013171226,.12462006
LAA-JMCK,2013,.001843318,.012718894
LAA-JMCK,2014,.0015479876,.0091159269
LAA-JMCK,2015,.005357143,.0062500001
LAA-JMCK,2016,.0016632017,.01039501
LAA-JMCK,2017,.0015197569,.0043059778
LAA-MSQD,2013,.14193548,0
LAA-MSQD,2014,.067939453,0
LAA-MSQD,2015,.0080357147,0
LAA-MSQD,2016,.15135135,0
LAA-MSQD,2017,.12943262,0
LAA-NANC,2014,.00034399724,.00718894
LAA-NANC,2016,.04074844,.0053319572
LAA-NANC,2017,.001266464,.064033262
LAA-PBNT,2015,.00044642857,.00068799447
LAA-PBNT,2016,.0020790021,.0017857143
LAA-PBNT,2017,.005572442,.012474013
LAA-PSDN,2013,.018617511,.080552995
LAA-PSDN,2014,.0039559682,.034055728
LAA-PSDN,2015,.0062500001,.0080357147
LAA-PSDN,2016,.00041580043,.007068607
LAA-RHRG,2016,.00041580043,0
LAA-STNA,2015,.00089285715,.0001843318
LAA-STNA,2017,.00025329282,.00017199862
LAA-YTNA,2014,.0032679739,.019951841
LAA-YTNA,2015,.010267857,.040624999
LAA-YTNA,2016,.007068607,.054054055
LAA-YTNA,2017,.014690983,.057244174
MNA-ALBC,2014,.00017199862,.00034399724
MNA-CMCK,2014,.0010319918,.0049879602
MNA-CMCK,2015,.0035714286,.0084821433
MNA-JMCK,2014,.00034399724,.00068799447
MNA-JMCK,2015,.013839286,.037500001
MNA-LSKT,2017,.00025329282,.00041580043
MNA-MSQD,2013,.052165899,0
MNA-MSQD,2014,.19418645,0
MNA-MSQD,2015,.15892857,0
MNA-MSQD,2016,.1035343,0
MNA-MSQD,2017,.092705168,0
MNA-NANC,2013,.017511521,.07281106
MNA-NANC,2014,.038527694,.23563811
MNA-NANC,2015,.16071428,.38348213
MNA-NANC,2016,.022869023,.086070687
MNA-NANC,2017,.024062816,.2464539
MNA-PSDN,2013,.0020276497,.024700461
MNA-PSDN,2014,.020123839,.027003784
MNA-PSDN,2015,.014732143,.0125
MNA-PSDN,2016,.0041580042,.00083160086
MNA-UDAB,2017,.00025329282,.0001843318
MRA-MSQD,2013,.0075576035,0
MRA-MSQD,2014,.0063639493,0
MRA-MSQD,2016,.0091476096,0
MRA-MSQD,2017,.005065856,0
NPA-MSQD,2016,.007068607,0
No-Participation,2013,.52811062,.62046081
No-Participation,2014,.45321637,.56363946
No-Participation,2015,.39241073,.40267858
No-Participation,2016,.27941787,.5130977
No-Participation,2017,.39513677,.45314083
SBA-CMCK,2014,.0008599931,.0064516128
SBA-CMCK,2015,.016964287,.0091159269
SBA-CMCK,2016,.0029106028,.033482142
SBA-CMCK,2017,.001266464,.036590438
SBA-JMCK,2015,.00044642857,.00044642857
SBA-JMCK,2016,.00041580043,.0066528069
SBA-MSQD,2013,.17474654,0
SBA-MSQD,2014,.14293085,0
SBA-MSQD,2015,.12678571,0
SBA-MSQD,2016,.25945947,0
SBA-MSQD,2017,.27659574,0
SBA-PBNT,2013,.0001843318,.0001843318
SBA-PBNT,2017,.00075987843,.0015479876
SBA-PSDN,2013,.00073732721,.0016589862
SBA-PSDN,2014,.0005159959,.0016589862
SBA-PSDN,2015,.00089285715,.0016589862
SBA-UMCK,2015,.00044642857,.00073732721
SDA-BTNA,2015,.0017857143,.0016589862
SDA-BTNA,2016,.00083160086,.00068799447
SFA-CHNK,2017,.00025329282,.0001843318
SFA-DCRB,2013,.0022119815,.007373272
SFA-DCRB,2014,.0022359821,.0046439627
SFA-DCRB,2015,.00089285715,.00089285715
SFA-DCRB,2016,.007068607,.0016632017
SFA-DCRB,2017,.00075987843,.0091185411
SFA-MSQD,2013,.024147466,0
SFA-MSQD,2014,.033711731,0
SFA-MSQD,2015,.045982141,0
SFA-MSQD,2016,.062370062,0
SFA-MSQD,2017,.020516718,0
SFA-NANC,2016,.0058212057,.00044642857
SFA-NANC,2017,.0096251266,.017879417
LAA-BTNA,2017,.0060790274,.020263424
LAA-NANC,2017,.001266464,.0075987843
LAA-PBNT,2017,.005572442,.016970618
LAA-STNA,2017,.00025329282,.00089285715
LAA-STNA,2017,.00025329282,.00041580043
LAA-STNA,2017,.00025329282,.0017730496
MNA-LSKT,2017,.00025329282,.00075987843
MNA-PSDN,2016,.0041580042,.00025329282
MNA-UDAB,2017,.00025329282,.00050658564
SBA-CMCK,2017,.001266464,.027608916
SBA-PBNT,2017,.00075987843,.0035460992
SBA-UMCK,2015,.00044642857,.00089285715
SDA-BTNA,2016,.00083160086,.0026785715
SDA-BTNA,2016,.00083160086,.00083160086
SDA-BTNA,2016,.00083160086,.00050658564
SFA-CHNK,2017,.00025329282,.00025329282
SFA-NANC,2017,.0096251266,.024062816
