"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",1.1607814256407,NA,NA,NA,NA,NA,NA
"B_mean_price",1.48511480187078,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0169947660629052,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00308293455927248,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.0058769462288535,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",2.1010490025212,NA,NA,NA,NA,NA,NA
"B_dummy_prev_year_days",0.146591650053813,NA,NA,NA,NA,NA,NA
"c_msqd",-4.99993090328322,NA,NA,NA,NA,NA,NA
"c_psdn",-1.05406711711819,NA,NA,NA,NA,NA,NA
"B_d_d",-0.484512105677098,NA,NA,NA,NA,NA,NA
"B_unem_rate_part",0.159718249196925,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_cmck",-1.34940710953278,NA,NA,NA,NA,NA,NA
"w_jmck",-1.1008946177187,NA,NA,NA,NA,NA,NA
"w_msqd",-2.21268973057096,NA,NA,NA,NA,NA,NA
"w_psdn",-1.45626059434692,NA,NA,NA,NA,NA,NA
"w_nanc",-1.1533308095963,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-4.2698523060009,NA,NA,NA,NA,NA,NA
"asc_mna_cmck",-5.36723983213252,NA,NA,NA,NA,NA,NA
"asc_laa_jmck",-4.4275700616041,NA,NA,NA,NA,NA,NA
"asc_mna_jmck",-5.55442091145432,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-4.50805151065103,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-4.91014290157365,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-4.51594394757756,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-4.70837552584245,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-4.46934954511806,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-4.06854040559975,NA,NA,NA,NA,NA,NA
"asc_mna_psdn",-4.67682106050659,NA,NA,NA,NA,NA,NA
"asc_mna_nanc",-4.83603084910139,NA,NA,NA,NA,NA,NA
"asc_sba_nanc",-4.53517958412004,NA,NA,NA,NA,NA,NA
"asc_sda_nanc",-4.89197569090882,NA,NA,NA,NA,NA,NA
"lambda_part",0.492845548429514,NA,NA,NA,NA,NA,NA
"lambda_laa",0.49284554850955,NA,NA,NA,NA,NA,NA
"lambda_sba",0.279732865733237,NA,NA,NA,NA,NA,NA
"lambda_mna",0.480380112486171,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
