"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_sfa_nanc",-2.72558811490155,0.196335357046519,-13.8823091057194,-18.9756352138796,0.184941436825825,-14.7375740217075,-20.1446910916467
"asc_laa_nanc",-2.81270800385609,0.140543305897898,-20.0131054687121,-27.1283500804084,0.140101947710625,-20.0761520436934,-27.2138115576458
"asc_laa_cmck",-2.46198082739809,0.129089644609695,-19.0718692800025,-26.8184240328916,0.124116976918594,-19.8359715851994,-27.892887124287
"asc_laa_msqd",-2.06025549204747,0.146523332097957,-14.0609380263759,-20.8857896433966,0.136526470664075,-15.0905204098974,-22.4151073206696
"asc_laa_ytna",-3.33799631853145,0.256773197432874,-12.9997848369827,-16.8942723068497,0.25320632854112,-13.1829103078258,-17.132258674281
"asc_mna_msqd",-2.27296847260442,0.147109365685826,-15.4508753539096,-22.2485390875406,0.138142401626927,-16.4538074178187,-23.6927144313267
"asc_sba_msqd",-2.06047332013783,0.146617860349599,-14.053358269073,-20.8738097312317,0.137827975859842,-14.9496015397711,-22.2050226091257
"asc_laa_btna",-3.89455115038404,0.394954703082427,-9.86075395479275,-12.3926898760402,0.384930137483404,-10.1175532158792,-12.7154272263108
"asc_sfa_msqd",-2.27722124507972,0.153804608586721,-14.8059363500524,-21.3076921113965,0.146586290392526,-15.5350219927239,-22.3569423600531
"asc_mna_psdn",-2.62963507176827,0.131810121911752,-19.9501755527458,-27.5368463295887,0.129410090109532,-20.3201703170329,-28.0475430369932
"asc_sba_cmck",-2.50958346114211,0.139280213126116,-18.0182339243674,-25.1980046725247,0.135511600015354,-18.5193257319504,-25.8987677862594
"asc_mra_msqd",-2.60389774389575,0.16098753423407,-16.1745302596521,-22.3861913348882,0.150985093636698,-17.2460584099864,-23.8692287900122
"asc_laa_psdn",-2.66505822017705,0.135101912469512,-19.7262804905035,-27.1281002110472,0.133691968125918,-19.9343181010468,-27.4141990095105
"asc_mna_nanc",-2.38906766303275,0.116110536581198,-20.5758041722771,-29.1882869791298,0.113162758062472,-21.1117836286198,-29.9486131396852
"c_btna",-4.41046324990458,9.05744349218373,-0.486943501630528,-0.597349931531302,8.16762930165008,-0.539993073511986,-0.662427621294165
"c_psdn",-0.410773759988313,0.104787509574963,-3.92006415320382,-13.4631862681981,0.106027581517444,-3.87421606820986,-13.3057242256932
"w_nanc",-4.65412232823812,0.254438202655858,-18.2917591763257,-22.2219865932854,0.315809180240368,-14.7371343818941,-17.9036034479259
"w_cmck",-3.72995250712871,0.18529692928435,-20.1295969746204,-25.5263404817157,0.194171510284152,-19.2095766349568,-24.3596627548855
"w_msqd",-3.73582367525521,0.0737144802862009,-50.6796447692591,-64.2455004344885,0.0741568277499036,-50.3773393308355,-63.8622743036816
"w_tuna",-3.05343987632508,0.154507082555481,-19.7624589489523,-26.2346541613686,0.134552924805788,-22.6932255893536,-30.1252453796584
"w_psdn",-4.02020381266967,0.237252273339594,-16.9448484352995,-21.1597711668033,0.315269114019918,-12.7516576597341,-15.9235509900044
"lambda_part",0.352300929302043,0.0174909133849292,20.1419400776176,-37.030603059074,0.0173320567584481,20.326550634582,-37.3700063255478
"lambda_cmck",0.461248205343803,0.0519701161425423,8.87525831342582,-10.3665689947377,0.0526353687471548,8.76308490512353,-10.2355470756594
"lambda_msqd",0.361453502353491,0.0175000391323783,20.6544396626368,-36.4882897013116,0.017752490987311,20.3607202286061,-35.9694027222955
"lambda_psdn",0.358386648013967,0.067240677170752,5.32990836936211,-9.5420417964666,0.0665236762918637,5.38735481847987,-9.64488717026162
"lambda_nanc",0.246703673887691,0.0256341320264893,9.62403071158242,-29.3864572958383,0.0271793389138092,9.07688279946892,-27.7157707367774
"lambda_tuna",0.999995132124879,0.155010287412916,6.45115333191465,-3.14035616719042e-05,0.144096939323568,6.93973887869613,-3.37819466770237e-05
"B_mean_avail",1.1328183368504,0.0923295356851113,12.2692952850306,1.43852490825229,0.0923274108887943,12.2695776470419,1.43855801404825
"B_mean_price",0.299528521752833,0.0843687230768891,3.5502317781894,-8.30250183600378,0.0737843093158849,4.05951515342502,-9.49350186702044
"B_wind_max_220_mh",-0.0414361181264713,0.00289247964632498,-14.3254657570772,-360.049592552763,0.00307650691755133,-13.4685600380354,-338.512522817721
"B_d_d",-0.998830506043144,0.0738774711671845,-13.5200960490756,-27.0560222820811,0.076712028116128,-13.0205201266625,-26.0562855021546
"B_d_cd",-1.19900301833536,0.273111333227413,-4.39016207846996,-8.05167252617931,0.264246037599094,-4.53744937570058,-8.32180129668253
"B_dist_port_to_catch_area_zero",-0.00393307590325415,0.000467419879069207,-8.41443866505262,-2147.81852646582,0.000469127917104123,-8.3838027110657,-2139.99857885335
"B_dummy_prev_days",1.19117373574018,0.0564673229056201,21.0949213535608,3.38556400238253,0.0579501225995232,20.5551547142021,3.29893582902878
"B_dummy_prev_year_days",0.1492462548789,0.0142487886191964,10.4743118076599,-59.7070928524364,0.0144329973383654,10.3406278945384,-58.9450496786035
"B_unem_rate_part",0.194141190983933,0.0103443166189204,18.767908807899,-77.9035328000403,0.0101661473557666,19.0968303124004,-79.2688499207084
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00149283549167047,8.5807164921049e-05,-17.3975622320586,-11671.4360206766,7.98970353901337e-05,-18.6844916633141,-12534.7934451063
