"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_sfa_nanc",-2.57784970846837,0.131727053418248,-19.5696300917276,-27.1610851045782,0.259972518724808,-9.91585464922596,-13.7624150660927
"asc_laa_nanc",-2.81993970337019,0.133247757786229,-21.1631306238883,-28.6679473398611,0.247347841496988,-11.4007047173061,-15.4435942527386
"asc_laa_cmck",-2.4382540899117,0.108753996101633,-22.4199034271173,-31.6149678463179,0.228058452447247,-10.6913559385645,-15.0761967075393
"asc_laa_msqd",-1.97062654020769,0.0916030902189654,-21.5126644253722,-32.4293267083763,0.179092615628496,-11.0033935977321,-16.5870967364163
"asc_laa_ytna",-2.95568912248487,0.140784624016538,-20.9944029266837,-28.0974513382952,0.277786847823912,-10.640133417542,-14.2400158735822
"asc_mna_msqd",-2.13770037959511,0.0953316542163988,-22.4238255086041,-32.9135207543201,0.194985963765829,-10.9633551990563,-16.0919294855673
"asc_sba_msqd",-1.95947094101739,0.0913784781294511,-21.4434621929413,-32.3869580846473,0.17960498734688,-10.9098915902205,-16.4776657081444
"asc_laa_btna",-2.91709717057696,0.145193890662668,-20.09104623661,-26.978388365373,0.269180983498208,-10.83693629716,-14.5519089783809
"asc_sfa_msqd",-2.15916892295508,0.101073413458507,-21.3623825403054,-31.2561811742114,0.22377980564638,-9.64863168380361,-14.1173101559809
"asc_mna_psdn",-2.58956911763706,0.117749054305766,-21.9922710454435,-30.4849082551083,0.242832637660271,-10.6640076992448,-14.7820702860336
"asc_sba_cmck",-2.49595812727813,0.122462455625244,-20.3814149776336,-28.5471829666422,0.230930477753317,-10.8082664166328,-15.1385740041319
"asc_mra_msqd",-2.49077000786787,0.11130790452133,-22.3772967299959,-31.3613846463071,0.242385198297143,-10.2760813175333,-14.4017457847755
"asc_laa_psdn",-2.67327964533911,0.122118088957157,-21.8909390751848,-30.0797341057952,0.242568882142961,-11.0207031574791,-15.1432434897986
"asc_mna_nanc",-2.34747083042369,0.104568844130602,-22.4490463669255,-32.0121242446062,0.213059945304898,-11.0178890127112,-15.711403781848
"c_btna",-4.49571486818238,32.9761497453197,-0.136332316019412,-0.166657263222866,0.597321980822759,-7.52645141568359,-9.20059037608579
"c_psdn",-0.631147026371286,0.110523640945519,-5.7105160576677,-14.7583540717351,0.249260868574156,-2.53207424808246,-6.54393541875192
"w_nanc",-4.71080246828904,0.263058820063345,-17.9077913721147,-21.7092225492149,0.241915791607869,-19.4729018596891,-23.6065716517833
"w_cmck",-3.74692514265897,0.191506735672268,-19.565500552791,-24.7872490019491,0.266662717764395,-14.0511773601944,-17.8012328924549
"w_msqd",-3.73565924060222,0.0736375899894273,-50.7303300004601,-64.3103507499656,0.146703605246231,-25.4639907065146,-32.2804557710341
"w_tuna",-3.02444845597338,0.149235554906823,-20.2662727247654,-26.9670887643772,0.150658642238307,-20.0748421135337,-26.7123637660801
"w_psdn",-4.03084225893085,0.242437051418995,-16.6263458301367,-20.7511278886008,0.349477955895939,-11.5338956032211,-14.3953064107678
"lambda_part",0.368139070787662,0.0196440190051204,18.7405169324924,-32.1655629149838,0.0414712391979907,8.87697300363039,-15.2361236710513
"lambda_cmck",0.368138842932153,0.0376489666510414,9.77819248916811,-16.7829614800429,0.057978502546825,6.34957487277004,-10.8981972509128
"lambda_msqd",0.368138407887318,0.0179278814559059,20.5344066331967,-35.2446324272482,0.0391370193909026,9.40639868893265,-16.1448572718738
"lambda_psdn",0.306019663648576,0.0671418961831095,4.5578049034242,-10.3360252808291,0.0798163769327671,3.834046036772,-8.6947110733427
"lambda_nanc",0.256312423674045,0.0258246226844656,9.92511785383122,-28.7976163451677,0.0525059745012532,4.88158587872562,-14.1638657960382
"lambda_tuna",0.368132721449032,0.039729182389332,9.26605329657834,-15.9043614932442,0.0626735737128225,5.87381091647747,-10.0818772748823
"B_mean_avail",1.03510803088404,0.0824707138845405,12.5512194829936,0.425703006926642,0.136475925119859,7.58454672481579,0.257247062829596
"B_mean_price",0.0940098671158096,0.0144662219327336,6.49857769035656,-62.6279713595537,0.016844516905556,5.58103670428217,-53.7854625314519
"B_wind_max_220_mh",-0.0417032781149233,0.00290126583222205,-14.3741664937277,-359.051303243417,0.00426098032674345,-9.78724962731662,-244.475026457366
"B_d_d",-0.780397751771742,0.0678072223882335,-11.5090653220322,-26.2567568625358,0.0884432399632217,-8.82371283657477,-20.1303994800745
"B_dist_port_to_catch_area_zero",-0.00249632522884359,0.000397704676680338,-6.27683146620389,-2520.70539777589,0.000682739528106069,-3.6563361663978,-1468.34375916359
"B_dummy_prev_days",1.26987410765413,0.0614298028087624,20.6719548100681,4.39321136182512,0.139905163901674,9.07667788836301,1.92897888918381
"B_dummy_prev_year_days",0.153482272719503,0.0143782961807306,10.6745799912785,-58.8746897852179,0.0342465647914418,4.48168374417098,-24.7183252520569
"B_unem_rate_part",0.184959031113883,0.00898763716778329,20.5792721336014,-90.6846764806749,0.0133331190080873,13.8721503199435,-61.1290552789445
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00148979267242051,8.702095720814e-05,-17.119929729768,-11508.6046488436,0.000219880089750383,-6.77547782571756,-4554.70885885736
