"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_sfa_nanc",-1.60609099981914,0.320201173706942,-5.01588105135769,-8.13891769867251,0.399737742038084,-4.01786179015873,-6.51950197780138
"asc_laa_nanc",-2.91432599997093,0.191962675692934,-15.1817325396773,-20.391078556502,0.286868817331957,-10.1590895346375,-13.6450034422576
"asc_laa_cmck",-1.56363599994721,0.172263533825455,-9.07699943930997,-14.8820585704738,0.194517979571274,-8.03851655972126,-13.1794295087661
"asc_laa_msqd",-0.113073000439614,0.20666568783602,-0.547130012841475,-5.38586260784028,0.289460109642827,-0.390634138082577,-3.84534159754539
"asc_laa_ytna",-2.82884999997857,0.495589889149372,-5.70804623321512,-7.72584365381301,0.556001725788818,-5.08784391984609,-6.88639948832255
"asc_mna_msqd",-0.574886000373453,0.195444747595335,-2.94142466066033,-8.05796021509989,0.267789530204392,-2.14678296023996,-5.88105890163597
"asc_sba_msqd",-0.0306780006120503,0.20382653863071,-0.150510335004178,-5.05664280783091,0.242991011738951,-0.126251585984621,-4.24163014605381
"asc_laa_btna",-3.40112299992178,0.702655590296817,-4.84038417524733,-6.26355651431259,0.839186973944174,-4.05287868558842,-5.24450824020365
"asc_sfa_msqd",-0.534899000216171,0.201057783350152,-2.66042423876035,-7.63411878237545,0.280485569835145,-1.90704641429703,-5.47229221495533
"asc_mna_psdn",-2.08506799997221,0.210884101637911,-9.88726975517709,-14.629210907844,0.248448959643324,-8.39233942845065,-12.4173110018298
"asc_sba_cmck",-2.29616199988282,0.189205272628138,-12.1358245887559,-17.4210895610772,0.265345056035057,-8.65349456362004,-12.4221722806372
"asc_mra_msqd",-1.80441099984771,0.212932397647149,-8.47410267195604,-13.1704288818224,0.318174224742886,-5.67114134184138,-8.81407349106903
"asc_laa_psdn",-2.27854599996729,0.186743598500471,-12.2014677786213,-17.5564036801991,0.20404368654485,-11.1669517373989,-16.0678629928922
"asc_mna_nanc",-2.16122100035413,0.151436672498685,-14.2714506644544,-20.8748709820046,0.207812868669831,-10.3998420029889,-15.2118635414085
"c_psdn",-1.41858999993365,0.234003614896483,-6.06225677565361,-10.3356950319061,0.528297354781975,-2.68521124910627,-4.57808462988005
"w_msqd",-3.04455000007194,0.0855766526392629,-35.5768764747768,-47.2623066611545,0.232625685552039,-13.087763687174,-17.3865151239593
"theta_part",1.50991799985784,0.143848230706856,10.4966045980424,3.54483331044224,0.287259629031811,5.25628333137838,1.77511194864551
"theta_cmck",11.995297,NA,NA,NA,NA,NA,NA
"theta_msqd",1.06230399955423,0.115092005742236,9.23004158893023,0.541340809489149,0.231251807537085,4.59371111892335,0.269420594882226
"theta_psdn",0.11280300003776,0.285539231592158,0.395052544649551,-3.10709318301117,0.204650109877145,0.551199313332776,-4.33518946310285
"theta_nanc",-0.159866999946371,0.192535850733572,-0.830323284402715,-6.02416119142078,0.326094125610509,-0.490248021632005,-3.55684726848386
"theta_tuna",12.004866,NA,NA,NA,NA,NA,NA
"B_mean_avail_nanc",0.64496999998647,0.221212917465093,2.91560731343026,-1.60492436012265,0.260411327277587,2.47673558108692,-1.363343153023
"B_mean_avail_cmck",-4.57250199996589,0.61797816790332,-7.39913193936852,-9.01731208219267,1.15381838455174,-3.96293044138166,-4.8296179663759
"B_mean_avail_msqd",1.42207499967872,0.130967752417087,10.8582072566222,3.22273988740796,0.146469360942392,9.70902713392758,2.88166068973786
"B_mean_avail_ytna",2.1706180000318,0.566889108825626,3.82899929851974,2.06498587079379,0.336131777903867,6.45763995766147,3.48261627428334
"B_mean_avail_btna",3.57970500004503,0.580807916115204,6.1633199216503,4.44158030300218,0.388051427000171,9.22482112156606,6.64784309643549
"B_mean_avail_psdn",-1.77498999996772,0.659315017811313,-2.6921728642858,-4.20889851588651,0.716006775715404,-2.47901285318736,-3.87564768112016
"B_mean_price",-0.365849000840515,0.148158398684896,-2.46930990134824,-9.21884289358045,0.207030810098193,-1.7671234569724,-6.59732239946657
"B_wind_max_220_mh",-0.0429370176704824,0.00292511091650895,-14.6787656591589,-356.546143869035,0.00300912758383879,-14.2689256185366,-346.591159268824
"B_d_d",-2.90885500014508,0.110768998580727,-26.2605515750433,-35.2883482764029,0.146369240473388,-19.8734036655327,-26.7054402106825
"B_d_cd",-2.33870999997826,0.430401467423692,-5.43378723585068,-7.75719938866193,0.356861350352023,-6.55355363552612,-9.35576238974833
"B_d_c",-0.962611,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.0113040545675755,0.00067811670336997,-16.6697775049616,-1491.34219750346,0.00113296192648066,-9.97743551955839,-892.619629071743
"B_dummy_last_day",1.93921199944071,0.030946377593733,62.6636184983869,30.3496587474883,0.0704238553140546,27.5362942115682,13.3365603921044
"B_unem_rate_part",0.123001990884781,0.0119579688519556,10.286194286638,-73.3400479607197,0.0142138998258212,8.65364132237188,-61.7000274282255
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00492138013857603,0.000121507524368553,-40.5026780370297,-8270.44568112902,0.000419868840313596,-11.7212321231085,-2393.41738098024
