"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",0.592318736757936,NA,NA,NA,NA,NA,NA
"B_mean_price",-0.0327871337003185,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0256131508072349,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00222701678278243,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.00397645804222697,NA,NA,NA,NA,NA,NA
"B_dummy_last_day",0.919031080370525,NA,NA,NA,NA,NA,NA
"B_unem_rate_part",0.130315152976386,NA,NA,NA,NA,NA,NA
"B_d_d",-1.13431056090504,NA,NA,NA,NA,NA,NA
"B_d_cd",-1.66200858699647,NA,NA,NA,NA,NA,NA
"w_cmck",-3.17815367703279,NA,NA,NA,NA,NA,NA
"w_msqd",-3.3528995306922,NA,NA,NA,NA,NA,NA
"w_psdn",-3.98708543017082,NA,NA,NA,NA,NA,NA
"c_psdn",-0.421956087407886,NA,NA,NA,NA,NA,NA
"w_nanc",-4.04603351558537,NA,NA,NA,NA,NA,NA
"w_tuna",-3.1741091059473,NA,NA,NA,NA,NA,NA
"c_btna",-4.42338038354872,NA,NA,NA,NA,NA,NA
"asc_sfa_nanc",-1.09815918615435,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-1.44924128572608,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-1.1484525823155,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-0.573703819074957,NA,NA,NA,NA,NA,NA
"asc_laa_ytna",-1.17938281657286,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-0.776769028241536,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-0.546266880594969,NA,NA,NA,NA,NA,NA
"asc_laa_btna",-1.1122423640474,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-0.771637614305284,NA,NA,NA,NA,NA,NA
"asc_mna_psdn",-1.35528495790716,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-1.25838408544228,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-1.30387879157603,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-1.33184644952674,NA,NA,NA,NA,NA,NA
"asc_mna_nanc",-1.21317792679135,NA,NA,NA,NA,NA,NA
"lambda_part",0.274909449288306,NA,NA,NA,NA,NA,NA
"lambda_cmck",0.274909449323823,NA,NA,NA,NA,NA,NA
"lambda_msqd",0.247173190566505,NA,NA,NA,NA,NA,NA
"lambda_psdn",0.196239109529244,NA,NA,NA,NA,NA,NA
"lambda_nanc",0.163309863938583,NA,NA,NA,NA,NA,NA
"lambda_tuna",0.206203790084175,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
