"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",0.592318736757936,NA,NA,NA,NA,NA,NA
"B_mean_price",-0.032787133700324,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0256131508073168,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00222701676839332,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.00397645805650766,NA,NA,NA,NA,NA,NA
"B_dummy_last_day",0.919031080370514,NA,NA,NA,NA,NA,NA
"B_unem_rate_part",0.130315152976683,NA,NA,NA,NA,NA,NA
"B_d_d",-1.13431056090503,NA,NA,NA,NA,NA,NA
"B_d_cd",-1.66200858699647,NA,NA,NA,NA,NA,NA
"w_cmck",-3.17815367703279,NA,NA,NA,NA,NA,NA
"w_msqd",-3.3528995306922,NA,NA,NA,NA,NA,NA
"w_psdn",-3.98708543017082,NA,NA,NA,NA,NA,NA
"c_psdn",-0.421956087407874,NA,NA,NA,NA,NA,NA
"w_nanc",-4.04603351558537,NA,NA,NA,NA,NA,NA
"w_tuna",-3.1741091059473,NA,NA,NA,NA,NA,NA
"c_btna",-4.42338038354872,NA,NA,NA,NA,NA,NA
"asc_sfa_nanc",-1.09815918615432,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-1.44924128572608,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-1.14845258231551,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-0.573703819075,NA,NA,NA,NA,NA,NA
"asc_laa_ytna",-1.17938281657286,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-0.776769028241563,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-0.54626688059508,NA,NA,NA,NA,NA,NA
"asc_laa_btna",-1.1122423640474,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-0.77163761430517,NA,NA,NA,NA,NA,NA
"asc_mna_psdn",-1.35528495790715,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-1.25838408544224,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-1.30387879157601,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-1.33184644952674,NA,NA,NA,NA,NA,NA
"asc_mna_nanc",-1.2131779267913,NA,NA,NA,NA,NA,NA
"lambda_part",0.274909449288604,NA,NA,NA,NA,NA,NA
"lambda_cmck",0.274909449323805,NA,NA,NA,NA,NA,NA
"lambda_msqd",0.24717319056666,NA,NA,NA,NA,NA,NA
"lambda_psdn",0.196239109529246,NA,NA,NA,NA,NA,NA
"lambda_nanc",0.163309863938629,NA,NA,NA,NA,NA,NA
"lambda_tuna",0.206203790084175,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
