,Estimate,Std.err.,t-ratio(0),t-ratio(1),Rob.std.err.,Rob.t-ratio(0),Rob.t-ratio(1)
B_mean_avail,2.819738293,NA,NA,NA,NA,NA,NA
B_wind_max_220_mh,-0.080583582,NA,NA,NA,NA,NA,NA
B_dist_to_cog,-0.000904571,NA,NA,NA,NA,NA,NA
B_dist_port_to_catch_area_zero,-0.003925122,NA,NA,NA,NA,NA,NA
B_dummy_prev_days,3.784575387,NA,NA,NA,NA,NA,NA
B_dummy_prev_year_days,0.350807369,NA,NA,NA,NA,NA,NA
B_unem_rate,0.157818431,NA,NA,NA,NA,NA,NA
c_psdn,-2.743292273,NA,NA,NA,NA,NA,NA
c_dcrb,-2.167990914,NA,NA,NA,NA,NA,NA
B_mean_price_part,0.115723879,NA,NA,NA,NA,NA,NA
B_mean_price_crab,0.093449173,NA,NA,NA,NA,NA,NA
asc_mna_msqd,-4.512069125,NA,NA,NA,NA,NA,NA
asc_sba_msqd,-4.101570561,NA,NA,NA,NA,NA,NA
asc_mra_msqd,-5.557894658,NA,NA,NA,NA,NA,NA
asc_laa_msqd,-4.527591171,NA,NA,NA,NA,NA,NA
asc_npa_msqd,-5.031297865,NA,NA,NA,NA,NA,NA
asc_sfa_msqd,-5.242819561,NA,NA,NA,NA,NA,NA
asc_cba_msqd,-5.002144353,NA,NA,NA,NA,NA,NA
asc_laa_psdn,-6.376756217,NA,NA,NA,NA,NA,NA
asc_clo_psdn,-4.220467801,NA,NA,NA,NA,NA,NA
asc_cwa_psdn,-3.648182522,NA,NA,NA,NA,NA,NA
asc_clw_psdn,-3.188395103,NA,NA,NA,NA,NA,NA
asc_sba_cmck,-5.842914013,NA,NA,NA,NA,NA,NA
asc_laa_cmck,-5.964036597,NA,NA,NA,NA,NA,NA
asc_laa_nanc,-5.866937513,NA,NA,NA,NA,NA,NA
asc_cwa_albc,-5.500033409,NA,NA,NA,NA,NA,NA
asc_cwa_dcrb,-5.978587366,NA,NA,NA,NA,NA,NA
asc_clw_dcrb,-5.664811146,NA,NA,NA,NA,NA,NA
w_nanc,-2,NA,NA,NA,NA,NA,NA
w_msqd,-4.043464509,NA,NA,NA,NA,NA,NA
w_psdn,-0.410336167,NA,NA,NA,NA,NA,NA
w_albc,-0.080480178,NA,NA,NA,NA,NA,NA
w_cmck,-3.277753335,NA,NA,NA,NA,NA,NA
w_dcrb,-0.401426867,NA,NA,NA,NA,NA,NA
c_msqd,-2,NA,NA,NA,NA,NA,NA
B_d_d,-1.626027168,NA,NA,NA,NA,NA,NA
B_d_cd,-2,NA,NA,NA,NA,NA,NA
c_wa,-2,NA,NA,NA,NA,NA,NA
asc_no_participation,0,NA,NA,NA,NA,NA,NA
w_nopart,0,NA,NA,NA,NA,NA,NA
B_mean_price_no_part,0,NA,NA,NA,NA,NA,NA
