"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",2.31221553588296,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0679192287121321,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.000877006793961136,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.00482142031829543,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",2.54309025755759,NA,NA,NA,NA,NA,NA
"B_dummy_prev_year_days",0.375844324220512,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.3855577151288,NA,NA,NA,NA,NA,NA
"B_d_d",-1.71821400395361,NA,NA,NA,NA,NA,NA
"c_psdn",-1.95144520605722,NA,NA,NA,NA,NA,NA
"c_dcrb",-1.93815778334117,NA,NA,NA,NA,NA,NA
"B_mean_price_part",3.85450036066156,NA,NA,NA,NA,NA,NA
"B_mean_price_crab",0.0899266594419926,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-8.00465976586835,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-7.8200381987905,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-8.76102207814055,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-8.18325853404968,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-8.03848553504904,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-8.44488597729334,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-7.82477062054077,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.07139024339255,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.40301069025918,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-4.14131659015586,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.40509626244814,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-6.48223724466797,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-7.51952496000633,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-6.66470865265557,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-17.135703388323,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-6.03692177683013,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-5.66052428649601,NA,NA,NA,NA,NA,NA
"theta_part",0.646258227908681,NA,NA,NA,NA,NA,NA
"theta_cmck",45.7124517505328,NA,NA,NA,NA,NA,NA
"theta_msqd",71.4924172719825,NA,NA,NA,NA,NA,NA
"theta_psdn",0.129322826631334,NA,NA,NA,NA,NA,NA
"theta_part_crab",29.6779351695044,NA,NA,NA,NA,NA,NA
"w_nanc",-57.0998884364635,NA,NA,NA,NA,NA,NA
"w_msqd",-3.70759049371126,NA,NA,NA,NA,NA,NA
"w_psdn",-0.571780130560374,NA,NA,NA,NA,NA,NA
"w_albc",-0.382656783697955,NA,NA,NA,NA,NA,NA
"w_cmck",-3.34776399353151,NA,NA,NA,NA,NA,NA
"w_dcrb",-0.457311922498438,NA,NA,NA,NA,NA,NA
"c_msqd",-14.753800567051,NA,NA,NA,NA,NA,NA
"c_wa",-226.692452210594,NA,NA,NA,NA,NA,NA
"B_d_cd",-485.089835350988,NA,NA,NA,NA,NA,NA
"B_d_c",0,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
