"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_msqd",1.64718719341229,0.27495370931523,5.99078003899127,2.35380419134589,0.459354735909989,3.58587179938221,1.40890502006081
"B_mean_avail_psdn",0.639485500570915,0.346141219037617,1.84746994983403,-1.04152432475806,0.709070480506653,0.901864508749516,-0.508432531518568
"B_mean_avail_cmck",-0.932360419283292,0.973708059708867,-0.957535895884505,-1.98453776777924,1.87474119893995,-0.497327535027494,-1.03073449304679
"B_mean_avail_nanc",4.808005399223,0.468668368817603,10.2588647306262,8.12515982000271,0.823118460945541,5.84120710122319,4.62631514162448
"B_mean_avail_albc",1.17029214510031,0.97061569381653,1.2057214328553,0.175447549617407,1.3034199566897,0.897862687381669,0.130650251460628
"B_mean_avail_dcrb",5.92244525566297,0.720834894608054,8.21609122971667,6.82881099747467,0.583321723326687,10.1529653685572,8.43864553438922
"B_wind_max_220_mh",-0.0700331862943248,0.00566806634045429,-12.3557456966377,-188.782756238623,0.00599641910785308,-11.6791680225632,-178.445363315746
"B_dist_to_cog",-0.000909357918924432,8.08169233356303e-05,-11.2520729742197,-12384.8980709421,0.000167101244505758,-5.44195778801097,-5989.83784279618
"B_dist_port_to_catch_area_zero",-0.006134703412506,0.0015070292449807,-4.07072618725762,-667.62785577223,0.000986074204274001,-6.2213405298668,-1020.34380278031
"B_dummy_prev_days",2.79227448876194,0.101271033234662,27.5722918940875,17.6977999682193,0.164408376980678,16.9837726035706,10.9013574714175
"B_dummy_prev_year_days",0.362108895332239,0.0532943331869277,6.794510291782,-11.9692107307241,0.0988938304459836,3.66159237334856,-6.45026187974568
"B_unem_rate",0.412332655410243,0.0153176354825926,26.9188188920432,-38.3654086335714,0.0271247066479363,15.2013682861936,-21.6653898682612
"B_d_d",-2.03077721582245,0.117254417008556,-17.3194090903566,-25.847872456705,0.113972181175012,-17.8181833047843,-26.5922542200757
"B_d_c",-0.909442,NA,NA,NA,NA,NA,NA
"B_d_cd",-9.885604,NA,NA,NA,NA,NA,NA
"c_psdn",-2.04687244919472,0.318258289053557,-6.43148197422209,-9.57358395363579,0.975306026799955,-2.09869763228127,-3.12401683725027
"c_dcrb",-1.49421228784028,1.0178261657934,-1.46804271501071,-2.45052875595514,0.747647139458778,-1.99855280516681,-3.33608216523886
"B_mean_price_part",4.77880086329104,0.143710508243344,33.2529675227307,26.2945341261505,0.236188764352606,20.2329728782389,15.9990712244452
"B_mean_price_crab",-0.0307407010495116,0.0554415925354238,-0.554470022300858,-18.5914699400262,0.041767649524042,-0.735993080764978,-24.6779675848459
"asc_mna_msqd",-9.029365,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-8.888468,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-9.946981,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-9.389892,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-9.545131,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-9.460032,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-9.295058,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.649731,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.486854,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-3.982644,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.326057,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-7.286376,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-8.460761,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-8.756927,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-19.907392,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-6.945807,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-7.086131,NA,NA,NA,NA,NA,NA
"theta_part",1.05278979116858,0.137834220290239,7.63808718148298,0.382994811139184,0.269116362715258,3.91202445123151,0.196159723013319
"theta_cmck",10.761289,NA,NA,NA,NA,NA,NA
"theta_msqd",11.124362,NA,NA,NA,NA,NA,NA
"theta_psdn",0.143028,NA,NA,NA,NA,NA,NA
"theta_part_crab",10.694908,NA,NA,NA,NA,NA,NA
"w_msqd",-3.92707351234864,0.215542964764942,-18.219446487763,-22.8588927396531,0.26346845751938,-14.905289040377,-18.7008097999216
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
