"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_msqd",2.08106700002872,0.246081134926918,8.45683274602406,4.39313237217385,0.367114290855475,5.66871694147149,2.94476959071669
"B_mean_avail_psdn",0.45208500013575,0.269155075552255,1.67964508641777,-2.03568518535284,0.514713153111195,0.878324164445986,-1.06450553391217
"B_mean_avail_cmck",-2.07458999994213,0.919377126452903,-2.25651687457813,-3.34420980409243,1.12128400175118,-1.85019138478931,-2.74202610145185
"B_mean_avail_nanc",1.69052199990862,0.476954255938946,3.54441118589163,1.4477740607414,0.80012961781472,2.1128101775881,0.863012672614898
"B_mean_avail_albc",3.25587399995835,0.60243097180866,5.40455944717341,3.74461823100763,0.5234716370322,6.2197715590044,4.30944838338889
"B_mean_avail_dcrb",5.74263700001868,0.698706388778569,8.21895590515147,6.78773956584172,0.653850302082257,8.7828008670037,7.25339880537676
"B_wind_max_220_mh",-0.0650539930011667,0.00551976145607873,-11.7856529704785,-192.952902308533,0.00591585684234963,-10.9965461867615,-180.033767108224
"B_dist_to_cog",-0.000852864809715748,7.81915460237261e-05,-10.9073787779686,-12800.0137573187,0.000157199913415622,-5.4253516505499,-6366.75201062962
"B_dist_port_to_catch_area_zero",-0.00529705927331746,0.00136174148171111,-3.88991548282821,-738.243692194868,0.00118302735845574,-4.47754587876309,-849.766535057636
"B_dummy_prev_days",2.76433700043586,0.0994589071258113,27.7937600595097,17.7393563977538,0.116225592028966,23.7842367776189,15.1802797442077
"B_dummy_prev_year_days",0.329334000037402,0.0522474091576936,6.30335561794851,-12.8363494147315,0.106206664079913,3.10087886565762,-6.31472615934878
"B_unem_rate",0.135863001305621,0.0150427135940743,9.03181466933869,-57.4455528445866,0.0262323912207264,5.17920765066491,-32.9416022894481
"B_d_d",-1.85695099976033,0.111013312054306,-16.7272822096501,-25.7352109120278,0.14159941261914,-13.1141151323486,-20.1762913201107
"B_d_c",-0.73646999996664,0.655175764615867,-1.12408004041242,-2.65038802371565,0.597652798314099,-1.23227064617471,-2.90548292397358
"B_d_cd",-9.910702,NA,NA,NA,NA,NA,NA
"c_psdn",-2.01761399984985,0.304706746378927,-6.62149435096782,-9.90333832680293,0.924848064511156,-2.18156265582531,-3.26282133859994
"c_dcrb",-1.5855639999998,1.016653834655,-1.55959083215168,-2.54320980442394,0.76783545992868,-2.06497886949252,-3.36734122729882
"B_mean_price_part",-0.0101810001470372,0.0867495612206709,-0.117360825850624,-11.6447966529464,0.107596767535574,-0.094621803054363,-9.38858130485234
"B_mean_price_crab",-0.0682679997319467,0.0536977454121144,-1.27133828819087,-19.8940940915359,0.0421359018764921,-1.62018603356474,-25.3529164479078
"asc_mna_msqd",-3.165348,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-2.780155,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-3.801192,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-3.138561,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-3.90198,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-3.591552,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-3.887458,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-4.173022,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-2.531996,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-1.551447,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-1.257627,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-3.990011,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-4.199311,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-4.693208,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-3.916174,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-5.182497,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-5.296925,NA,NA,NA,NA,NA,NA
"theta_part",0.937529999694452,0.129433794365248,7.2433169736865,-0.482640570122396,0.233031464088497,4.02319061660451,-0.268075388660068
"theta_cmck",10.784654,NA,NA,NA,NA,NA,NA
"theta_msqd",11.118455,NA,NA,NA,NA,NA,NA
"theta_psdn",0.088662,NA,NA,NA,NA,NA,NA
"theta_part_crab",10.717883,NA,NA,NA,NA,NA,NA
"w_msqd",-3.83114800014188,0.210214407587633,-18.2249544363165,-22.9820023069917,0.255983880328126,-14.9663642696213,-18.872860251783
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
