"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_msqd",1.63923413525297,0.25526824303945,6.4216140469915,2.5041663139985,0.409958594074532,3.9985358495862,1.55926511723952
"B_mean_avail_psdn",-0.271652693864977,0.3294023450539,-0.824683545651524,-3.86048464122772,0.616598187667282,-0.440566805576733,-2.06236852345593
"B_mean_avail_cmck",-2.75513996573262,1.01437008572136,-2.71610924308095,-3.70194273134757,1.80095700276212,-1.52981995767088,-2.08508029895959
"B_mean_avail_nanc",10.3983889338485,0.429347804007058,24.2190336990231,21.8899196551941,0.697375666818343,14.9107424141846,13.4767950489684
"B_mean_avail_albc",-1.62897127120875,0.912650984347324,-1.78487866571874,-2.88058777812949,1.22301909060229,-1.33192628285675,-2.14957500779001
"B_mean_avail_dcrb",5.71333097299438,0.719951133601571,7.93572050426995,6.54673734509708,0.571585915979088,9.9955768910223,8.24605862606109
"B_wind_max_220_mh",-0.0662876406429368,0.00562248138658919,-11.7897483486645,-189.647162405243,0.00612753864105461,-10.8179881884071,-174.015653446686
"B_dist_to_cog",-0.000908657192006753,8.11815540506559e-05,-11.1929021639542,-12329.2620952717,0.000158717165088366,-5.72500895855125,-6306.24076882138
"B_dist_port_to_catch_area_zero",-0.00485234892985717,0.00149951049223732,-3.23595530339857,-670.120251996757,0.00127032481138974,-3.81977025588337,-791.020013086689
"B_dummy_prev_days",2.87729092527409,0.101048170731184,28.4744484185515,18.5781782261868,0.15599743933206,18.4444753554538,12.0341137220723
"B_dummy_prev_year_days",0.370854677987875,0.0538746227120183,6.88366171899233,-11.6779531872578,0.0999770629347177,3.70939760682941,-6.29289662592849
"B_unem_rate",0.446443942530703,0.0153870622625455,29.0142416345073,-35.9754219502146,0.0263896204726827,16.9174067127203,-20.976279596075
"B_d_d",-2.04198320403445,0.117911130419862,-17.3179851364608,-25.7989486929899,0.123635208836768,-16.5161948869307,-24.6045057282241
"c_psdn",-2.03298034961213,0.323234215604236,-6.28949613459636,-9.38322802226381,1.00242233709132,-2.02806768603255,-3.02565120247898
"c_dcrb",-1.47231300622411,1.01750488186738,-1.44698372701863,-2.42977999445742,0.728494066203439,-2.02103637425229,-3.39373115159141
"B_mean_price_part",4.96546394902876,0.133280873757408,37.2556377298868,29.752685717281,0.183547951100368,27.0526797998063,21.6045122010671
"B_mean_price_crab",-0.0352765950332545,0.0551874609909555,-0.639213951861925,-18.7592720600595,0.0400264836155546,-0.881331354811936,-25.8647900469313
"asc_mna_msqd",-9.569094,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-9.477997,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-10.516949,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-9.984531,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-10.014414,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-10.001498,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-9.781821,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.896198,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.634865,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-4.053051,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.473406,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-7.459976,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-8.743552,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-12.205574,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-19.579248,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-7.102633,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-7.240661,NA,NA,NA,NA,NA,NA
"theta_part",1.16053192555345,0.146491152795261,7.92219805366285,1.09584724053479,0.288220144360784,4.02654688875853,0.556976771729391
"theta_cmck",10.400237,NA,NA,NA,NA,NA,NA
"theta_msqd",5.558108,NA,NA,NA,NA,NA,NA
"theta_psdn",0.125401,NA,NA,NA,NA,NA,NA
"theta_part_crab",10.456592,NA,NA,NA,NA,NA,NA
"w_msqd",-3.98892537544735,0.219775630891641,-18.1499894199556,-22.700084423405,0.294264995181071,-13.5555551654821,-16.9538526741092
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
