"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",2.31261738453533,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0681795745575034,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.000865450215178451,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.00467926763829586,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",2.56969166223813,NA,NA,NA,NA,NA,NA
"B_dummy_prev_year_days",0.380068579610992,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.384333664787536,NA,NA,NA,NA,NA,NA
"B_d_d",-1.80271196142251,NA,NA,NA,NA,NA,NA
"c_psdn",-1.98620581383377,NA,NA,NA,NA,NA,NA
"c_dcrb",-1.97020355440248,NA,NA,NA,NA,NA,NA
"B_mean_price_part",3.84576098781963,NA,NA,NA,NA,NA,NA
"B_mean_price_crab",0.090807855347259,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-8.01753778224604,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-7.83815929603287,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-8.77294599889318,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-8.21178580908567,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-8.30597019036714,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-8.48022358898899,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-8.06923259995188,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.11478889164273,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.412534928999,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-4.0642371932708,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.33295265692577,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-6.52374089268696,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-7.56311064782496,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-6.70425310969699,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-17.0641990310783,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-5.96580914239757,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-5.5936290670613,NA,NA,NA,NA,NA,NA
"lambda_part",0.668496082036643,NA,NA,NA,NA,NA,NA
"lambda_cmck",0.668496082018745,NA,NA,NA,NA,NA,NA
"lambda_msqd",0.668202145508415,NA,NA,NA,NA,NA,NA
"lambda_psdn",0.354346721933364,NA,NA,NA,NA,NA,NA
"lambda_part_crab",0.995083342879762,NA,NA,NA,NA,NA,NA
"w_nanc",-6.4696830881246,NA,NA,NA,NA,NA,NA
"w_msqd",-3.71287266860165,NA,NA,NA,NA,NA,NA
"w_psdn",-0.576780285963116,NA,NA,NA,NA,NA,NA
"w_albc",-0.357613163197877,NA,NA,NA,NA,NA,NA
"w_cmck",-3.3451109515903,NA,NA,NA,NA,NA,NA
"w_dcrb",-0.447089284493481,NA,NA,NA,NA,NA,NA
"c_msqd",-3.5668665591018,NA,NA,NA,NA,NA,NA
"c_wa",-6.03769804730571,NA,NA,NA,NA,NA,NA
"B_d_cd",-6.73700998321899,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
