"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",1.28573168156524,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0330743479751275,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00119703714798922,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.00723477250518324,NA,NA,NA,NA,NA,NA
"B_dummy_last_day",1.71224888107071,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.245551127137031,NA,NA,NA,NA,NA,NA
"B_d_d",-1.78067749800775,NA,NA,NA,NA,NA,NA
"c_psdn",-1.36518337816889,NA,NA,NA,NA,NA,NA
"c_dcrb",-2.96266117521954,NA,NA,NA,NA,NA,NA
"B_mean_price_part",2.23844476656637,NA,NA,NA,NA,NA,NA
"B_mean_price_crab",0.0249208445394566,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-4.23374079474858,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-3.66345686580125,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-4.88211458892556,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-4.09310258875451,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-3.99564941174753,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-4.65560655510517,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-3.5923886640204,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-3.82727968853533,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-2.36922158326808,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-0.724779350372997,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-1.33337490891335,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-3.30120525812904,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-4.11025891657857,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-3.78996488354929,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-8.35790981742931,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-3.0836490005382,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-2.7653584154658,NA,NA,NA,NA,NA,NA
"lambda_part",0.40258175007413,NA,NA,NA,NA,NA,NA
"lambda_cmck",0.402581750139987,NA,NA,NA,NA,NA,NA
"lambda_msqd",0.402428763056254,NA,NA,NA,NA,NA,NA
"lambda_psdn",0.210502507991887,NA,NA,NA,NA,NA,NA
"lambda_part_crab",0.942868041957102,NA,NA,NA,NA,NA,NA
"w_nanc",-6.56802113202864,NA,NA,NA,NA,NA,NA
"w_msqd",-2.926502923176,NA,NA,NA,NA,NA,NA
"w_psdn",-0.979831705662248,NA,NA,NA,NA,NA,NA
"w_albc",-1.15220168046495,NA,NA,NA,NA,NA,NA
"w_cmck",-2.86813405222065,NA,NA,NA,NA,NA,NA
"w_dcrb",-0.693976025489032,NA,NA,NA,NA,NA,NA
"c_msqd",-3.65088408695451,NA,NA,NA,NA,NA,NA
"c_wa",-5.92989122082112,NA,NA,NA,NA,NA,NA
"B_d_cd",-7.29400953420861,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
