,Estimate,Std.err.,t-ratio(0),t-ratio(1),Rob.std.err.,Rob.t-ratio(0),Rob.t-ratio(1)
B_mean_avail,2.801739342,NA,NA,NA,NA,NA,NA
B_wind_max_220_mh,-0.052514256,NA,NA,NA,NA,NA,NA
B_dist_to_cog,-0.004580858,NA,NA,NA,NA,NA,NA
B_dist_port_to_catch_area_zero,-0.022281826,NA,NA,NA,NA,NA,NA
B_dummy_prev_days,2.059089192,NA,NA,NA,NA,NA,NA
B_dummy_prev_year_days,0.330505118,NA,NA,NA,NA,NA,NA
B_unem_rate,0.361819779,NA,NA,NA,NA,NA,NA
B_d_d,-1.157132665,NA,NA,NA,NA,NA,NA
B_d_cd,-22.86875551,NA,NA,NA,NA,NA,NA
c_wa,-4.633562377,NA,NA,NA,NA,NA,NA
c_dcrb,0.421211755,NA,NA,NA,NA,NA,NA
c_psdn_part,0.088735394,NA,NA,NA,NA,NA,NA
c_psdn_crab,1.400640634,NA,NA,NA,NA,NA,NA
c_psdn_slmn,-4.076526264,NA,NA,NA,NA,NA,NA
B_mean_price_part,4.175470397,NA,NA,NA,NA,NA,NA
B_mean_price_crab,0.076147183,NA,NA,NA,NA,NA,NA
B_mean_price_slmn,5.658808511,NA,NA,NA,NA,NA,NA
w_psdn,-0.126398445,NA,NA,NA,NA,NA,NA
w_nanc,-0.474875331,NA,NA,NA,NA,NA,NA
w_dcrb,-0.398828162,NA,NA,NA,NA,NA,NA
w_slmn,0.718703588,NA,NA,NA,NA,NA,NA
w_cmck,-0.050583771,NA,NA,NA,NA,NA,NA
asc_cba_psdn,-4.15535403,NA,NA,NA,NA,NA,NA
asc_clo_psdn,-5.118442813,NA,NA,NA,NA,NA,NA
asc_clw_psdn,-5.115337308,NA,NA,NA,NA,NA,NA
asc_cwa_psdn,-4.771413556,NA,NA,NA,NA,NA,NA
asc_clo_nanc,-6.018206479,NA,NA,NA,NA,NA,NA
asc_clw_nanc,-9.281556043,NA,NA,NA,NA,NA,NA
asc_cwa_nanc,-5.153631158,NA,NA,NA,NA,NA,NA
asc_clo_cmck,-5.144340682,NA,NA,NA,NA,NA,NA
asc_cwa_dcrb,-7.262982509,NA,NA,NA,NA,NA,NA
asc_nps_sock,-16.27778582,NA,NA,NA,NA,NA,NA
lambda_part,0.6,NA,NA,NA,NA,NA,NA
lambda_nanc,0.562149901,NA,NA,NA,NA,NA,NA
lambda_psdn,0.347426607,NA,NA,NA,NA,NA,NA
asc_no_participation,0,NA,NA,NA,NA,NA,NA
w_nopart,0,NA,NA,NA,NA,NA,NA
B_mean_price_no_part,0,NA,NA,NA,NA,NA,NA
c_no_participation,0,NA,NA,NA,NA,NA,NA
