"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",2.27665314331066,0.551092061179097,4.13116664834477,2.31658779583792,2.19173633007057,1.03874408252263,0.58248482073095
"B_wind_max_220_mh",-0.0393688264995704,0.00777836783255962,-5.06132229113358,-133.622997635681,0.00611726138291871,-6.43569467368198,-169.907538919591
"B_dist_to_cog",-0.00854422577460091,0.000905763151988419,-9.43317881263307,-1113.47455850964,0.00235713562171315,-3.62483418259616,-427.868560673482
"B_dist_port_to_catch_area_zero",-0.0045897661961264,0.00639209062486165,-0.718038348560765,-157.161377263463,0.0110816429788032,-0.414177410777954,-90.6535040081773
"B_dummy_last_day",1.68842776376617,0.097587015768789,17.3017665358938,7.05450165006837,0.4347735727577,3.88346456537535,1.58341676427015
"B_unem_rate",0.171967687545612,0.058462289778141,2.94151474733908,-14.1635285856352,0.10674048826948,1.61108207704145,-7.75743418339923
"B_d_d",-0.884386318204459,0.232414939513453,-3.80520426120571,-8.10785366099663,0.383963540672308,-2.30330806059327,-4.90772200637841
"c_wa",-2.42730885255886,16.0875880143517,-0.150880843691016,-0.213040565776632,0.839362279538505,-2.8918488616065,-4.08322953759996
"c_dcrb",-0.0161410066291727,0.226895620611459,-0.0711384670434556,-4.47845138610777,0.0611365273144002,-0.264015758470646,-16.620849290369
"c_psdn",-5.64594256856596,43.0774076254033,-0.131065049634892,-0.154279074227456,2.42993261115165,-2.32349759110814,-2.73503163753013
"B_mean_price_part",3.82066506917393,0.655721438499941,5.82665876826333,4.30162093773632,2.07616444122498,1.84025166470902,1.35859424868566
"B_mean_price_crab",0.0586441355627779,0.145644236501372,0.402653321350106,-6.46339249015427,0.0294037925590737,1.99444120839034,-32.0147770919683
"B_mean_price_slmn",4.96342137418238,21.0990339128503,0.235244011393309,0.187848476406707,0.248861283207925,19.9445301824447,15.9262273467863
"w_psdn",-0.207860419100117,0.117807334207891,-1.76440983490308,-10.2528456926853,0.148826520271915,-1.39666249483187,-8.11589504943935
"w_nanc",-0.452750872785623,0.115570307826125,-3.91753627122623,-12.5702777825191,0.0841405507079898,-5.38088791879789,-17.265763779315
"w_dcrb",-0.0899193897839113,0.415782803785401,-0.216265292756844,-2.621367165407,0.206519564614473,-0.435403735000948,-5.27755998236076
"w_slmn",0.661753735025436,0.568997273107056,1.16301741028015,-0.594460256597615,0.108660655162006,6.09009520547069,-3.11286789565423
"w_cmck",-0.442102143512355,0.326643962239514,-1.35346797926784,-4.41490524920501,0.340712664305169,-1.29758060039815,-4.23260504992763
"asc_cba_psdn",-0.712328983552223,0.606197786806536,-1.17507684629597,-2.82470345623136,1.14070021029802,-0.624466426078873,-1.50112095017924
"asc_clo_psdn",-3.02971340094264,0.618877505557066,-4.89549769338526,-6.51132633640545,1.88335532813089,-1.60867859383149,-2.13964584417635
"asc_clw_psdn",-2.81339954479666,0.551771946303265,-5.09884484640028,-6.91118780203576,1.6898910824987,-1.66484075449213,-2.25659486832614
"asc_cwa_psdn",-2.13405782020828,0.513052491697277,-4.15953114884678,-6.10864944801302,1.33364974402056,-1.60016363349999,-2.34998569471473
"asc_clo_nanc",-3.62647480850702,0.562827232366058,-6.44331794902985,-8.22006211223624,1.98964326693373,-1.82267588807306,-2.3252785488712
"asc_clw_nanc",-6.81141335634789,0.961005310502924,-7.08779991317973,-8.12837688925978,3.63599210589756,-1.87333007277431,-2.14835817263679
"asc_cwa_nanc",-2.63415285262978,0.542402804181021,-4.85645139059911,-6.70009967613832,1.75505999502778,-1.5008904881272,-2.07067157984662
"asc_clo_cmck",-3.22612851278744,0.545666600916699,-5.91227043650402,-7.74489130485117,1.55467116163168,-2.07511954450966,-2.7183423846056
"asc_cwa_dcrb",-4.67482694616741,1.28760504087234,-3.63063734435232,-4.40727301154612,0.80593188911028,-5.80052360420711,-7.04132324684684
"asc_nps_sock",-11.8223642643043,39.4783380529374,-0.299464588616964,-0.324794935569743,0.455089561383545,-25.9781046797963,-28.1754743512953
"lambda_part",0.378719191769739,0.0415161811087623,9.12220685177154,-14.964787021298,0.1806992843429,2.09585330205886,-3.43820292642278
"lambda_nanc",0.378719191793944,0.0430392370774303,8.79939370469332,-14.4352188931308,0.134148846712363,2.823126706456,-4.63127953338417
"lambda_psdn",0.23066062510431,0.0267137868883477,8.6345161795433,-28.7993378891282,0.0825223143324588,2.79513034710884,-9.32280415447683
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
"B_d_cd",-5.9473031132297,9.82809934435943,-0.605132580048959,-0.706881653289038,0.838541145275221,-7.09244042077114,-8.28498774612842
"c_no_participation",0,NA,NA,NA,NA,NA,NA
