"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","B_d_d","B_d_pd","w_cmck","w_msqd","c_msqd","w_psdn","c_psdn","w_nanc","w_jmck","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","asc_no_participation","B_unem_rate_nopart","w_nopart","lambda_part","lambda_laa","lambda_sba","lambda_mna","logLike"
0.31,0.2,-0.04,-0.002,-0.005,2.8,0.1,0.1,-0.3,-0.1,-1,-1,-3,-1,-2,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0.5,0.5,0.5,0.5,-2304.37190401025
0.31,0.2,-0.04,-0.002,-0.005,2.8,0.1,0.1,-0.3,-0.1,-1,-1,-3,-1,-2,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0.5,0.5,0.5,0.5,-2304.37190401025
0.31,0.2,-0.04,-0.002,-0.005,2.8,0.1,0.1,-0.3,-0.1,-1,-1,-3,-1,-2,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0.5,0.5,0.5,0.5,-2304.37190401025
0.31,0.2,-0.04,-0.002,-0.005,2.8,0.1,0.1,-0.3,-0.1,-1,-1,-3,-1,-2,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0.5,0.5,0.5,0.5,-2304.37190401025
0.310000000150916,0.200000000610851,-0.0399999903616986,-0.00199994282741696,-0.00499996335115767,2.80000000061564,0.100000000324251,0.100000004977677,-0.299999999987608,-0.100000000003494,-0.999999999999174,-1.00000000001745,-3,-0.999999999996901,-1.99999999999778,-0.999999999966321,-0.999999999996393,-4.99999999998273,-5.00000000000168,-5.00000000000288,-5.00000000000071,-4.99999999988539,-5.00000000000407,-4.99999999972898,-4.9999999999805,-4.99999999992077,-4.9999999999787,-4.99999999999412,-5.0000000000011,-4.9999999998518,-4.99999999995612,0,0,0,0.500000000174107,0.500000000225036,0.50000000001764,0.500000000079836,-2304.368294858
0.310000000179385,0.200000000726108,-0.039999988561243,-0.0019999438182012,-0.00499995613751022,2.80000000072979,0.100000000396638,0.100000005882267,-0.299999999986761,-0.100000000004768,-0.999999999999523,-1.00000000002668,-3,-0.999999999996592,-1.99999999999726,-0.999999999958374,-0.999999999995718,-4.99999999998115,-5.00000000000357,-5.00000000000577,-5.00000000000214,-4.999999999868,-5.00000000000666,-4.99999999966153,-4.9999999999826,-4.99999999991525,-4.99999999997627,-4.9999999999936,-5.00000000000346,-4.99999999981279,-4.99999999994756,0,0,0,0.500000000167351,0.500000000263121,0.500000000026329,0.500000000091259,-2304.36811954483
0.31015910097663,0.200510730103888,-0.031543132274935,-0.00432825648983266,0.00990786308985094,2.80037936881125,0.100335652993406,0.103981182311028,-0.299907782159227,-0.100004386807204,-1.00001383034144,-1.00014878001381,-2.99999537793954,-1.00000239030087,-1.99999486602201,-0.999952972159538,-0.99999823556204,-4.99997534799953,-5.00002193174811,-5.00006112850649,-5.0000075938452,-4.99998437480805,-5.00008479260395,-4.99966141818671,-5.00002511951901,-4.99983249409928,-4.99997626895589,-5.00000117087469,-5.00002316307759,-4.9997222704551,-5.00002909856021,0,0,0,0.522319931804742,0.478163883998821,0.499987200473126,0.500146992030618,-2030.67336986861
0.311826391737145,0.206385419336442,0.0635783313094365,-0.00636018503360524,-0.011817163464572,2.80450870275471,0.10515199339947,0.147461783613884,-0.298740169691423,-0.100110622270174,-1.00020990092516,-1.00352938430681,-2.9999959927505,-1.00002037298837,-1.99988212424894,-0.999546653725525,-0.999948599061529,-4.9992178645908,-5.00074474117216,-5.00148467596847,-5.00040825601657,-4.99953081185319,-5.00215618304197,-4.99524589264264,-5.00022652175189,-4.99649460201173,-4.99934508383132,-5.00008857569435,-5.0005857007661,-4.9954718664625,-5.00180375769163,0,0,0,0.529008766590365,0.488681922922314,0.500785072374933,0.503370476983617,-1991.05938534749
0.315721804103193,0.271160614018737,-0.0171948921455621,-0.0078738346034161,-0.0153978916348409,2.81101838019199,0.179823917823105,0.334278974509209,-0.294596280478102,-0.105184234123147,-1.01028687850421,-1.09091706299425,-2.99999099725457,-1.00314158298358,-1.99744197314742,-1.00092335610179,-1.00036510044918,-5.00261572516146,-5.03236935536967,-5.02705214807741,-5.02122653157951,-4.96481368866936,-5.0379988256224,-4.89575974520388,-5.00253569587737,-4.93357117526737,-4.99655017165595,-5.00754726723483,-5.02415192239776,-4.9441136763968,-5.05162271449094,0,0,0,0.706110060358959,0.663366973828197,0.518079087262418,0.547875887426988,-1966.5356593321
0.314644744572037,0.382412919552894,0.00615827612011786,-0.00837436596988466,-0.0111173637098598,2.83481966332481,0.308360911163619,0.225681779122315,-0.302274126111605,-0.11611793960745,-1.03014239575347,-1.25549450125647,-2.99998058635743,-1.0107593695748,-1.99343995937582,-1.01042677700257,-1.0015365236483,-5.00673318910999,-5.09570172689401,-5.07437801283632,-5.06073566126042,-4.89991516971433,-5.1030866327239,-4.69615668550772,-5.01154869987488,-4.81742138148742,-4.99581326960352,-5.02401439777814,-5.07248920555613,-4.85903538726108,-5.16210889330461,0,0,0,0.928883732753589,0.882887546830729,0.544020963702408,0.609710878520016,-1911.32045115064
