"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",1.1607814256407,0.57416216301228,2.02169613467872,0.280027901520326,0.79925764445402,1.45232445844624,0.201163450554835
"B_mean_price",1.48511480187078,0.402405554036868,3.69059220722067,1.20553704342345,1.14039029638801,1.30228642472199,0.425393659878818
"B_wind_max_220_mh",-0.0169947660629052,0.0101704254966917,-1.67099853083171,-99.9953017102106,0.00803436222351142,-2.11526012770154,-126.580646698603
"B_dist_to_cog",-0.00308293455927248,0.000743695315006255,-4.14542689333272,-1348.78210783247,0.00348979863831181,-0.883413307984969,-287.432897573859
"B_dist_port_to_catch_area_zero",-0.0058769462288535,0.00272327995111773,-2.15803969270269,-369.362299978012,0.00488904433369277,-1.20206441744711,-205.74101553894
"B_dummy_prev_days",2.1010490025212,0.330729570349677,6.35277033226807,3.32915197560674,1.45217888742083,1.44682519538127,0.758204799738368
"B_dummy_prev_year_days",0.146591650053813,0.0828699091290119,1.76893701941436,-10.2981692500423,0.130168157717681,1.12617135115143,-6.55619903446069
"c_msqd",-4.99993090328322,106.645123073422,-0.0468838213993237,-0.0562607152617043,1.43173865340422,-3.49220920409949,-4.19066069706039
"c_psdn",-1.05406711711819,0.769137282757818,-1.37045380681421,-2.670611818157,0.691807124101881,-1.52364305078038,-2.96913264630633
"B_d_d",-0.484512105677098,0.20754622735309,-2.33447801897558,-7.15268171630774,0.314595947412376,-1.54010917706449,-4.71878966619739
"B_unem_rate_part",0.159718249196925,0.0373968058543845,4.27090617896178,-22.4693454856803,0.0475757989694451,3.35713225330176,-17.6619577391172
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_cmck",-1.34940710953278,0.317764709507959,-4.24656064426494,-7.39354320739615,0.976858377117458,-1.38137435389012,-2.4050641982162
"w_jmck",-1.1008946177187,0.391964472302994,-2.8086591911006,-5.35991082399601,1.0491389088645,-1.04933160748963,-2.00249423595635
"w_msqd",-2.21268973057096,0.21991416242584,-10.0616063384145,-14.6088350797068,0.577606159066464,-3.83079317254362,-5.56207665057339
"w_psdn",-1.45626059434692,0.406110287791997,-3.58587467031318,-6.04825996332547,1.16275192338791,-1.25242587438928,-2.11245455280789
"w_nanc",-1.1533308095963,0.200280713170549,-5.75857151364436,-10.7515635205604,0.282350448237287,-4.08474934889086,-7.6264472857739
"asc_laa_cmck",-4.2698523060009,0.631885244740701,-6.75732238019433,-8.33988821524616,1.97462478737452,-2.16236134241896,-2.66878666757129
"asc_mna_cmck",-5.36723983213252,0.878178667136619,-6.11178571398562,-7.25050615598929,2.89527071456918,-1.85379550351691,-2.19918634899741
"asc_laa_jmck",-4.4275700616041,0.680117912842264,-6.51000360084761,-7.98033687853019,1.95399937968224,-2.26590146734034,-2.77767235652181
"asc_mna_jmck",-5.55442091145432,0.928289172303736,-5.98350285360963,-7.06075338053143,2.93716802988552,-1.89108040634325,-2.23154441447117
"asc_laa_msqd",-4.50805151065103,0.746011443187597,-6.04287179750057,-7.38333380935276,2.36700719758367,-1.904536460748,-2.32701088373279
"asc_mra_msqd",-4.91014290157365,0.831194369052914,-5.9073341740373,-7.11042220883646,2.65093236873964,-1.85223242941808,-2.22945819790324
"asc_sba_msqd",-4.51594394757756,0.78875713717492,-5.72539218314049,-6.99320955412706,2.55213386993912,-1.76947769110767,-2.16130666676554
"asc_sfa_msqd",-4.70837552584245,0.837123410251947,-5.62447002219827,-6.81903702122537,2.72878151534011,-1.72544980218235,-2.0919137328336
"asc_mna_msqd",-4.46934954511806,0.754454354867357,-5.92394956206971,-7.24941079580573,2.51680387083676,-1.77580366786076,-2.17313299955299
"asc_laa_psdn",-4.06854040559975,0.619445250720823,-6.56803874251253,-8.18238641704283,1.88687767593093,-2.1562290218906,-2.68620508380285
"asc_mna_psdn",-4.67682106050659,0.765096111054578,-6.11272360809709,-7.41974894197526,2.467563129059,-1.89531972067118,-2.30057784283373
"asc_mna_nanc",-4.83603084910139,0.779315361057172,-6.20548636759979,-7.48866394880833,2.43275783284,-1.98788008564577,-2.39893620742695
"asc_sba_nanc",-4.53517958412004,0.814899458134487,-5.56532408857189,-6.79246933945874,2.44389924643269,-1.85571462929167,-2.26489680055331
"asc_sda_nanc",-4.89197569090882,0.84916912622506,-5.7608967870227,-6.938518498784,2.63215911305069,-1.85854102309149,-2.23845726563239
"lambda_part",0.492845548429514,0.0950965368670137,5.18258145529238,-5.33304858703434,0.45896392039106,1.07382198585367,-1.10499851739624
"lambda_laa",0.49284554850955,0.0673619058732898,7.3163836759104,-7.52880199744387,0.183611214341126,2.68417999563962,-2.76211043704673
"lambda_sba",0.279732865733237,0.113279597781661,2.46940200363709,-6.35831295636335,0.226907685075728,1.23280472250148,-3.17427386395654
"lambda_mna",0.480380112486171,0.0813493676453371,5.9051486986415,-6.38750985476915,0.286535806354747,1.67650988753368,-1.81345533783136
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
