"B_mean_avail_mckl","B_mean_avail_msqd","B_mean_avail_psdn","B_mean_avail_nanc","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_psdn","B_d_d","B_unem_rate","w_msqd","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_laa","theta_mna","theta_sba","asc_no_participation","logLike"
-1.923781,1.605385,0.230033,-1.880464,0.718037,-0.040749,-0.003076,-0.006335,3.088275,0.13398,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1686.26892080351
-1.923781,1.605385,0.230033,-1.880464,0.718037,-0.040749,-0.003076,-0.006335,3.088275,0.13398,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1686.26892080351
-1.9254748050976,1.60386263974685,0.230181672552314,-1.87914945237405,0.710926082932379,-0.040749,-0.003076,-0.006335,3.08001781147134,0.131011602470088,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1686.23539538833
-1.96859837220414,1.58126619152863,0.235207691571893,-1.82367749958121,0.695733547011714,-0.040749,-0.003076,-0.006335,3.07351991952305,0.16237024039713,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1686.21776676615
-2.061137412438,1.55097711805786,0.245795836557064,-1.72790776198132,0.709029510908597,-0.040749,-0.003076,-0.006335,3.07389386524475,0.130540698975764,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1686.15017208402
-2.11649556872167,1.54929797905303,0.252699173145815,-1.73179780466599,0.724323224939,-0.040749,-0.003076,-0.006335,3.06145134277237,0.132849154350631,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1686.10465863532
-2.30092017167576,1.53391842138338,0.280260217459904,-1.76955595308879,0.717562322260635,-0.040749,-0.003076,-0.006335,3.07741255130419,0.126715439111242,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1685.97031177349
-2.36912006028135,1.47163759472523,0.252087208662286,-1.80393214854661,0.730308834476556,-0.040749,-0.003076,-0.006335,3.07882518282131,0.12273314350001,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1685.92600721188
-2.68887355105158,1.52051912878418,0.105657621958777,-1.87896015278354,0.721574725600975,-0.040749,-0.003076,-0.006335,3.09744358655142,0.117413563829811,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1685.91121500012
-2.59202607573586,1.43673225409997,0.234214347583979,-1.87224404697024,0.741296981857134,-0.040749,-0.003076,-0.006335,3.08584397269277,0.116865436500373,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1685.87471490873
