"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_mckl",-2.07182435836425,0.789756590410813,-2.62337077464151,-3.88958369662526,0.560253983131504,-3.69800915431948,-5.48291391199843
"B_mean_avail_msqd",1.46704293756216,0.47214024903026,3.10721854486109,0.98920381924953,0.953409100770698,1.53873393528157,0.489866246488122
"B_mean_avail_psdn",0.125994607202721,0.783760777297507,0.160756458925087,-1.11514306165071,0.48791874868838,0.258228665205874,-1.79129290511335
"B_mean_avail_nanc",-1.80114934554033,0.26051926460194,-6.91368965858396,-10.7521773862687,0.288641595625425,-6.24008934553464,-9.70459347507014
"B_mean_price",0.740398523156791,0.138421494709947,5.34886958639082,-1.87544194192663,0.151672042139426,4.88157548822459,-1.71159742548048
"B_wind_max_220_mh",-0.040749,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.003076,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.006335,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",3.08140547618137,0.104858850794954,29.3862220768269,19.8495926705458,0.138299290934904,22.2807033597283,15.0500082980256
"B_dummy_prev_year_days",0.120188831953044,0.08884631421499,1.35277229016177,-9.90261864907521,0.0972360127628489,1.23605265722048,-9.04820285250432
"c_psdn",-1.37094,NA,NA,NA,NA,NA,NA
"B_d_d",-0.51582,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.088761,NA,NA,NA,NA,NA,NA
"w_msqd",-3.95212,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-3.913923,NA,NA,NA,NA,NA,NA
"asc_mna_cmck",-5.338789,NA,NA,NA,NA,NA,NA
"asc_laa_jmck",-4.176227,NA,NA,NA,NA,NA,NA
"asc_mna_jmck",-5.113068,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-3.692253,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-4.633509,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-3.710028,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-4.12887,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-3.607651,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-4.06254,NA,NA,NA,NA,NA,NA
"asc_mna_psdn",-4.83236,NA,NA,NA,NA,NA,NA
"asc_mna_nanc",-4.579712,NA,NA,NA,NA,NA,NA
"asc_sba_nanc",-2.896603,NA,NA,NA,NA,NA,NA
"asc_sda_nanc",-3.952324,NA,NA,NA,NA,NA,NA
"theta_part",0.993484,NA,NA,NA,NA,NA,NA
"theta_laa",10.071425,NA,NA,NA,NA,NA,NA
"theta_mna",10.029563,NA,NA,NA,NA,NA,NA
"theta_sba",0.733464,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
