cluster,metric,group,delta_pp
c4,alternative,no_participation,-0.9421709697001179
c4,alternative,sba_msqd,0.45885172246808503
c4,alternative,laa_msqd,0.3031482487779444
c4,alternative,laa_cmck,-0.11537554414779075
c4,alternative,mna_nanc,0.0966571344452505
c4,alternative,sfa_msqd,0.07021350512087746
c4,alternative,mra_msqd,0.04623576048474187
c4,alternative,laa_nanc,0.04111076009911472
c4,alternative,mna_msqd,0.026459988966991838
c4,alternative,sfa_nanc,0.016944094745200592
c4,alternative,sba_cmck,-0.005978056943995434
c4,alternative,mna_psdn,0.0035584070252135235
c4,alternative,laa_psdn,0.001670594749941627
c4,alternative,laa_ytna,-8.182362390976193e-4
c4,alternative,laa_btna,-5.074098523603378e-4
c5,alternative,no_participation,-0.7327849796379682
c5,alternative,laa_nanc,0.4727805569820649
c5,alternative,sba_msqd,0.19213082464278436
c5,alternative,laa_msqd,0.07876546519250213
c5,alternative,laa_cmck,-0.04338430743185823
c5,alternative,sfa_msqd,0.03700022704013449
c5,alternative,clo_psdn,-0.03699056400370167
c5,alternative,cba_msqd,0.018667849803760392
c5,alternative,mra_msqd,0.017270659809356156
c5,alternative,npa_msqd,0.016273171675858115
c5,alternative,cwa_albc,0.013162792560198963
c5,alternative,clw_psdn,-0.012121255544912928
c5,alternative,sba_cmck,-0.010395545038758659
c5,alternative,laa_psdn,-0.010375652307218234
c5,alternative,mna_msqd,0.006276074404015092
c5,alternative,cwa_psdn,-0.003882248334938611
c5,alternative,cwa_dcrb,-0.001421868143851139
c5,alternative,clw_dcrb,-9.712016674664299e-4
c6,alternative,cwa_nanc,0.6850272417382699
c6,alternative,clo_psdn,-0.4037476233460291
c6,alternative,clw_psdn,-0.37637686582351126
c6,alternative,cwa_psdn,-0.20694122953903368
c6,alternative,clw_nanc,0.20535835955348083
c6,alternative,clo_nanc,0.1716340646295133
c6,alternative,cba_psdn,-0.1550331488603106
c6,alternative,clo_cmck,0.053859505493193766
c6,alternative,no_participation,0.026131982841159918
c6,alternative,nps_sock,1.4883510668923638e-4
c6,alternative,cwa_dcrb,-6.112179341591882e-5
c7,alternative,sba_nanc,-0.47755572953287284
c7,alternative,no_participation,0.28085247453343287
c7,alternative,sba_msqd,0.26547557948518197
c7,alternative,sda_nanc,-0.11986872625141415
c7,alternative,laa_msqd,0.1173016694950766
c7,alternative,laa_jmck,-0.0884445449508667
c7,alternative,mna_jmck,-0.04353058710323084
c7,alternative,mna_msqd,0.0371701023450419
c7,alternative,sfa_msqd,0.031939764956812666
c7,alternative,laa_cmck,-0.02600998332748126
c7,alternative,mra_msqd,0.022704841871219218
c7,alternative,mna_nanc,-0.015388182449240412
c7,alternative,laa_psdn,0.015334383625688255
c7,alternative,mna_psdn,0.0022010955997217086
c7,alternative,mna_cmck,-0.002182158297073098
