"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_mckl",-0.368964,NA,NA,NA,NA,NA,NA
"B_mean_avail_msqd",3.69258,NA,NA,NA,NA,NA,NA
"B_mean_avail_psdn",0.160806,NA,NA,NA,NA,NA,NA
"B_mean_avail_nanc",-2.18645,NA,NA,NA,NA,NA,NA
"B_mean_price",0.576464,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.036316,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.002947,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.004731,NA,NA,NA,NA,NA,NA
"B_closure_mean_avail_mckl",-3.32480399621941,1.38317448088144,-2.40374879827212,-3.12672338594868,0.850600671673616,-3.90877189137134,-5.08441168722576
"B_closure_mean_avail_msqd",-3.59129201034932,0.687106756053002,-5.22668708859602,-6.68206500649683,0.842656105317428,-4.2618714653429,-5.44859519960374
"B_closure_mean_avail_nanc",-0.0126159984633178,0.422782873255527,-0.0298403725916606,-2.39512066954354,0.296920340153747,-0.0424895056256002,-3.41039619562264
"B_closure_mean_price",0.810511950049096,0.210043757246105,3.85877666956525,-0.902136071241976,0.147325531867866,5.50150364144641,-1.28618609109012
"B_closure_wind_max_220_mh",-0.0132596771297194,0.0139951189422671,-0.94745012060408,-72.4009335904636,0.0147320322682938,-0.9000575676349,-68.77935499167
"B_closure_dist_to_cog",0.00020495,NA,NA,NA,NA,NA,NA
"B_closure_dist_port_to_catch_area_zero",-0.002349,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",3.087478,NA,NA,NA,NA,NA,NA
"B_dummy_prev_year_days",0.177936,NA,NA,NA,NA,NA,NA
"c_psdn",-1.330414,NA,NA,NA,NA,NA,NA
"B_d_d",-0.518813,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.102807,NA,NA,NA,NA,NA,NA
"w_msqd",-3.986706,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-4.291057,NA,NA,NA,NA,NA,NA
"asc_mna_cmck",-5.708159,NA,NA,NA,NA,NA,NA
"asc_laa_jmck",-4.587824,NA,NA,NA,NA,NA,NA
"asc_mna_jmck",-5.359585,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-4.049706,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-4.994241,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-4.115469,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-4.676275,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-4.029841,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-4.256098,NA,NA,NA,NA,NA,NA
"asc_mna_psdn",-4.991503,NA,NA,NA,NA,NA,NA
"asc_mna_nanc",-4.638374,NA,NA,NA,NA,NA,NA
"asc_sba_nanc",-3.059797,NA,NA,NA,NA,NA,NA
"asc_sda_nanc",-4.064235,NA,NA,NA,NA,NA,NA
"theta_part",0.944799,NA,NA,NA,NA,NA,NA
"theta_laa",10.23799,NA,NA,NA,NA,NA,NA
"theta_mna",10.10433,NA,NA,NA,NA,NA,NA
"theta_sba",0.73199,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
