"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",1.56012585253182,0.243174525087892,6.41566320307579,2.3033903420984,0.69416148921763,2.24749698271247,0.806910007587885
"B_wind_max_220_mh",-0.0442419120871502,0.0050575699240289,-8.74766197041657,-206.471077567485,0.00711471208718675,-6.21836998391372,-146.772195317331
"B_dist_to_cog",-0.00139540195408941,7.29673705661412e-05,-19.1236431196948,-13723.8795119577,0.000205982494614508,-6.77437156347132,-4861.55585127843
"B_dist_port_to_catch_area_zero",-0.00870172873147477,0.00140387346065287,-6.19837113198793,-718.513282715934,0.00200608926239998,-4.33765779747231,-502.819963018353
"B_dummy_last_day",1.88403805422793,0.0649778604692819,28.9950767941737,13.6052194985068,0.285792329957355,6.592332462208,3.09328824310941
"B_unem_rate",0.20016858897821,0.0298559358318861,6.70448215407906,-26.7896948709131,0.0415983194418886,4.81193932023717,-19.2274933639838
"B_d_d",-2.45104713787041,0.2054247568769,-11.9316053971975,-16.7995678336786,0.436350182144597,-5.61715621573452,-7.9088935425878
"c_psdn",-1.66967570441128,0.224814089229527,-7.42691754833303,-11.8750373411234,0.621658964233554,-2.68583870011402,-4.29443771908402
"c_dcrb",-2.73319366858583,1.00954908752065,-2.70734103212184,-3.6978822671755,1.03990830685078,-2.62830256338938,-3.58992580787365
"B_mean_price_part",1.8488346559976,0.374117308301445,4.94185811501642,2.26889971985377,0.85411509407467,2.16462004807512,0.993817650438793
"B_mean_price_crab",0.0100362997686316,0.0561212253156901,0.178832513227855,-17.6397378115442,0.0479495487757125,0.2093095769384,-20.6459440288374
"asc_mna_msqd",-3.54444399054327,0.499386555006987,-7.09759595048306,-9.1000527446713,0.979590345707155,-3.618292081048,-4.63912696818453
"asc_sba_msqd",-2.82985015731265,0.515954503516831,-5.48468932439571,-7.42284471054668,1.02314192691459,-2.7658432157564,-3.74322472431761
"asc_mra_msqd",-4.27890159939701,0.534227432526477,-8.00951306293118,-9.88137500620651,1.24382238915919,-3.44012267080149,-4.24409597817698
"asc_laa_msqd",-3.32171265231255,0.526234748610309,-6.31222598105615,-8.21251858362719,1.09447823223409,-3.03497370206455,-3.94865107868881
