"asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_nanc","theta_psdn","asc_no_participation","logLike"
-5,-5,-5,-5,-5,-5,-5,-5,-5,-24,0.5,10,0.5,0,-5373.30322607942
-5,-5,-5,-5,-5,-5,-5,-5,-5,-24,0.5,10,0.5,0,-5373.30322607942
-5.86624837422278,-2.10839863109868,-3.82921065727714,-3.95309581188485,-5.29587127937702,-5.5143693779246,-1.46572831261437,-5.69427599373739,-4.9920483387541,-23.8879999984638,3.03851315210341,10.0000845539034,1.35272299475037,0,-3457.557149665
-5.7632980806874,-1.83126032146307,-2.7448737941941,-2.91073766850693,-5.02017820267094,-5.38573833230385,-1.89183433986176,-5.68882281410345,-4.95425898480424,-23.7640961717835,3.49996233854326,10.000163896384,2.3018514479947,0,-3185.72991320973
-5.49660043465533,-2.08116996557322,-2.28034101186508,-2.3696398951265,-4.63792920333585,-5.13471594347522,-1.45037993204192,-5.55508617538395,-4.9108454617317,-23.6191537063787,3.28436375652523,10.0002318185152,2.40637962291891,0,-3125.76298155121
-5.21924930686666,-1.71947547386084,-2.12354648232833,-2.11642265457343,-4.21954870340276,-4.86168258411033,-1.37342073787767,-5.42201570396669,-4.85558476309182,-23.4375897564236,3.04005195614774,10.000307110076,2.29187071154516,0,-3083.16790610664
-4.8322884524118,-1.7071418587051,-1.66644781357185,-2.5058617321566,-3.54826930336952,-4.41549020233672,-1.39040528046675,-5.42689339405793,-4.66006848240717,-22.7317819796664,3.49586437818561,10.0004609877796,1.98671121013519,0,-3075.94036697594
-4.07263593654023,-1.86439144199564,-2.07276315687668,-2.31399184767191,-2.67590837033851,-3.65834843199337,-1.4490193313954,-5.492756918946,-4.28681434492982,-21.1933319408856,4.5533063286482,10.0006895302864,1.68499237592263,0,-3070.65431307996
-3.21224711955361,-1.8335776285855,-2.0209393777029,-2.13846763785388,-3.04157277280074,-3.20636291878706,-1.48941032997396,-5.40490849858546,-4.03898576651352,-19.5868451414213,5.01031307941954,10.00075695349,1.33494474763042,0,-3045.79592573051
-2.63637328624381,-1.78625193597356,-1.93350409329603,-1.89482472300889,-3.03796224360578,-3.73357660097922,-1.5567213858754,-5.18215154072655,-4.02514971272088,-17.2629118110178,5.21419665970111,10.0007355283069,0.985962925133874,0,-3011.5283655691
-2.90306387507369,-1.6435235298843,-1.7943612048042,-1.53962199032679,-3.16746905127673,-3.79171651550748,-1.63830920922283,-4.59511382994833,-4.19459268831359,-11.991377302144,5.16492698846597,10.0007287002279,0.674183785897378,0,-2927.99682885239
-2.83956459145324,-1.42579507273799,-1.80339976125698,-1.54923039609235,-3.25922609006739,-3.85434056813202,-1.56466947403278,-4.01312818761516,-4.39352368894673,-6.17050220960878,4.93759106911643,10.0007076346333,1.00957834461146,0,-2836.23944798692
-2.84520502577822,-1.407377799644,-1.78674605183069,-1.52759348016398,-3.26480739757326,-3.86542230543929,-1.56875313769903,-4.20451292134898,-4.36005394709492,-5.49638133009211,4.85456062363654,10.0007060498758,1.0150956578552,0,-2826.75285959817
-3.61912486175683,-1.37399403764003,-1.77423313925982,-1.9008178375723,-3.62673416599241,-4.42639454619813,-1.44893802510968,-4.65836755689904,-3.52186031400127,-3.6773134185387,4.09040181646893,10.0009943131385,1.43227636974434,0,-2822.47430323718
