"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_psdn",-0.788395999442464,0.329552761222922,-2.39232102476351,-5.42673650436425,0.440616964351593,-1.78930014781128,-4.0588450834485
"B_mean_avail_nanc",0.629291000140443,0.290951291505246,2.16287405663259,-1.27412735630655,0.480030790490876,1.31093882435528,-0.77226087826673
"B_mean_avail_othr",10.3804870004356,0.406252482175183,25.5518118802764,23.0902884585714,0.335371123457032,30.9522385035204,27.9704671760074
"B_mean_avail_cmck",-1.01400299983984,1.27131381092219,-0.797602441764002,-1.58419029395969,0.93223375085395,-1.08771324671627,-2.16040558282186
"B_wind_max_220_mh",-0.0502019650466256,0.00661621035319283,-7.58772202918235,-158.731646816493,0.00593443168920866,-8.45943936601618,-176.967571630548
"B_dist_to_cog",-0.00509081469290797,0.000535903628378717,-9.49949659476899,-1875.50664236709,0.00055310455113233,-9.20407304999736,-1817.18051792425
"B_dist_port_to_catch_area_zero",-0.01771396290165,0.0021756210226547,-8.14202598577365,-467.78090131701,0.00229473667590962,-7.71938806208703,-443.499236137076
"B_dummy_prev_days",2.2572550031404,0.101728048375666,22.1891114513934,12.358980863346,0.12270813841495,18.3953161729767,10.245897455382
"B_dummy_prev_year_days",0.256633002544024,0.0728655761554165,3.52200608414385,-10.2018955544993,0.103377991169062,2.48247232937941,-7.19076651663983
"B_unem_rate",0.294055,NA,NA,NA,NA,NA,NA
"B_d_c",0,NA,NA,NA,NA,NA,NA
"B_d_d",-1.063009,NA,NA,NA,NA,NA,NA
"B_d_cd",-8.136132,NA,NA,NA,NA,NA,NA
"c_dcrb",-0.307403,NA,NA,NA,NA,NA,NA
"B_mean_price_part",-0.0922889988459516,0.121176660664988,-0.761607048250809,-9.01402128802472,0.103941387419533,-0.887894621547144,-10.5087013552859
"B_mean_price_othr",0.03227,NA,NA,NA,NA,NA,NA
"asc_cba_psdn",-1.61496,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-2.802144,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-2.277761,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-2.527242,NA,NA,NA,NA,NA,NA
"asc_clo_nanc",-4.000704,NA,NA,NA,NA,NA,NA
"asc_clw_nanc",-3.678093,NA,NA,NA,NA,NA,NA
"asc_cwa_nanc",-2.927351,NA,NA,NA,NA,NA,NA
"asc_clo_cmck",-3.701957,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-9.566162,NA,NA,NA,NA,NA,NA
"asc_nps_sock",-8.498593,NA,NA,NA,NA,NA,NA
"theta_part",0.06652,NA,NA,NA,NA,NA,NA
"theta_nanc",13.346115,NA,NA,NA,NA,NA,NA
"theta_psdn",1.208415,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
